STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,STANDLIV,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,VOTE96,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,MCAINVET,EDUC,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,VETERAN,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,INTERNET,DESTEC,STR8TALK,BEATDEM,CAMPFIN,WEIGHT
8.0,202.0,1.0,FIRST CALL,30-39,FEMALE,MCCAIN,THIS YEAR,WILL RISE,WORLD AFFAIRS,UNDERSTANDS COMPLEX ISSUES,CANDS POSITIONS ON ISSUES,NO,,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,NOT GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.898
8.0,202.0,2.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,EXCELLENT,BOTH,MCCAIN,HURT THE POLITICAL PROCESS,0.887
8.0,202.0,3.0,FIRST CALL,50-59,FEMALE,MCCAIN,TODAY,OMITS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,OMITS,"$75,000-$99,999",OMITS,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,NO,EXCELLENT,NEITHER,BUSH,HELP THE POLITICAL PROCESS,0.898
8.0,202.0,4.0,FIRST CALL,25-29,FEMALE,HATCH,TODAY,WILL FALL,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,6,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.897
8.0,202.0,5.0,FIRST CALL,65-74,MALE,HATCH,THIS YEAR,OMITS,ABORTION,STANDS UP FOR BELIEFS,OMITS,OMITS,,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,,NOT IMPORTANT AT ALL,,OMITS,,OMITS,OMITS,,,65+,18-74,OMITS,NOT COMPLETE,NEW CASTLE COUNTY,60+,60+,,65+,65-74,,,OMITS,OMITS,HURT THE POLITICAL PROCESS,1.079
8.0,202.0,6.0,FIRST CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,WILL FALL,SOCIAL SECURTY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,4,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,NO,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,7.0,FIRST CALL,30-39,MALE,BUSH,THIS YEAR,WILL FALL,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,6,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,NO,GOOD,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,8.0,FIRST CALL,60-64,MALE,BUSH,TODAY,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,YES,EXCELLENT,BOTH,BUSH,HURT THE POLITICAL PROCESS,1.18
8.0,202.0,9.0,FIRST CALL,65-74,MALE,BUSH,WITHIN LAST 3 DAYS,WILL FALL,TAXES,HAS THE RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,6,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,YES,GOOD,BOTH,MCCAIN,HURT THE POLITICAL PROCESS,1.18
8.0,202.0,10.0,FIRST CALL,75+,FEMALE,BUSH,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,6,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,NO,MODERATE,MODERATE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,GOOD,BUSH,BUSH,OMITS,1.194
