AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,BCPERSON,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
40-49,25.0,14.0,1.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,WHITE,NONE,0.47000000000000003
30-39,25.0,14.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.37
25-29,25.0,14.0,3.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.368
40-49,25.0,14.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.37
50-59,25.0,14.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,APPROVE,YES,DEMOCRAT,PROTESTANT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.292
60+,25.0,14.0,6.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,DISAPPROVE,YES,INDEPENDENT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.43
50-59,25.0,14.0,7.0,SECOND CALL,50-59,WHITE,MALE,OTHER,DISAPPROVE,YES,INDEPENDENT,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.318
60+,25.0,14.0,8.0,SECOND CALL,60-64,WHITE,MALE,OTHER,DISAPPROVE,YES,INDEPENDENT,PROTESTANT,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.37
60+,25.0,14.0,9.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,BRADLEY,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,0.426
60+,25.0,14.0,10.0,SECOND CALL,60-64,HISPANIC/LATINO,FEMALE,BRADLEY,APPROVE,YES,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,NEITHER,YES,BLACK,PROTESTANT/OTHER CHRISTIAN,0.431
60+,25.0,14.0,11.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,BRADLEY,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,0.426
60+,25.0,14.0,12.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,0.541
60+,25.0,14.0,13.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,BRADLEY,DISAPPROVE,YES,DEMOCRAT,PROTESTANT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,0.426
60+,25.0,14.0,14.0,SECOND CALL,60-64,HISPANIC/LATINO,FEMALE,OTHER,DISAPPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,NEITHER,YES,BLACK,CATHOLIC,0.47600000000000003
50-59,25.0,14.0,15.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,BLACK,PROTESTANT/OTHER CHRISTIAN,0.47000000000000003
25-29,25.0,14.0,16.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.372
50-59,25.0,14.0,17.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.37
50-59,25.0,14.0,18.0,THIRD CALL,50-59,HISPANIC/LATINO,MALE,GORE,DISAPPROVE,YES,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,0.465
50-59,25.0,14.0,19.0,THIRD CALL,50-59,WHITE,MALE,OTHER,DISAPPROVE,YES,INDEPENDENT,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.318
50-59,25.0,14.0,20.0,THIRD CALL,50-59,WHITE,MALE,OTHER,OMITS,,INDEPENDENT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,OMITS,NEITHER,NO,WHITE,CATHOLIC,0.318
