STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,SSMARRY,PREVPRID,SSPART,GORE,BRADLEY,BCPERSON,REL5,WEIGHT
46.0,2.0,1.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,TODAY,SOCIAL SECURITY/MEDICARE,HAS NEW IDEAS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,2.391
46.0,2.0,2.0,SECOND CALL,50-59,WHITE,MALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,HAS NEW IDEAS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,GREEN MOUNTAINS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,SOMETHING ELSE,2.5220000000000002
46.0,2.0,3.0,SECOND CALL,30-39,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS NEW IDEAS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,NONE,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,GREEN MOUNTAINS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,NO,FAVORABLE,FAVORABLE,FAVORABLE,NONE,2.5220000000000002
46.0,2.0,4.0,SECOND CALL,65-74,WHITE,MALE,BRADLEY,TODAY,ECONOMY/JOBS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,TOO LIBERAL,ABOUT RIGHT,STATE,NOT COMPLETE,GREEN MOUNTAINS,60+,60+,,65+,65-74,OMITS,OMITS,BUSH,OMITS,NO,,NO,OMITS,OMITS,OMITS,,2.809
46.0,2.0,5.0,SECOND CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICAN,APPROVE,BRADLEY PLAN BETTER,OMITS,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,NONE,NO,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,YES,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NONE,2.809
46.0,2.0,6.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,NOT TYPICAL POLITICAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,YES,"$75,000-$99,999",YES,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,2.391
46.0,2.0,7.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,3.767
46.0,2.0,8.0,SECOND CALL,75+,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,GREEN MOUNTAINS,60+,60+,,65+,75+,OMITS,OMITS,GORE,GORE,NO,,NO,OMITS,OMITS,OMITS,,3.975
46.0,2.0,9.0,SECOND CALL,45-49,WHITE,MALE,GORE,THIS YEAR,OMITS,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,OMITS,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,JEWISH,3.569
46.0,2.0,10.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST WEEK,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,3.383
