QTYPE,BUSHUNFR,GEOCODE,STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,PREVPRI,VETVOTER,GUNHH,GUNCHOIC,THRDCAND,RRFAV,MCRRIGHT,BEATDEM,REGREPCO,MEXICAN,REL5,WEIGHT
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,1.0,FIRST CALL,45-49,FEMALE,KEYES,BEFORE THAT,ABORTION,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,TAX CUT,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NO,,PROTECT GUN RIGHTS,NOT SATISFIED,FAVORABLE,GREAT DEAL,OMITS,UNDECLARED/INDEPENDENT,NO,PROTESTANT/OTHER CHRISTIAN,0.5650000000000001
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,2.0,FIRST CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,ABORTION,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BOTH,,NO,NO,REDUCE VIOLENCE,NOT SATISFIED,FAVORABLE,GREAT DEAL,OMITS,UNDECLARED/INDEPENDENT,NO,PROTESTANT/OTHER CHRISTIAN,1.516
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,3.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$50,000-$74,999",NO,,,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,BUSH,GORE,OMITS,BUSH,YES,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,NO,SOMETHING ELSE,1.516
STATE,OMITS,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,4.0,FIRST CALL,60-64,FEMALE,BUSH,THIS YEAR,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,NO,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,SOMEWHAT,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.8760000000000001
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,5.0,FIRST CALL,60-64,MALE,BUSH,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,NEITHER,YES,YES,YES,REDUCE VIOLENCE,NOT SATISFIED,FAVORABLE,SOMEWHAT,MCCAIN,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,2.0340000000000003
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,6.0,FIRST CALL,50-59,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,NO,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT MUCH,BUSH,UNDECLARED/INDEPENDENT,NO,PROTESTANT/OTHER CHRISTIAN,1.643
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,7.0,SECOND CALL,65-74,,BUSH,BEFORE THAT,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,YES,,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,2.0340000000000003
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,8.0,SECOND CALL,30-39,,BUSH,BEFORE THAT,MORAL VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,NO,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,GREAT DEAL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.516
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,9.0,SECOND CALL,45-49,FEMALE,MCCAIN,THIS YEAR,OMITS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,OTHER CHRISTIAN,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,OMITS,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NO,YES,PROTECT GUN RIGHTS,NOT SATISFIED,FAVORABLE,NOT MUCH,MCCAIN,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.482
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,10.0,SECOND CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,OMITS,MCCAIN,TOO CONSERVATIVE,NEITHER,YES,NO,NO,REDUCE VIOLENCE,SATISFIED,OMITS,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.8760000000000001
