BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,MCRRIGHT,BEATDEM,SENOHR,REL5,WEIGHT
COMPLETED,CENTRAL,36.0,2.0,1.0,FIRST CALL,30-39,MALE,BUSH,BEFORE THAT,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,TOO CONSERVATIVE,MCCAIN,NEITHER,YES,NO,NOT AT ALL,BUSH,DEWINE,PROTESTANT/OTHER CHRISTIAN,3.263
NOT COMPLETED,CENTRAL,36.0,2.0,2.0,FIRST CALL,50-59,FEMALE,BUSH,TODAY,EDUCATION,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,ALL VOTERS,BUSH,GORE,OMITS,OMITS,OMITS,YES,,SOMEWHAT,OMITS,DEWINE,,3.0460000000000003
COMPLETED,CENTRAL,36.0,2.0,3.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,NOT AT ALL,MCCAIN,DICKSON,PROTESTANT/OTHER CHRISTIAN,2.573
COMPLETED,CENTRAL,36.0,2.0,4.0,SECOND CALL,65-74,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,YES,NO,NOT MUCH,BUSH,CREMEANS,PROTESTANT/OTHER CHRISTIAN,2.2
COMPLETED,CENTRAL,36.0,2.0,5.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,SOMEWHAT,BUSH,DEWINE,PROTESTANT/OTHER CHRISTIAN,3.0460000000000003
COMPLETED,CENTRAL,36.0,2.0,6.0,SECOND CALL,65-74,MALE,BUSH,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,YES,NOT AT ALL,BUSH,DICKSON,PROTESTANT/OTHER CHRISTIAN,3.717
COMPLETED,CENTRAL,36.0,2.0,7.0,THIRD CALL,30-39,FEMALE,BUSH,BEFORE THAT,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,GREAT DEAL,BUSH,OTHER,PROTESTANT/OTHER CHRISTIAN,2.928
COMPLETED,CENTRAL,36.0,2.0,8.0,THIRD CALL,65-74,FEMALE,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,BUSH,BOTH,YES,NO,SOMEWHAT,MCCAIN,DEWINE,PROTESTANT/OTHER CHRISTIAN,2.608
COMPLETED,CENTRAL,36.0,2.0,9.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BOTH,YES,NO,NOT AT ALL,BUSH,DICKSON,PROTESTANT/OTHER CHRISTIAN,3.344
COMPLETED,CENTRAL,36.0,2.0,10.0,THIRD CALL,60-64,FEMALE,BUSH,BEFORE THAT,ABORTION,STRONG LEADER,OMITS,YES,OMITS,YES,STRENGTHEN SOCIAL SECURITY,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,OMITS,ALL VOTERS,BUSH,OMITS,OMITS,BUSH,OMITS,YES,NO,OMITS,OMITS,,PROTESTANT/OTHER CHRISTIAN,3.2560000000000002
