STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,BUSHKNOW,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYDEMS,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,REGION,WEIGHT
5.0,2.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,YES,,,DEMOCRAT,COLLEGE GRADUATE,NONE,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,742.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,YES,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.742
5.0,2.0,3.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,OMITS,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,,INDEPENDENT,,,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,742.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,UNFAVORABLE,,YES,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.742
5.0,2.0,4.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,TODAY,OMITS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,OMITS,"$15,000-$29,000",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,YES,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,1.0070000000000001
5.0,2.0,5.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,TODAY,HEALTH CARE,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,742.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,UNFAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.742
5.0,2.0,6.0,SECOND CALL,75+,WHITE,MALE,GORE,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,75+,1434.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,1.434
5.0,2.0,8.0,SECOND CALL,50-59,BLACK,MALE,GORE,THIS YEAR,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,,,SAME,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,1031.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,1.031
5.0,2.0,9.0,SECOND CALL,75+,BLACK,FEMALE,GORE,BEFORE THAT,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,YES,DEMOCRAT,,,YES,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,75+,817.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.8170000000000001
5.0,2.0,10.0,SECOND CALL,65-74,BLACK,,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,OMITS,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,817.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,YES,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.8170000000000001
5.0,2.0,11.0,SECOND CALL,50-59,BLACK,MALE,GORE,BEFORE THAT,EDUCATION,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,YES,DEMOCRAT,,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,1031.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,1.031
5.0,2.0,12.0,SECOND CALL,30-39,ASIAN,FEMALE,BRADLEY,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,SOMETHING ELSE,,,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,742.0,,,BUSH,MCCAIN,YES,,,YELLOW,BRADLEY,,,UNFAVORABLE,,NO,NO,ASIAN,,DEMOCRAT,NOT SATISFIED,OTHERS,0.742
