STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,RACEREL,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,GORE,BRADLEY,BCPERSON,REL5,WEIGHT,PREVPRID
11.0,2.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,TODAY,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NEW REPUBLICANS,18-29,18-24,DEMOCRAT,18-24,18-24,FAVORABLE,UNFAVORABLE,BUSH,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.488,YES
11.0,2.0,2.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,OMITS,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,GORE,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,GORE,GORE,FAVORABLE,OMITS,FAVORABLE,SOMETHING ELSE,0.638,YES
11.0,2.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,GORE,OMITS,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.5640000000000001,YES
11.0,2.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NEW REPUBLICANS,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.481,NO
11.0,2.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,GORE,NEITHER,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.526,YES
11.0,2.0,6.0,FIRST CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,NEW REPUBLICANS,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.5640000000000001,
11.0,2.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NEW REPUBLICANS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.481,YES
11.0,2.0,8.0,SECOND CALL,75+,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,GORE,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.526,YES
11.0,2.0,9.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NEW REPUBLICANS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.481,YES
11.0,2.0,10.0,SECOND CALL,60-64,WHITE,FEMALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,STRONG LEADER,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,ONLY BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,OMITS,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.5760000000000001,YES
