BUSHKNOW,OTHPRIRI,GEOCODE,OTHERPRI,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ISSVQUAL,REPSEEN,RELRIGHT,VOTE96,ABORTION,FINSIT,SSTAX,BUSHDAD,PARTYID,MCAINVET,ATTEND,EDUC,RELIGION,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,VETERAN,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,BUSH,MCCAIN,FORBES,INTERNET,NHSTEC,STR8TALK,ETAX,MARRIED,CHILD,REFORMVT,RELPUB,DESCRIBE,BEATDEM,ELIFE,CAMPFIN,BRNAGAIN,REGREP,REL5,WEIGHT
Yes,,Rural north,,30.0,1.0,1.0,Call 1,30-39,Male,Bush,Within 3 days,Would like someone else,,Moral values,Can win in November,My candidates personal qualities,,Yes,,Legal in all cases,,,,Independent,,Never,College graduate,None,No,"$50,000 - $74,999",No,No,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Undeclared/Independent,None,1.516
Yes,,Rural north,,30.0,1.0,2.0,Call 1,50-59,Female,Bush,Within last week,Satisfied with candidates,,Taxes,Strong leader,My candidates personal qualities,,OMITS,Did not vote,Legal in most cases,,,,Independent,,Few times a year,,Protestant,No,"$50,000 - $74,999",Yes,Yes,Moderate,Moderate,,18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Protestant/Other Christian,1.427
No,,Rural north,,30.0,1.0,3.0,Call 1,50-59,Male,McCain,This year,Satisfied with candidates,,Moral values,Stands up for beliefs,My candidates positions on the issues,,No,Did not vote,Legal in most cases,,,,Independent,,Few times a year,Some college/Associate,Catholic,Yes,"$50,000 - $74,999",Yes,No,Somewhat conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Undeclared/Independent,Catholic,1.21
No,,Rural north,,30.0,1.0,4.0,Call 1,45-49,Male,McCain,Within last week,Would like someone else,,Moral values,Stands up for beliefs,My candidates personal qualities,,No,Did not vote,Legal in all cases,,,,Independent,,Never,College graduate,Something else,Yes,"$30,000 - $49,999",Yes,No,Moderate,Moderate,No,18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Republican,Something else,1.21
Yes,,Rural north,,30.0,1.0,5.0,Call 1,60-64,Female,McCain,Within last week,Satisfied with candidates,,Social Security/Medicare,Stands up for beliefs,My candidates positions on the issues,,No,Other,Legal in most cases,,,,Independent,,Once a week,College graduate,Protestant,No,"$50,000 - $74,999",No,No,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Protestant/Other Christian,1.574
No,,Rural north,,30.0,1.0,6.0,Call 1,75 and over,Female,Forbes,This year,Satisfied with candidates,,Moral values,Understands complex issues,My candidates personal qualities,,No,Dole,Legal in most cases,,,,Republican,,Few times a month,College graduate,Protestant,No,"$30,000 - $49,999",No,No,Somewhat conservative,Conservative,"Yes, both voter and someone else",65 and over,75 and over,Complete,60 and over,60 and over,Republican,65 and over,75 and over,,,,,,,,,No,No,,Keep to themselves,,,,,Yes,Republican,Protestant/Other Christian,1.692
Yes,,Rural north,,30.0,1.0,7.0,Call 1,40-44,Female,Keyes,Within last week,Satisfied with candidates,,World affairs,Stands up for beliefs,My candidates positions on the issues,,Yes,Did not vote,OMITS,,,,Republican,,Once a week,High school graduate,Catholic,No,"$30,000 - $49,999",Yes,Yes,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,Yes,Republican,Catholic,1.617
No,,Rural north,,30.0,1.0,8.0,Call 1,50-59,,McCain,Before that,Satisfied with candidates,,World affairs,Stands up for beliefs,My candidates positions on the issues,,No,Other,Legal in most cases,,,,Independent,,More than once a week,Post graduate study,Something else,Yes,"Under $15,000",Yes,No,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,No,No,,Keep to themselves,,,,,No,Undeclared/Independent,Something else,1.1380000000000001
Yes,,Rural north,,30.0,1.0,9.0,Call 1,45-49,Male,McCain,This year,Satisfied with candidates,,OMITS,Strong leader,My candidates positions on the issues,,No,Other,OMITS,,,,Independent,,Once a week,College graduate,Catholic,No,"$50,000 - $74,999",Yes,No,Somewhat conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Republican,Catholic,1.21
No,,Rural north,,30.0,1.0,10.0,Call 1,30-39,,McCain,Within last week,Satisfied with candidates,,Abortion,Stands up for beliefs,My candidates personal qualities,,No,Other,Legal in all cases,,,,Something else,,Few times a year,Some college/Associate,Something else,No,"$50,000 - $74,999",No,No,Very conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Undeclared/Independent,Something else,1.21
