BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,BEATDEM,REL5,WEIGHT
COMPLETED,LARGE CITIES,7.0,1.0,1.0,FIRST CALL,30-39,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,BUSH,CATHOLIC,0.528
COMPLETED,LARGE CITIES,7.0,1.0,2.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,OMITS,BUSH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,BUSH,CATHOLIC,0.513
COMPLETED,LARGE CITIES,7.0,1.0,3.0,FIRST CALL,40-44,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,MCCAIN,CATHOLIC,0.428
COMPLETED,LARGE CITIES,7.0,1.0,4.0,FIRST CALL,65-74,MALE,BUSH,BEFORE THAT,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,GORE,OMITS,ABOUT RIGHT,BUSH,YES,BUSH,YES,YES,LOYAL REPUBLICAN,BUSH,PROTESTANT/OTHER CHRISTIAN,0.662
COMPLETED,LARGE CITIES,7.0,1.0,5.0,FIRST CALL,50-59,FEMALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,CATHOLIC,0.428
COMPLETED,LARGE CITIES,7.0,1.0,6.0,FIRST CALL,50-59,MALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,OMITS,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.502
COMPLETED,LARGE CITIES,7.0,1.0,7.0,FIRST CALL,60-64,,BUSH,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,OMITS,NEITHER,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,CATHOLIC,0.644
COMPLETED,LARGE CITIES,7.0,1.0,8.0,FIRST CALL,50-59,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NONE,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,NONE,0.428
COMPLETED,LARGE CITIES,7.0,1.0,9.0,FIRST CALL,45-49,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,LOYAL REPUBLICAN,MCCAIN,CATHOLIC,0.428
COMPLETED,LARGE CITIES,7.0,1.0,10.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,MCCAIN,CATHOLIC,0.44
COMPLETED,LARGE CITIES,7.0,1.0,11.0,SECOND CALL,75+,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.55
COMPLETED,LARGE CITIES,7.0,1.0,12.0,SECOND CALL,40-44,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.44
COMPLETED,LARGE CITIES,7.0,1.0,13.0,SECOND CALL,60-64,MALE,BUSH,BEFORE THAT,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,OMITS,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,NO,NEITHER,YES,NO,LOYAL REPUBLICAN,BUSH,CATHOLIC,0.662
COMPLETED,LARGE CITIES,7.0,1.0,14.0,SECOND CALL,60-64,FEMALE,MCCAIN,OMITS,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,TOO CONSERVATIVE,MCCAIN,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,CATHOLIC,0.535
COMPLETED,LARGE CITIES,7.0,1.0,15.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,NO,OMITS,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.428
