ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,ISSUE,NEC,iraqtrps,gwbangr,gaymrrge,barbangr,kerryms,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1065740.0,Mississippi,101.0,Call 1,Backside complete,1.83433067798615,Al Sharpton,Female,Other,No,25-29,Republican,Moderate,Some college or associate degree,,Better today,No one does,Other Christian,More than once a week,Yes,Health care/Medicare,Good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Dissatisfied, but not angry",Not too likely,Hillary Clinton,Somewhat,Created more jobs in your state,Not too confident,18-29,18-29,25-29,Weekly,Protestant/Attend Weekly,No college degree,,Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Excellent/Good,18-64,Republican,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Not too/not at all confident,Other,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065753.0,Mississippi,101.0,Call 1,Backside complete,0.658087432384491,Howard Dean,Female,Black,No,40-44,Democrat,Somewhat liberal,College graduate,,Omit,,,Omit,No,Education,Omit,Withdraw all troops,Angry,Gay couples allowed to legally marry,Angry,Somewhat likely,Hillary Clinton,Omit,Created more jobs in your state,Omit,30-44,30-44,40-49,Omit,All others/Omits,College degree,,Withdraw some/all troops,Very/somewhat likely,Omit,Omit,18-64,Democrat,Liberal,,All others/Omits,Non-white female,,,Omit,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065764.0,Mississippi,48.0,Call 1,Backside complete,1.83433067798615,John Kerry,Female,White,No,60-64,Independent,Moderate,High school graduate,"$15,000-$29,999",Worse today,No one does,Protestant,More than once a week,No,Health care/Medicare,Poor,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,John Edwards,Somewhat,Taken more jobs from your state,Somewhat confident,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,No,No,Very/somewhat confident,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,4.0,39567.0
1065777.0,Mississippi,101.0,Call 1,Backside not complete,1.25358605384827,Howard Dean,Female,White,No,30-39,,,,,,,,,,Taxes,,Withdraw all troops,"Dissatisfied, but not angry",,"Dissatisfied, but not angry",Somewhat likely,Mary Landrieu,,Taken more jobs from your state,,30-44,30-44,30-39,,,,,Withdraw some/all troops,Very/somewhat likely,,,18-64,,,,,White female,,,,White,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065778.0,Mississippi,101.0,Call 1,Backside complete,0.728560626506805,Howard Dean,Male,Black,No,18-24,Democrat,Very liberal,Did not complete high school,"Under $15,000",Better today,"Yes, I do",Protestant,More than once a week,Yes,Taxes,Excellent,Withdraw some troops,Angry,Gay couples allowed to legally marry,Angry,Very likely,Hillary Clinton,A lot,Taken more jobs from your state,Very confident,18-29,18-29,18-24,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065779.0,Mississippi,48.0,Call 1,Backside complete,0.747999370098114,John Edwards,Male,White,No,25-29,Democrat,Somewhat liberal,Postgraduate study,"$75,000-$99,999",About the same,"Yes, someone else does",Protestant,Once a week,Yes,Economy/Jobs,Poor,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,Angry,Not too likely,John Edwards,A lot,Taken more jobs from your state,Very confident,18-29,18-29,25-29,Weekly,Protestant/Attend Weekly,College degree,"$50,000 or more",Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White male,"Yes, I am or someone in household is",No,Very/somewhat confident,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,4.0,39567.0
1065789.0,Mississippi,101.0,Call 1,Backside not complete,1.83433067798615,John Kerry,Male,,,,,,,,,,,,,Omit,,Omit,"Dissatisfied, but not angry",,"Dissatisfied, but not angry",Omit,Omit,,Omit,,,,,,,,,Omit,Omit,,,,,,,,,,,,,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065790.0,Mississippi,48.0,Call 1,Backside not complete,1.83433067798615,John Kerry,Female,White,No,75 or over,,,,,,,,,,Economy/Jobs,,Send more troops,"Satisfied, but not enthusiastic",,"Satisfied, but not enthusiastic",Very likely,Dick Gephardt,,Taken more jobs from your state,,65 or over,60 or over,65 or over,,,,,Send more/Keep the same number of troops,Very/somewhat likely,,,65 or over,,,,,White female,,,,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,4.0,39567.0
1065799.0,Mississippi,101.0,Call 1,Backside complete,1.44511270523071,Howard Dean,Male,White,No,30-39,Republican,Moderate,Some college or associate degree,"$15,000-$29,999",About the same,No one does,Other Christian,Once a week,No,The situation in Iraq,Good,Keep the same number of troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Dissatisfied, but not angry",Somewhat likely,Hillary Clinton,A lot,Created more jobs in your state,Not at all confident,30-44,30-44,30-39,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Republican,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White male,No,No,Not too/not at all confident,White,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065801.0,Mississippi,48.0,Call 1,Backside complete,1.04160249233246,John Edwards,,White,No,65-74,Democrat,Very liberal,Postgraduate study,"Under $15,000",Better today,No one does,Something else,More than once a week,Yes,Economy/Jobs,Poor,Send more troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Very likely,John Edwards,A lot,Taken more jobs from your state,Somewhat confident,65 or over,60 or over,65 or over,Weekly,All others/Omits,College degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Something else,White Something else,,No,No,Very/somewhat confident,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,4.0,39567.0
