ID,STANUM,PRECINCT,VERSION,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,FTVOTEP,VISITWEB,GUNOWNER,REGISTNH,TIMEDP,ISSUE,QUAL,NEC,IRAQAPP,BREAKING,BUSHANGR,BEATBUSH,BUSHTAX,CIVUNION,DEANTEMP,ECONWORR,FAVCLRK,FAVDEAN,FAVEDWR,FAVKERR,FAVLIEB,FAVMCCA,IRAQSAFE,TERRWORR,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,ECOWORR2,ftever,FTPRIM,iraq2,MILHH,MILVOTER,NEC2,OVER65,PARTY,PHIL3,REL5,SEXRACE,TERWORR2,TIMEDP2,UNIONHH,UNIONMEM,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
598585.0,New Hampshire,42.0,Version 1,Call 1,Backside complete,0.874926328659058,Wesley Clark,Female,White,No,50-59,Independent,Moderate,College graduate,"$50,000-$74,999",,No one does,No one has,None,Never,Have voted in presidential primary before,Never,Yes,,In the last month,Taxes,,Not so good,Strongly disapprove,Very important,Angry,He can defeat George W. Bush in November,,Favor,Yes,,,,,,,,,,45-64,45-59,50-64,Never,All others/Omits,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Independent,Moderate,None,White female,,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598586.0,New Hampshire,44.0,Version 2,Call 1,Backside complete,0.843982696533203,Howard Dean,Male,White,No,45-49,Independent,Moderate,,"$100,000 or more",About the same,"Yes, someone else does",,,,,,,Registered Undeclared/Independent,In the last three days,,He has a positive message,Not so good,,Not too important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Very worried,Unfavorable,Favorable,Favorable,Favorable,Favorable,Unfavorable,Yes,Somewhat worried,45-64,45-59,40-49,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Independent,Moderate,,White male,Very/somewhat worried,Last 3 days/Last week,"Yes, I am or someone in household is",Someone else in household is,White,South,Rural,Small cities and Rural,1.0,03106
598587.0,New Hampshire,42.0,Version 1,Call 1,Backside complete,1.22159230709076,John Kerry,Male,White,No,30-39,Democrat,Very liberal,Postgraduate study,"$30,000-$49,999",,"Yes, I do",No one has,None,Never,Have voted in presidential primary before,Frequently,No,,In the last three days,Economy/Jobs,,Poor,Strongly disapprove,Not at all important,Angry,He can defeat George W. Bush in November,,Favor,Yes,,,,,,,,,,30-44,30-44,30-39,Never,All others/Omits,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Democrat,Liberal,None,White male,,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,South,Suburbs,Suburbs,2.0,03244
598588.0,New Hampshire,62.0,Version 2,Call 1,Backside complete,0.773235738277435,Howard Dean,Female,White,No,30-39,Democrat,Somewhat liberal,,"$100,000 or more",Better today,No one does,,,,,,,Registered Democrat,In the last three days,,He would shake things up in Washington,Not so good,,Very important,"Dissatisfied, but not angry",,Canceled for all Americans,,,Somewhat worried,Unfavorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,No,Somewhat worried,30-44,30-44,30-39,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White female,Very/somewhat worried,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598589.0,New Hampshire,75.0,Version 1,Call 1,Backside complete,0.688878893852234,Howard Dean,Female,White,No,65-74,Independent,Somewhat conservative,Postgraduate study,"$100,000 or more",,No one does,"Yes, someone else has",Catholic,More than once a week,Have voted in presidential primary before,Occasionally,No,,In the last month,The war in Iraq,,Good,Somewhat disapprove,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,,Oppose,Yes,,,,,,,,,,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",Someone else in household has,Excellent/Good,65 or over,Independent,Conservative,Catholic,White female,,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03062
598590.0,New Hampshire,42.0,Version 2,Call 1,Backside complete,1.02434277534485,John Edwards,Male,White,No,40-44,Democrat,Somewhat liberal,,"$50,000-$74,999",Better today,"Yes, I do",,,,,,,Registered Undeclared/Independent,In the last three days,,He can defeat George W. Bush,Not so good,,Not at all important,Angry,,Canceled only for the wealthy,,,Very worried,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,No,Not too worried,30-44,30-44,40-49,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White male,Not too/not at all worried,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,South,Suburbs,Suburbs,2.0,03244
598591.0,New Hampshire,62.0,Version 1,Call 1,Backside complete,0.656728506088257,,Female,White,No,50-59,Democrat,Moderate,College graduate,,,No one does,No one has,Jewish,A few times a year,Have voted in presidential primary before,Occasionally,No,,In the last three days,Economy/Jobs,,Poor,Somewhat disapprove,Omit,Angry,He agrees with you on the major issues,,Favor,Yes,,,,,,,,,,45-64,45-59,50-64,Occasionally,All others/Omits,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Democrat,Moderate,Jewish,White female,,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598592.0,New Hampshire,62.0,Version 1,Call 1,Backside complete,0.773235738277435,Howard Dean,Female,Hispanic/Latino,Yes,45-49,Democrat,Somewhat liberal,Some college or associate degree,"$30,000-$49,999",,No one does,"Yes, someone else has",Something else,A few times a month,"Have voted before, but not in a presidential primary",Never,No,,In the last three days,The war in Iraq,,Not so good,Strongly disapprove,Omit,Angry,He agrees with you on the major issues,,Favor,Yes,,,,,,,,,,45-64,45-59,40-49,Occasionally,All others/Omits,No college degree,,Have voted before,First time voting in a presidential primary,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",Someone else in household has,Not so good/Poor,18-64,Democrat,Liberal,Something else,Non-white female,,Last 3 days/Last week,No union member in household,No union member in household,Hispanic/Latino,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598593.0,New Hampshire,42.0,Version 2,Call 1,Backside complete,0.828019320964813,John Edwards,Female,White,No,45-49,Independent,Moderate,,"$30,000-$49,999",About the same,No one does,,,,,,,Registered Undeclared/Independent,In the last month,,He cares about people like me,Good,,Not too important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Somewhat worried,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,Yes,Somewhat worried,45-64,45-59,40-49,,,,Very/somewhat worried,,,,,,Excellent/Good,18-64,Independent,Moderate,,White female,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598594.0,New Hampshire,75.0,Version 2,Call 1,Backside complete,0.688878893852234,Howard Dean,Female,White,No,65-74,Democrat,Moderate,,"$75,000-$99,999",Worse today,"Yes, I do",,,,,,,Registered Democrat,Before that,,He has a positive message,Not so good,,Not at all important,"Dissatisfied, but not angry",,Canceled for all Americans,,,Very worried,Unfavorable,Favorable,Unfavorable,Unfavorable,Favorable,Unfavorable,No,Somewhat worried,65 or over,60 or over,65 or over,,,,Very/somewhat worried,,,,,,Not so good/Poor,65 or over,Democrat,Moderate,,White female,Very/somewhat worried,Last month/Before that,"Yes, I am or someone in household is",Yes I am,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03062
