ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,issue,qual,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,satkerry,AGE,AGE60,AGE65,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,qrace,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
665339.0,Oklahoma,17.0,Call 1,Backside complete,0.772777199745178,John Kerry,Female,White,No,65-74,Democrat,Moderate,Some college or associate degree,"Under $15,000",Worse today,No one does,"Yes, someone else has",Protestant,A few times a year,Not working and not looking for work,Never,Today,Health care/Medicare,He has a positive message,Not so good,Somewhat disapprove,Not too important,Angry,He agrees with you on the major issues,Very satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,West,Rural,Small cities and Rural,5.0,73601.0
665367.0,Oklahoma,17.0,Call 1,Backside complete,0.863469123840332,John Kerry,Female,White,No,40-44,Democrat,Somewhat conservative,College graduate,"$50,000-$74,999",About the same,No one does,No one has,Protestant,More than once a week,Employed full-time,Never,Today,Education,He cares about people like me,Not so good,Strongly approve,Very important,Enthusaistic,He agrees with you on the major issues,Somewhat satisfied,30-44,30-44,40-49,Weekly,Protestant/Attend Weekly,Very/somewhat important,College degree,Employed women,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,West,Rural,Small cities and Rural,5.0,73601.0
665375.0,Oklahoma,70.0,Call 1,Backside complete,0.813154935836792,John Kerry,Male,Other,No,50-59,Democrat,Somewhat liberal,Some college or associate degree,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Catholic,More than once a week,Employed full-time,Frequently,Before that,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,Very important,Angry,He agrees with you on the major issues,Very satisfied,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Catholic,All others/Omits,Very/Somewhat satisfied,Non-white male,Last month/Before that,No,No,Frequently/Occasionally,American Indian,West,Rural,Small cities and Rural,4.0,74873.0
665381.0,Oklahoma,70.0,Call 1,Backside complete,0.850291728973389,John Edwards,Female,White,No,50-59,Republican,Moderate,Postgraduate study,"$50,000-$74,999",Better today,No one does,"Yes, someone else has",Protestant,Never,Employed full-time,Never,In the last week,National security/Terrorism,He has a positive message,Excellent,Strongly approve,Not at all important,Enthusaistic,He agrees with you on the major issues,Very dissatisfied,45-64,45-59,50-64,Never,Protestant/Do not attend weekly,Not too/Not at all important,College degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Republican,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,West,Rural,Small cities and Rural,4.0,74873.0
665397.0,Oklahoma,17.0,Call 1,Backside complete,0.863469123840332,John Kerry,Female,White,No,45-49,Democrat,Somewhat liberal,Postgraduate study,"$50,000-$74,999",Worse today,"Yes, I do",No one has,Other Christian,A few times a year,Employed full-time,Never,Today,Education,He cares about people like me,Not so good,Strongly disapprove,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat satisfied,45-64,45-59,40-49,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,West,Rural,Small cities and Rural,5.0,73601.0
665414.0,Oklahoma,70.0,Call 1,Backside complete,0.912290990352631,Wesley Clark,Male,White,No,75 or over,Democrat,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",About the same,"Yes, I do","Yes, I have",Other Christian,Once a week,Not working and not looking for work,Never,Before that,Economy/Jobs,He stands up for what he believes,Poor,Strongly disapprove,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat satisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,West,Rural,Small cities and Rural,4.0,74873.0
665426.0,Oklahoma,17.0,Call 1,Backside not complete,0.857944548130035,John Edwards,Male,White,,,,,,,,,,,,,,In the last week,Economy/Jobs,Omit,,,,Omit,,Omit,,,,,,,,,,,,,,,,,,Omit,White male,Today/Last 3 days/Last week,,,,White,West,Rural,Small cities and Rural,5.0,73601.0
665452.0,Oklahoma,17.0,Call 1,Backside complete,0.841058313846588,John Edwards,Male,White,No,65-74,Democrat,Somewhat conservative,Did not complete high school,"$15,000-$29,999",Worse today,No one does,No one has,Protestant,A few times a year,Employed full-time,Never,Today,Health care/Medicare,He has a positive message,Poor,Somewhat approve,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Strongly/Somewhat approve,No,No,Not so good/Poor,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,West,Rural,Small cities and Rural,5.0,73601.0
665455.0,Oklahoma,53.0,Call 1,Backside complete,1.34859943389893,Wesley Clark,Female,White,,50-59,Democrat,Somewhat liberal,Some college or associate degree,"$75,000-$99,999",About the same,"Yes, I do","Yes, someone else has",Protestant,A few times a year,Employed full-time,Rarely,In the last month,Economy/Jobs,He can defeat George W. Bush,Not so good,Strongly disapprove,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Somewhat dissatisfied,45-64,45-59,50-64,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White female,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,Oklahoma City area,"City over 500,000","City over 50,000",6.0,73119.0
665456.0,Oklahoma,35.0,Call 1,Backside complete,0.830893993377686,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,Some college or associate degree,"$50,000-$74,999",Worse today,No one does,"Yes, someone else has",Something else,More than once a week,Employed full-time,Frequently,In the last month,Taxes,He stands up for what he believes,Not so good,Strongly disapprove,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very satisfied,45-64,45-59,50-64,Weekly,All others/Omits,Very/somewhat important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Something else,White Something else,Very/Somewhat satisfied,White female,Last month/Before that,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,2.0,74432.0
