ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,MEXICAN,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,ISSUE,NEC,iraqtrps,gwbangr,gaymrrge,perrangr,KERRYTX,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1066071.0,Texas,114.0,Call 1,Backside complete,1.57456231117249,John Edwards,Female,Hispanic/Latino,Yes,30-39,Independent,Somewhat liberal,High school graduate,"$15,000-$29,999",About the same,No one does,None,A few times a year,No,National security/Terrorism,Not so good,Keep the same number of troops,Enthusaistic,Gay couples allowed to legally form civil unions,"Satisfied, but not enthusiastic",Somewhat likely,John Edwards,Not much,Taken more jobs from your state,Very confident,30-44,30-44,30-39,Occasionally,All others/Omits,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,Not much/Not at all,Not so good/Poor,18-64,Independent,Liberal,None,All others/Omits,Non-white female,No,No,Very/somewhat confident,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066078.0,Texas,114.0,Call 1,Backside complete,0.956831157207489,John Kerry,Female,Hispanic/Latino,Yes,40-44,Democrat,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,Catholic,A few times a month,No,Education,Not so good,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,"Satisfied, but not enthusiastic",Very likely,Hillary Clinton,A lot,Had no effect on jobs in your state,Very confident,30-44,30-44,40-49,Occasionally,Catholic/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Catholic,All others/Omits,Non-white female,No,No,Very/somewhat confident,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066083.0,Texas,114.0,Call 1,Backside complete,1.57456231117249,Other,Male,Hispanic/Latino,Yes,30-39,Independent,Very conservative,Postgraduate study,"$30,000-$49,999",About the same,No one does,Other Christian,A few times a year,No,National security/Terrorism,Excellent,Withdraw some troops,Enthusaistic,No legal recognition of gay couples' relationships,Enthusaistic,Not at all likely,Omit,Not at all,Created more jobs in your state,Not too confident,30-44,30-44,30-39,Occasionally,Protestant/Do not attend weekly,College degree,"Under $50,000",Withdraw some/all troops,Not too/Not at all likely,Not much/Not at all,Excellent/Good,18-64,Independent,Conservative,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Not too/not at all confident,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066090.0,Texas,114.0,Call 1,Backside complete,1.23240053653717,Dennis Kucinich,Male,Hispanic/Latino,Yes,45-49,Democrat,Somewhat liberal,High school graduate,"$30,000-$49,999",Better today,"Yes, I do",Catholic,Once a week,No,Economy/Jobs,Good,Withdraw all troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,Angry,Very likely,Hillary Clinton,Not at all,Taken more jobs from your state,Somewhat confident,45-64,45-59,40-49,Weekly,Catholic/Attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,Not much/Not at all,Excellent/Good,18-64,Democrat,Liberal,Catholic,All others/Omits,Non-white male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066093.0,Texas,74.0,Call 1,Backside not complete,1.47461354732513,John Kerry,Male,Black,No,50-59,,,,,,,,,,Economy/Jobs,,Withdraw all troops,Angry,,Angry,Very likely,John Edwards,,Taken more jobs from your state,,45-64,45-59,50-64,,,,,Withdraw some/all troops,Very/somewhat likely,,,18-64,,,,,Non-white male,,,,Black,Houston,"City over 500,000","City over 50,000",29.0,77049.0
1066097.0,Texas,114.0,Call 1,Backside not complete,0.904608428478241,John Kerry,Female,Hispanic/Latino,Yes,,,,,,,,,,,Education,,Omit,Omit,,Angry,Very likely,Omit,,Taken more jobs from your state,,,,,,,,,Omit,Very/somewhat likely,,,,,,,,Non-white female,,,,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066101.0,Texas,114.0,Call 1,Backside complete,1.10327458381653,John Kerry,Male,Hispanic/Latino,Yes,50-59,Democrat,Moderate,College graduate,"$75,000-$99,999",Worse today,No one does,Catholic,More than once a week,No,Health care/Medicare,Poor,Withdraw all troops,Angry,No legal recognition of gay couples' relationships,Angry,Very likely,John Edwards,Somewhat,Taken more jobs from your state,Not too confident,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Catholic,All others/Omits,Non-white male,No,No,Not too/not at all confident,Hispanic/Latino,Hispanic/South,"City: 10,000 to 49,999",Small cities and Rural,23.0,78852.0
1066106.0,Texas,74.0,Call 1,Backside complete,1.18204402923584,John Kerry,Female,Hispanic/Latino,Yes,45-49,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",Worse today,No one does,Catholic,A few times a year,No,Economy/Jobs,Not so good,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Dissatisfied, but not angry",Somewhat likely,John Edwards,A lot,Omit,Somewhat confident,45-64,45-59,40-49,Occasionally,Catholic/Do not attend weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Liberal,Catholic,All others/Omits,Non-white female,No,No,Very/somewhat confident,Hispanic/Latino,Houston,"City over 500,000","City over 50,000",29.0,77049.0
1066108.0,Texas,1.0,Call 1,Backside complete,1.35323762893677,John Kerry,Female,White,No,40-44,Independent,Somewhat liberal,College graduate,"$75,000-$99,999",About the same,No one does,Protestant,Never,No,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Dissatisfied, but not angry",Somewhat likely,John Edwards,A lot,Taken more jobs from your state,Somewhat confident,30-44,30-44,40-49,Never,Protestant/Do not attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White female,No,No,Very/somewhat confident,White,South-Central,Suburbs,Suburbs,11.0,76501.0
1066111.0,Texas,74.0,Call 1,Backside complete,1.26208126544952,John Kerry,Male,Hispanic/Latino,Yes,30-39,Democrat,Moderate,Some college or associate degree,"$75,000-$99,999",Better today,No one does,Catholic,A few times a year,No,Economy/Jobs,Poor,Withdraw all troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Somewhat likely,John Edwards,Somewhat,Had no effect on jobs in your state,Very confident,30-44,30-44,30-39,Occasionally,Catholic/Do not attend weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Catholic,All others/Omits,Non-white male,No,No,Very/somewhat confident,Hispanic/Latino,Houston,"City over 500,000","City over 50,000",29.0,77049.0
