ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BUSHANGR,BEATBUSH,gaymrrge,suppdean,REPLTAX,satkerry,TRADE,AGE,AGE60,AGE65,COLLEDUC,DEANDFCT,INC50K,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
823073.0,Wisconsin,79.0,Call 1,Backside complete,0.826778948307037,Did not vote,Male,White,No,65-74,Something Else,Somewhat conservative,High school graduate,,About the same,"Yes, I do and someone else does",No one has,Protestant,In the last month,Health care/Medicare,He stands up for what he believes,Omit,Omit,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Has no effect on jobs in your state,65 or over,60 or over,65 or over,No college degree,Yes,,Omit,No,No,Omit,65 or over,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53051.0
823081.0,Wisconsin,67.0,Call 1,Backside complete,0.707095086574554,Did not vote,Female,White,No,60-64,Republican,Somewhat conservative,College graduate,,Better today,No one does,No one has,Protestant,Before that,National security/Terrorism,He has a positive message,Good,Strongly approve,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Somewhat satisfied,Takes more jobs from your state,45-64,60 or over,50-64,College degree,Yes,,Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Last month/Before that,No,No,White,South,Suburbs,Suburbs,1.0,53563.0
823147.0,Wisconsin,45.0,Call 1,Backside complete,1.02124917507172,Did not vote,Male,Asian,No,30-39,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,No one has,Other Christian,Before that,Taxes,Omit,Not so good,Somewhat approve,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,No,Repealed for all Americans,Somewhat satisfied,Takes more jobs from your state,30-44,30-44,30-39,No college degree,Yes,"Under $50,000",Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,All others/Omits,Very/Somewhat satisfied,Non-white male,Last month/Before that,No,No,Asian,Milwaukee,"City over 500,000","City over 50,000",4.0,53215.0
823167.0,Wisconsin,41.0,Call 1,Backside complete,0.600546538829803,Did not vote,Female,White,No,65-74,Independent,Somewhat conservative,College graduate,"$50,000-$74,999",About the same,No one does,No one has,Catholic,Before that,Health care/Medicare,He has the right experience,Good,Strongly approve,Enthusaistic,Omit,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Has no effect on jobs in your state,65 or over,60 or over,65 or over,College degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,65 or over,Independent,Conservative,Catholic,White Catholic,Very/Somewhat dissatisfied,White female,Last month/Before that,No,No,White,Milwaukee,Suburbs,Suburbs,4.0,53110.0
823500.0,Wisconsin,54.0,Call 1,Backside complete,0.695544183254242,Did not vote,Male,White,,65-74,Republican,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",About the same,No one does,"Yes, I have",Protestant,Omit,Omit,Omit,Good,Strongly approve,Enthusaistic,Omit,No legal recognition of gay couples' relationships,Omit,Left entirely in place,Very dissatisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,No,"Under $50,000",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,Omit,No,No,White,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
823504.0,Wisconsin,34.0,Call 1,Backside complete,0.723702967166901,Did not vote,Male,White,No,18-24,Republican,Somewhat conservative,Some college or associate degree,"$100,000 or more",Worse today,No one does,No one has,Catholic,In the last week,The war in Iraq,He stands up for what he believes,Good,Strongly approve,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Somewhat satisfied,Takes more jobs from your state,18-29,18-29,18-24,No college degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Catholic,White Catholic,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,White,South,Rural,Small cities and Rural,1.0,53171.0
823519.0,Wisconsin,54.0,Call 1,Backside complete,0.695871353149414,Did not vote,Female,White,,65-74,Republican,Very conservative,Some college or associate degree,"$30,000-$49,999",Better today,No one does,"Yes, I have",Protestant,Before that,National security/Terrorism,He stands up for what he believes,Good,Strongly approve,Enthusaistic,Omit,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,Yes,"Under $50,000",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White female,Last month/Before that,No,No,White,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
823533.0,Wisconsin,54.0,Call 1,Backside complete,0.76224273443222,Did not vote,Female,White,No,45-49,Independent,Very conservative,College graduate,"$50,000-$74,999",Better today,No one does,No one has,Catholic,Omit,Omit,He cares about people like me,Good,Somewhat approve,Omit,Omit,Gay couples allowed to legally marry,Omit,Repealed only for the wealthy,Omit,Omit,45-64,45-59,40-49,College degree,No,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Independent,Conservative,Catholic,White Catholic,Omit,White female,Omit,No,No,White,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
823723.0,Wisconsin,54.0,Call 1,Backside complete,0.615963757038116,Did not vote,Female,,No,75 or over,Republican,Very conservative,Some college or associate degree,"$15,000-$29,999",Better today,No one does,No one has,Catholic,Before that,Economy/Jobs,He stands up for what he believes,Good,Strongly approve,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,Yes,"Under $50,000",Strongly/Somewhat approve,No,No,Excellent/Good,65 or over,Republican,Conservative,Catholic,All others/Omits,Very/Somewhat dissatisfied,,Last month/Before that,No,No,,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
823735.0,Wisconsin,34.0,Call 1,Backside complete,0.727253258228302,Did not vote,Male,White,No,50-59,Independent,Somewhat conservative,College graduate,"$100,000 or more",About the same,"Yes, someone else does",No one has,Catholic,Today,Economy/Jobs,He has the right experience,Not so good,Somewhat approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Somewhat satisfied,Takes more jobs from your state,45-64,45-59,50-64,College degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Independent,Conservative,Catholic,White Catholic,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,White,South,Rural,Small cities and Rural,1.0,53171.0
823740.0,Wisconsin,54.0,Call 1,Backside complete,0.695871353149414,Did not vote,Female,White,No,75 or over,,Somewhat liberal,High school graduate,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Catholic,In the last week,Education,Omit,Good,Somewhat approve,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally form civil unions,Yes,Repealed only for the wealthy,Very dissatisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,Omit,"Under $50,000",Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,65 or over,,Liberal,Catholic,White Catholic,Very/Somewhat dissatisfied,White female,Today/Last 3 days/Last week,No,No,White,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
823942.0,Wisconsin,49.0,Call 2,Backside complete,0.758165001869202,Did not vote,Male,Hispanic/Latino,Yes,25-29,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",Better today,"Yes, someone else does",,Catholic,Omit,Education,Omit,Good,Somewhat approve,"Satisfied, but not enthusiastic",Omit,Omit,Yes,Omit,Omit,Takes more jobs from your state,18-29,18-29,25-29,No college degree,Omit,"Under $50,000",Strongly/Somewhat approve,,,Excellent/Good,18-64,Independent,Moderate,Catholic,All others/Omits,Omit,Non-white male,Omit,"Yes, I am or someone in household is",No,Hispanic/Latino,Milwaukee,"City over 500,000","City over 50,000",4.0,53208.0
824023.0,Wisconsin,62.0,Call 2,Backside complete,0.645464837551117,Did not vote,Male,White,No,18-24,Something Else,Moderate,High school graduate,"$50,000-$74,999",Better today,No one does,No one has,Catholic,Before that,Economy/Jobs,He has a positive message,Good,Somewhat approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,No,Left entirely in place,Somewhat satisfied,Creates more jobs in your state,18-29,18-29,18-24,No college degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Independent,Moderate,Catholic,White Catholic,Very/Somewhat satisfied,White male,Last month/Before that,No,No,White,South,Suburbs,Suburbs,1.0,53105.0
824099.0,Wisconsin,77.0,Call 2,Backside complete,0.685695886611938,Did not vote,Male,White,No,40-44,Republican,Very conservative,Postgraduate study,"$75,000-$99,999",Better today,No one does,No one has,Protestant,Omit,Education,He has the right experience,Excellent,Strongly approve,Enthusaistic,Omit,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Creates more jobs in your state,30-44,30-44,40-49,College degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,Omit,No,No,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53005.0
824143.0,Wisconsin,43.0,Call 2,Backside complete,0.748632669448853,Did not vote,Female,Black,No,30-39,Republican,Somewhat liberal,Some college or associate degree,"$15,000-$29,999",About the same,"Yes, someone else does",No one has,Other Christian,In the last week,Education,He cares about people like me,Not so good,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Repealed for all Americans,Somewhat dissatisfied,Takes more jobs from your state,30-44,30-44,30-39,No college degree,Yes,"Under $50,000",Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Republican,Liberal,Protestant/Other Christian,All others/Omits,Very/Somewhat dissatisfied,Non-white female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Black,Milwaukee,"City over 500,000","City over 50,000",4.0,53208.0
824256.0,Wisconsin,54.0,Call 2,Backside complete,0.76224273443222,Did not vote,Female,White,No,30-39,Republican,Very conservative,Some college or associate degree,"$30,000-$49,999",Better today,No one does,No one has,Catholic,Before that,Economy/Jobs,He cares about people like me,Good,Somewhat approve,Enthusaistic,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,No,Repealed only for the wealthy,Very dissatisfied,Has no effect on jobs in your state,30-44,30-44,30-39,No college degree,Yes,"Under $50,000",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Catholic,White Catholic,Very/Somewhat dissatisfied,White female,Last month/Before that,No,No,White,Milwaukee,"City: 50,000 to 500,000","City over 50,000",5.0,53227.0
