ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,CUBAN3,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,ISSUE,NEC,iraqtrps,gwbangr,gaymrrge,jebangr,kerryfl,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1065190.0,Florida,49.0,Call 1,Backside complete,1.52194559574127,John Kerry,Male,White,No,65-74,Independent,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,Catholic,Once a week,No,Economy/Jobs,Poor,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Angry,Very likely,Wesley Clark,Somewhat,Taken more jobs from your state,Not too confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Independent,Moderate,Catholic,White Catholic,White male,No,No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065191.0,Florida,49.0,Call 1,Backside not complete,1.23526263237,John Kerry,,,No,25-29,,,,,,,,,,Health care/Medicare,,Withdraw some troops,"Dissatisfied, but not angry",,Enthusaistic,Very likely,John Edwards,,Created more jobs in your state,,18-29,18-29,25-29,,,,,Withdraw some/all troops,Very/somewhat likely,,,18-64,,,,,,,,,,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065192.0,Florida,49.0,Call 1,Backside complete,1.30208432674408,John Kerry,Female,White,No,45-49,Democrat,Moderate,Some college or associate degree,"$75,000-$99,999",Worse today,No one does,Protestant,Never,Yes,Economy/Jobs,Poor,Withdraw some troops,Angry,Gay couples allowed to legally marry,Angry,Very likely,John Edwards,A lot,Taken more jobs from your state,Not too confident,45-64,45-59,40-49,Never,Protestant/Do not attend weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,No,No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065193.0,Florida,49.0,Call 1,Backside complete,1.52194559574127,John Kerry,Male,White,No,65-74,Independent,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,Catholic,More than once a week,No,Economy/Jobs,Poor,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Angry,Very likely,Wesley Clark,Somewhat,Taken more jobs from your state,Not at all confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Independent,Moderate,Catholic,White Catholic,White male,No,No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065194.0,Florida,49.0,Call 1,Backside complete,1.52194559574127,John Kerry,Male,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,Catholic,More than once a week,No,Economy/Jobs,Poor,Withdraw all troops,Angry,No legal recognition of gay couples' relationships,Angry,Very likely,John Edwards,A lot,Taken more jobs from your state,Not too confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,White male,No,No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065195.0,Florida,49.0,Call 1,Backside complete,1.27530312538147,John Kerry,Female,Black,No,65-74,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",Worse today,No one does,Catholic,Once a week,No,Health care/Medicare,Not so good,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,Angry,Very likely,John Edwards,A lot,Taken more jobs from your state,Not too confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,All others/Omits,Non-white female,No,No,Not too/not at all confident,Black,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065196.0,Florida,49.0,Call 1,Backside complete,1.30993819236755,John Kerry,Female,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",About the same,"Yes, someone else does",Catholic,Never,No,The situation in Iraq,Not so good,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Angry,Somewhat likely,John Edwards,A lot,Taken more jobs from your state,Not too confident,65 or over,60 or over,65 or over,Never,Catholic/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,White female,"Yes, I am or someone in household is",No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065197.0,Florida,49.0,Call 1,Backside complete,1.51282060146332,John Kerry,Male,White,No,45-49,Democrat,Somewhat liberal,Postgraduate study,,Better today,No one does,None,Never,No,Taxes,Good,Withdraw some troops,Angry,Gay couples allowed to legally form civil unions,Angry,Somewhat likely,Hillary Clinton,Somewhat,Taken more jobs from your state,Not too confident,45-64,45-59,40-49,Never,All others/Omits,College degree,,Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Liberal,None,White None,White male,No,No,Not too/not at all confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065198.0,Florida,49.0,Call 1,Backside complete,1.52194559574127,John Kerry,Male,White,No,65-74,Democrat,Somewhat conservative,High school graduate,"Under $15,000",Worse today,"Yes, I do",Protestant,More than once a week,Yes,Omit,Poor,Withdraw some troops,Angry,Gay couples allowed to legally form civil unions,Angry,Very likely,John Edwards,A lot,Taken more jobs from your state,Very confident,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,White male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,White,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
1065199.0,Florida,49.0,Call 1,Backside complete,1.2721334695816,John Kerry,,Black,No,50-59,Independent,Very liberal,College graduate,"$75,000-$99,999",About the same,No one does,Something else,A few times a year,No,Health care/Medicare,Poor,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Angry,Very likely,Hillary Clinton,A lot,Taken more jobs from your state,Not at all confident,45-64,45-59,50-64,Occasionally,All others/Omits,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Independent,Liberal,Something else,All others/Omits,,No,No,Not too/not at all confident,Black,North,"City: 10,000 to 49,999",Small cities and Rural,7.0,32164.0
