ID,STANUM,PRECINCT,CALL,WGT,DPRES,SEX,AGE9,DPARTYID,PHIL4,COLLDEG,INCSHORT,UNION2,FTCAUCUS,NETPOLI2,TIMEDC,ISSUE,QUAL,IRAQAPPR,DEM2ND,AGE60,AGE65,AGE,COLLEDUC,DPARTY,IRAQ2PT,NETUSAGE,OVER65,PHIL3,TIMEDC2,qdem2nd,GEOCODE
557925.0,Iowa,3.0,Call 1,1.23633861541748,John Kerry,,75 or over,Strong Democrat,Somewhat liberal,Postgraduate study,"$50,000 or more",No,Yes,A great deal,Before that,Economy/Jobs,Takes strong stands on the issues,Strongly approve,Gephardt,60 or over,65 or over,65 or over,College degree,Democrat,Strongly/Somewhat approve,A great deal/Somewhat,65 or over,Liberal,In the last month/Before that,Gephardt,East
557926.0,Iowa,3.0,Call 1,1.17398309707642,Howard Dean,Male,45-49,Strong Democrat,Moderate,College degree,"$50,000 or more",No,Yes,Somewhat,In the last month,Health care/Medicare,Takes strong stands on the issues,Strongly disapprove,Kerry,45-59,40-49,45-59,College degree,Democrat,Strongly/Somewhat disapprove,A great deal/Somewhat,17-64,Moderate,In the last month/Before that,Kerry,East
557927.0,Iowa,3.0,Call 1,1.17398309707642,Howard Dean,Male,40-44,Strong Democrat,Somewhat liberal,Postgraduate study,"$50,000 or more",Yes,Yes,Somewhat,Before that,Health care/Medicare,Can beat George W. Bush,Strongly disapprove,Other,30-44,40-49,30-44,College degree,Democrat,Strongly/Somewhat disapprove,A great deal/Somewhat,17-64,Liberal,In the last month/Before that,Other,East
557928.0,Iowa,3.0,Call 1,1.17398309707642,Howard Dean,Female,60-64,Independent,Moderate,College degree,"Under $50,000",No,No,Not at all,Before that,Health care/Medicare,Takes strong stands on the issues,Strongly disapprove,Kerry,60 or over,50-64,45-59,College degree,Republican,Strongly/Somewhat disapprove,Not much/Not at all,17-64,Moderate,In the last month/Before that,Kerry,East
557929.0,Iowa,17.0,Call 1,0.859012007713318,Howard Dean,Female,75 or over,Strong Democrat,Somewhat liberal,,,No,Yes,Not at all,Before that,Health care/Medicare,Can beat George W. Bush,Strongly disapprove,Kerry,60 or over,65 or over,65 or over,,Democrat,Strongly/Somewhat disapprove,Not much/Not at all,65 or over,Liberal,In the last month/Before that,Kerry,East
557930.0,Iowa,17.0,Call 1,0.859012007713318,Howard Dean,Female,30-39,Independent,Moderate,College degree,"Under $50,000",No,No,Not at all,In the last month,Health care/Medicare,Has the right experience,Somewhat approve,Kerry,30-44,30-39,30-44,College degree,Republican,Strongly/Somewhat approve,Not much/Not at all,17-64,Moderate,In the last month/Before that,Kerry,East
557931.0,Iowa,48.0,Call 1,0.518998920917511,Uncommitted,Female,17-24,Strong Democrat,Somewhat liberal,No college degree,"$50,000 or more",No,No,Not much,In the last 3 days,Economy/Jobs,Takes strong stands on the issues,Somewhat disapprove,Kerry,17-29,17-24,17-29,No college degree,Democrat,Strongly/Somewhat disapprove,Not much/Not at all,17-64,Liberal,In the last 3 days/week,Kerry,East
557932.0,Iowa,3.0,Call 1,1.17398309707642,Howard Dean,Female,40-44,Independent,Very liberal,College degree,"Under $50,000",No,No,Not at all,Before that,The war in Iraq,Can beat George W. Bush,Strongly disapprove,No second choice,30-44,40-49,30-44,College degree,Republican,Strongly/Somewhat disapprove,Not much/Not at all,17-64,Liberal,In the last month/Before that,No second choice,East
557933.0,Iowa,3.0,Call 1,1.17398309707642,Howard Dean,Male,50-59,Independent,Very liberal,Postgraduate study,"Under $50,000",No,No,Not much,In the last month,Education,Omit,Strongly disapprove,Edwards,45-59,50-64,45-59,College degree,Republican,Strongly/Somewhat disapprove,Not much/Not at all,17-64,Liberal,In the last month/Before that,Edwards,East
557934.0,Iowa,17.0,Call 1,0.904638051986694,John Kerry,Male,30-39,Not strong Democrat,Moderate,College degree,"$50,000 or more",Yes,Yes,Somewhat,Before that,Economy/Jobs,Has the right experience,Somewhat approve,Edwards,30-44,30-39,30-44,College degree,Democrat,Strongly/Somewhat approve,A great deal/Somewhat,17-64,Moderate,In the last month/Before that,Edwards,East
