ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WGT,DPRES,SEX,RACE,MEXICAN,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,SATKRYAZ,AGE,AGE60,AGE65,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
667296.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Wesley Clark,Male,,No,65-74,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",Better today,No one does,"Yes, I have",Other Christian,Once a week,Not working and not looking for work,Never,,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Dissatisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,All others/Omits,,,No,No,Rarely/Never,,Rest of state,,,1.0,85548.0
667297.0,Arizona,,,Backside complete,Absentee by phone,2.21156811714172,John Edwards,Male,White,No,65-74,Republican,Very conservative,High school graduate,,About the same,No one does,"Yes, someone else has",Protestant,Once a week,Not working and not looking for work,Never,,Omit,Omit,Good,Strongly approve,,Enthusaistic,Omit,Dissatisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,White male,,No,No,Rarely/Never,White,Maricopa County,Suburbs,Suburbs,2.0,85304.0
667298.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,John Kerry,Female,,,,Independent,Moderate,,,Worse today,"Yes, I do and someone else does",No one has,Catholic,Omit,Not working and not looking for work,Never,,Health care/Medicare,He cares about people like me,Not so good,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,,,,Omit,All others/Omits,,,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,,Independent,Moderate,Catholic,All others/Omits,,,"Yes, I am or someone in household is",Yes I am,Rarely/Never,,Maricopa County,"City over 500,000","City over 50,000",3.0,85254.0
667299.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Joe Lieberman,Male,White,No,45-49,Democrat,Somewhat liberal,Postgraduate study,"$30,000-$49,999",Worse today,No one does,No one has,None,A few times a year,Employed full-time,Rarely,,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,45-64,45-59,40-49,Occasionally,All others/Omits,,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,None,White None,White male,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85710.0
667300.0,Arizona,,,Backside complete,Absentee by phone,1.3330602645874,John Edwards,Female,White,No,60-64,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Protestant,Once a week,Not working and not looking for work,Never,,Economy/Jobs,He has a positive message,Good,Somewhat approve,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,,No college degree,Unemployed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85710.0
667301.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,John Kerry,Male,,,,Democrat,,,,Omit,No one does,"Yes, I have",Something else,Omit,,Never,,Health care/Medicare,He has the right experience,Poor,Strongly disapprove,,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Satisfied,,,,Omit,All others/Omits,,,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,,Democrat,,Something else,All others/Omits,,,No,No,Rarely/Never,,Maricopa County,Suburbs,Suburbs,2.0,85375.0
667302.0,Arizona,,,Backside complete,Absentee by phone,1.59043097496033,,Female,White,No,75 or over,Democrat,Somewhat conservative,High school graduate,"Under $15,000",About the same,No one does,"Yes, someone else has",Protestant,A few times a month,Not working and not looking for work,Rarely,,National security/Terrorism,Omit,Good,Somewhat disapprove,,"Satisfied, but not enthusiastic",He agrees with you on the major issues,,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Excellent/Good,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Maricopa County,Suburbs,Suburbs,5.0,85224.0
667303.0,Arizona,,,Backside complete,Absentee by phone,1.25169777870178,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,College graduate,,Better today,No one does,"Yes, someone else has",Jewish,A few times a year,Not working and not looking for work,Never,,Economy/Jobs,He stands up for what he believes,Not so good,Strongly disapprove,,Angry,He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Occasionally,All others/Omits,,College degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Jewish,White Jewish,White female,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,8.0,85737.0
667304.0,Arizona,,,Backside complete,Absentee by phone,1.92196714878082,John Kerry,Male,White,No,65-74,Democrat,Moderate,High school graduate,,About the same,No one does,"Yes, I have",Catholic,A few times a month,Not working and not looking for work,Never,,National security/Terrorism,He stands up for what he believes,Not so good,Strongly approve,,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Occasionally,Catholic/Do not attend weekly,,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,White male,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85730.0
667305.0,Arizona,,,Backside complete,Absentee by phone,1.85435426235199,John Kerry,Female,White,No,65-74,Democrat,Moderate,High school graduate,"$75,000-$99,999",About the same,No one does,No one has,Protestant,A few times a year,Not working and not looking for work,Never,,Health care/Medicare,He cares about people like me,Not so good,Somewhat approve,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Strongly/Somewhat approve,No,No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Rest of state,Rural,Small cities and Rural,1.0,85937.0
667306.0,Arizona,,,Backside complete,Absentee by phone,2.07658672332764,John Kerry,Male,White,No,75 or over,Democrat,Very liberal,Postgraduate study,"$50,000-$74,999",Worse today,No one does,"Yes, I have",Protestant,A few times a year,Employed part-time,Never,,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,,Angry,He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,College degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White male,,No,No,Rarely/Never,White,Maricopa County,"City over 500,000","City over 50,000",3.0,85016.0
667307.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Howard Dean,Male,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$15,000-$29,999",Worse today,No one does,No one has,None,Never,Not working and not looking for work,Never,,Economy/Jobs,He stands up for what he believes,Poor,Strongly disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,45-64,45-59,50-64,Never,All others/Omits,,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,None,White None,White male,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,8.0,85641.0
