ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WGT,dpres,SEX,RACE,MEXICAN,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,issue,qual,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
998019.0,California,13.0,Call 1,Backside complete,Election day exit poll,0.398162215948105,Did not vote,Female,,No,50-59,Republican,Very conservative,Some college or associate degree,"$75,000-$99,999",Better today,No one does,Catholic,No,Omit,National security/Terrorism,Omit,Very important,Enthusaistic,Omit,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Republican,Conservative,Catholic,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,No,No,,Inland/Valley,"City: 50,000 to 500,000","City over 50,000",20.0,93706.0
998023.0,California,11.0,Call 1,Backside complete,Election day exit poll,0.398162215948105,Did not vote,Male,,Yes,50-59,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",Better today,No one does,Catholic,No,In the last three days,Health care/Medicare,Omit,Not too important,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Independent,Moderate,Catholic,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,,Inland/Valley,"City: 50,000 to 500,000","City over 50,000",21.0,93703.0
998056.0,California,13.0,Call 1,Backside complete,Election day exit poll,0.431485801935196,Did not vote,Male,White,No,50-59,Republican,Somewhat conservative,Some college or associate degree,"$75,000-$99,999",Worse today,No one does,Other Christian,No,Before that,Economy/Jobs,He is honest and trustworthy,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Inland/Valley,"City: 50,000 to 500,000","City over 50,000",20.0,93706.0
998057.0,California,4.0,Call 1,Backside complete,Election day exit poll,1.0242303609848,Did not vote,Female,White,No,60-64,Republican,Somewhat liberal,Postgraduate study,"$75,000-$99,999",Better today,"Yes, someone else does",Other Christian,No,Before that,The war in Iraq,He stands up for what he believes,Not too important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,45-64,60 or over,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,White,Bay Area,"City: 50,000 to 500,000","City over 50,000",11.0,94588.0
998058.0,California,4.0,Call 1,Backside complete,Election day exit poll,0.685951769351959,Did not vote,Male,Hispanic/Latino,Yes,40-44,Democrat,Moderate,Some college or associate degree,"$75,000-$99,999",Worse today,No one does,None,No,In the last month,Education,He can defeat George W. Bush,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Democrat,Moderate,None,,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Hispanic/Latino,Bay Area,"City: 50,000 to 500,000","City over 50,000",11.0,94588.0
998069.0,California,4.0,Call 1,Backside complete,Election day exit poll,0.664971351623535,Did not vote,Female,White,No,40-44,Republican,Moderate,College graduate,"$50,000-$74,999",About the same,No one does,Catholic,No,Omit,Education,Omit,Omit,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Omit,No,Creates more jobs in your state,Omit,30-44,30-44,40-49,Omit,College degree,No,"$50,000 or more",18-64,Republican,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Omit,Omit,Omit,Omit,Omit,No,No,White,Bay Area,"City: 50,000 to 500,000","City over 50,000",11.0,94588.0
998079.0,California,4.0,Call 1,Backside complete,Election day exit poll,0.826736032962799,Did not vote,Female,White,No,25-29,Something Else,Moderate,Postgraduate study,"$100,000 or more",Better today,No one does,Other Christian,No,In the last week,Economy/Jobs,He is honest and trustworthy,Not too important,"Dissatisfied, but not angry",Omit,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Neither candidate,18-29,18-29,25-29,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Bay Area,"City: 50,000 to 500,000","City over 50,000",11.0,94588.0
998089.0,California,114.0,Call 1,Backside complete,Election day exit poll,0.424636840820313,Did not vote,Male,White,No,45-49,Independent,Somewhat liberal,Some college or associate degree,"$75,000-$99,999",Better today,No one does,None,No,Before that,Omit,Omit,Not too important,Omit,Omit,Gay couples allowed to legally marry,Omits,Neither candidate,Yes,Creates more jobs in your state,Omit,45-64,45-59,40-49,Not too/not at all important,No college degree,Yes,"$50,000 or more",18-64,Independent,Liberal,None,White None,Omit,Omit,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Omit,Omit,No,No,White,Coastal,"City: 50,000 to 500,000","City over 50,000",6.0,95405.0
998180.0,California,49.0,Call 1,Backside complete,Election day exit poll,0.399961352348328,Did not vote,Female,White,No,50-59,Republican,Very conservative,Some college or associate degree,,Better today,No one does,Protestant,,Before that,Omit,He is honest and trustworthy,Very important,Enthusaistic,Omit,Gay couples allowed to legally form civil unions,Omits,Neither candidate,Omit,Creates more jobs in your state,Neither candidate,45-64,45-59,50-64,Very/somewhat important,No college degree,Omit,,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Coastal,"City: 10,000 to 49,999",Small cities and Rural,17.0,93955.0
998204.0,California,17.0,Call 1,Backside complete,Election day exit poll,0.399961352348328,Did not vote,Female,White,No,50-59,Republican,Somewhat conservative,Postgraduate study,"$75,000-$99,999",Worse today,No one does,Jewish,No,In the last month,National security/Terrorism,He stands up for what he believes,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,No,Creates more jobs in your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Republican,Conservative,Jewish,White Jewish,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,L.A. County,Suburbs,Suburbs,29.0,91501.0
