ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,MARRIED,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994601.0,Ohio,117.0,Call 1,Backside complete,1.8158004283905,Dennis Kucinich,Male,White,No,50-59,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,Other Christian,Yes,Before that,Economy/Jobs,He stands up for what he believes,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"Under $50,000",17-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,Rural,Small cities and Rural,6.0,45742.0
994608.0,Ohio,117.0,Call 1,Backside complete,1.83006393909454,John Edwards,Female,White,No,40-44,Something Else,Moderate,Some college or associate degree,"$15,000-$29,999",About the same,No one does,None,No,Today,Taxes,Omit,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,No college degree,Yes,"Under $50,000",17-64,Independent,Moderate,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,Central,Rural,Small cities and Rural,6.0,45742.0
994629.0,Ohio,117.0,Call 1,Backside complete,1.93886613845825,John Kerry,Male,White,No,30-39,Democrat,Somewhat liberal,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",Other Christian,Yes,In the last month,Economy/Jobs,He has a positive message,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Takes more jobs from your state,Only John Kerry,30-44,30-44,30-39,Very/somewhat important,No college degree,Yes,"Under $50,000",17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Central,Rural,Small cities and Rural,6.0,45742.0
994640.0,Ohio,117.0,Call 1,Backside complete,1.93886613845825,John Kerry,Male,White,No,30-39,Democrat,Moderate,College graduate,"$15,000-$29,999",Better today,No one does,Protestant,No,In the last three days,The war in Iraq,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,30-39,Not too/not at all important,College degree,No,"Under $50,000",17-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,White,Central,Rural,Small cities and Rural,6.0,45742.0
994651.0,Ohio,117.0,Call 1,Backside complete,1.93894934654236,John Edwards,Male,White,No,50-59,Something Else,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,"Yes, I do",Protestant,Yes,Today,Economy/Jobs,He cares about people like me,Not at all important,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Only John Edwards,No,Takes more jobs from your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",17-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,Central,Rural,Small cities and Rural,6.0,45742.0
994662.0,Ohio,117.0,Call 1,Backside complete,1.83006393909454,John Edwards,Female,White,No,45-49,Something Else,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,"Yes, someone else does",Catholic,Yes,In the last week,Economy/Jobs,He has a positive message,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Only John Edwards,No,Has no effect on jobs in your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Independent,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Central,Rural,Small cities and Rural,6.0,45742.0
994672.0,Ohio,117.0,Call 1,Backside complete,1.94794225692749,John Kerry,Female,White,No,65-74,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",Worse today,"Yes, I do and someone else does",Something else,Yes,In the last month,Health care/Medicare,He cares about people like me,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Only John Edwards,No,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"$50,000 or more",65 or over,Independent,Moderate,Something else,White Something else,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Central,Rural,Small cities and Rural,6.0,45742.0
994680.0,Ohio,117.0,Call 1,Backside complete,1.8158004283905,Dennis Kucinich,Male,White,No,30-39,Democrat,Somewhat liberal,High school graduate,"$30,000-$49,999",Worse today,No one does,Something else,No,Before that,Omit,He has a positive message,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,30-44,30-44,30-39,Very/somewhat important,No college degree,No,"Under $50,000",17-64,Democrat,Liberal,Something else,White Something else,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,Rural,Small cities and Rural,6.0,45742.0
994712.0,Ohio,64.0,Call 1,Backside complete,1.01516079902649,John Kerry,Female,Black,No,60-64,Democrat,Very conservative,College graduate,"$30,000-$49,999",Worse today,No one does,Protestant,No,In the last month,Health care/Medicare,He has a positive message,Omit,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,45-64,60 or over,50-64,Omit,College degree,No,"Under $50,000",17-64,Democrat,Conservative,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Black,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45236.0
994731.0,Ohio,4.0,Call 1,Backside complete,1.86949825286865,Dennis Kucinich,Male,White,No,25-29,Democrat,Somewhat liberal,College graduate,,Worse today,No one does,Catholic,No,Today,Economy/Jobs,Omit,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,17-29,17-29,25-29,Very/somewhat important,College degree,No,,17-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,14.0,44030.0
