ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994475.0,New York,32.0,Call 1,Backside complete,1.71629071235657,John Kerry,Male,Black,,,Democrat,Very conservative,Did not complete high school,"$30,000-$49,999",Better today,No one does,Other Christian,No,Omit,Omit,He stands up for what he believes,Omit,Omit,He can defeat George W. Bush in November,Omit,Omits,Only John Kerry,Omit,Omit,Only John Kerry,,,,Omit,No college degree,Omit,"Under $50,000",,Democrat,Conservative,Protestant/Other Christian,All others/Omits,Omit,Omit,Non-white male,Only Kerry/Neither,Only Kerry/Either,Omit,Only Kerry/Neither,Only Kerry/Either,No,No,Black,New York City,"City over 500,000","City over 50,000",12.0,11208.0
994480.0,New York,32.0,Call 1,Backside complete,1.26452815532684,Al Sharpton,Female,Black,No,40-44,Democrat,Somewhat liberal,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,Something else,No,Before that,Education,He cares about people like me,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Omit,No,Has no effect on jobs in your state,Omit,30-44,30-44,40-49,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Liberal,Something else,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,Non-white female,Omit,Omit,Last month/Before that,Omit,Omit,No,No,Black,New York City,"City over 500,000","City over 50,000",12.0,11208.0
994483.0,New York,63.0,Call 1,Backside complete,0.874643385410309,John Kerry,Female,Black,No,50-59,Something Else,Somewhat conservative,College graduate,,Worse today,,None,No,Today,Economy/Jobs,He stands up for what he believes,Somewhat important,"Satisfied, but not enthusiastic",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,,18-64,Independent,Conservative,None,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,Non-white female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,,,Black,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994486.0,New York,32.0,Call 1,Backside complete,1.32353377342224,Al Sharpton,Male,Hispanic/Latino,Yes,65-74,Democrat,Moderate,High school graduate,"$30,000-$49,999",Worse today,"Yes, someone else does",Other Christian,No,Today,Omit,Omit,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Yes,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,Black,New York City,"City over 500,000","City over 50,000",12.0,11208.0
994490.0,New York,63.0,Call 1,Backside complete,0.63897043466568,John Kerry,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",Worse today,"Yes, I do",Catholic,No,Before that,Economy/Jobs,He stands up for what he believes,Somewhat important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Has no effect on jobs in your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994496.0,New York,32.0,Call 1,Backside complete,0.589167177677155,Howard Dean,Female,Hispanic/Latino,Yes,40-44,Democrat,Moderate,Did not complete high school,"Under $15,000",Better today,No one does,Other Christian,No,Before that,Education,He has the right experience,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,No college degree,Omit,"Under $50,000",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Hispanic/Latino,New York City,"City over 500,000","City over 50,000",12.0,11208.0
994497.0,New York,63.0,Call 1,Backside complete,0.719497382640839,John Kerry,Female,White,,60-64,Democrat,Moderate,Postgraduate study,"$30,000-$49,999",About the same,No one does,Catholic,No,In the last month,The war in Iraq,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Creates more jobs in your state,Both candidates,45-64,60 or over,50-64,Very/somewhat important,College degree,Yes,"Under $50,000",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994503.0,New York,32.0,Call 1,Backside complete,1.32353377342224,Al Sharpton,Male,Black,No,60-64,Democrat,Moderate,College graduate,"$75,000-$99,999",Worse today,"Yes, someone else does",Protestant,No,In the last week,Economy/Jobs,He is honest and trustworthy,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,60 or over,50-64,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,Black,New York City,"City over 500,000","City over 50,000",12.0,11208.0
994507.0,New York,6.0,Call 1,Backside complete,1.08761239051819,John Kerry,Female,White,No,60-64,Democrat,Moderate,College graduate,,About the same,No one does,Catholic,No,In the last month,Health care/Medicare,He has a positive message,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,60 or over,50-64,Not too/not at all important,College degree,Yes,,18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",16.0,10470.0
994508.0,New York,6.0,Call 1,Backside complete,0.965885579586029,John Kerry,Male,White,No,40-44,Democrat,Somewhat liberal,Some college or associate degree,"$15,000-$29,999",About the same,"Yes, I do",Catholic,No,In the last week,Economy/Jobs,He has a positive message,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",16.0,10470.0
