ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,MARRIED,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994504.0,Connecticut,45.0,Call 1,Backside complete,0.917432963848114,Howard Dean,Female,White,No,30-39,Democrat,Very liberal,College graduate,"$75,000-$99,999",Worse today,No one does,None,No,Today,Health care/Medicare,He cares about people like me,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,Yes,Creates more jobs in your state,Only John Kerry,30-44,30-44,30-39,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,White,Connecticut Valley,"City: 10,000 to 49,999",Small cities and Rural,3.0,06457
994506.0,Connecticut,52.0,Call 1,Backside complete,1.08371710777283,Howard Dean,Male,White,No,65-74,Democrat,Somewhat conservative,Did not complete high school,"Under $15,000",Worse today,"Yes, I do",Catholic,No,In the last three days,Health care/Medicare,He cares about people like me,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Only John Edwards,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Omit,"Under $50,000",65 or over,Democrat,Conservative,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,"Large Cities/Not Stamford, Norwalk","City: 50,000 to 500,000","City over 50,000",5.0,06051
994565.0,Connecticut,12.0,Call 1,Backside complete,0.720495760440826,Howard Dean,Male,White,No,50-59,Independent,Moderate,High school graduate,"$30,000-$49,999",About the same,No one does,Catholic,No,Before that,The war in Iraq,He stands up for what he believes,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Has no effect on jobs in your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,No college degree,Omit,"Under $50,000",18-64,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Connecticut Valley,"City: 10,000 to 49,999",Small cities and Rural,5.0,06410
994593.0,Connecticut,5.0,Call 1,Backside complete,0.65530925989151,Howard Dean,Female,White,No,45-49,Independent,Moderate,Postgraduate study,"$100,000 or more",Better today,No one does,None,No,Before that,The war in Iraq,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Independent,Moderate,None,White None,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Connecticut Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,06002
994612.0,Connecticut,5.0,Call 1,Backside complete,0.630433797836304,Howard Dean,Male,White,No,45-49,Independent,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,None,Yes,Before that,The war in Iraq,He is honest and trustworthy,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Neither candidate,45-64,45-59,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Independent,Liberal,None,White None,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Connecticut Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,06002
994661.0,Connecticut,67.0,Call 1,Backside complete,0.76322340965271,Howard Dean,Male,White,,60-64,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,None,Yes,Before that,Taxes,He stands up for what he believes,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Omits,Only John Kerry,Yes,Creates more jobs in your state,Both candidates,45-64,60 or over,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Omit,Omit,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,East/West rural,Rural,Small cities and Rural,5.0,06068
994856.0,Connecticut,56.0,Call 1,Backside complete,0.833997964859009,Howard Dean,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,"$100,000 or more",Worse today,No one does,Jewish,Yes,Before that,Economy/Jobs,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,Yes,Creates more jobs in your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Moderate,Jewish,White Jewish,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,East/West rural,"City: 10,000 to 49,999",Small cities and Rural,5.0,06470
994860.0,Connecticut,54.0,Call 1,Backside complete,1.21078884601593,Howard Dean,Male,White,No,30-39,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,None,Yes,Today,Omit,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Both candidates,30-44,30-44,30-39,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,"Large Cities/Not Stamford, Norwalk","City: 50,000 to 500,000","City over 50,000",3.0,06511
994883.0,Connecticut,54.0,Call 1,Backside complete,1.25856375694275,Howard Dean,Female,White,No,50-59,Independent,Very liberal,College graduate,"$100,000 or more",About the same,No one does,Protestant,Yes,Before that,The war in Iraq,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Omits,Neither candidate,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,"Large Cities/Not Stamford, Norwalk","City: 50,000 to 500,000","City over 50,000",3.0,06511
994909.0,Connecticut,54.0,Call 1,Backside complete,1.21078884601593,Howard Dean,Male,White,No,45-49,Independent,Very liberal,Postgraduate study,"$30,000-$49,999",Better today,"Yes, I do",Jewish,Yes,In the last week,The war in Iraq,He stands up for what he believes,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,College degree,Omit,"Under $50,000",18-64,Independent,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,"Large Cities/Not Stamford, Norwalk","City: 50,000 to 500,000","City over 50,000",3.0,06511
