ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,MARRIED,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
995263.0,Maryland,64.0,Call 1,Backside complete,1.75213921070099,John Kerry,Male,Hispanic/Latino,Yes,65-74,Independent,Moderate,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",Protestant,Yes,In the last week,Health care/Medicare,He cares about people like me,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Independent,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Rest of state,Rural,Small cities and Rural,1.0,21835.0
995264.0,Maryland,64.0,Call 1,Backside complete,1.75213921070099,John Kerry,Male,White,,65-74,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",About the same,No one does,Protestant,No,In the last month,Health care/Medicare,He is honest and trustworthy,Very important,Enthusaistic,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Rest of state,Rural,Small cities and Rural,1.0,21835.0
995278.0,Maryland,64.0,Call 1,Backside complete,1.89376318454742,John Kerry,Female,White,No,17-24,Democrat,Very liberal,Postgraduate study,"$15,000-$29,999",Worse today,No one does,Other Christian,No,Before that,The war in Iraq,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Only John Kerry,17-29,17-29,17-24,Very/somewhat important,College degree,Yes,"Under $50,000",17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Rest of state,Rural,Small cities and Rural,1.0,21835.0
995285.0,Maryland,113.0,Call 1,Backside complete,0.983623385429382,John Kerry,Male,Hispanic/Latino,Yes,60-64,Independent,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,Catholic,Yes,In the last three days,Education,He stands up for what he believes,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Omit,Omit,Creates more jobs in your state,Only John Kerry,45-64,60 or over,50-64,Very/somewhat important,No college degree,Omit,"Under $50,000",17-64,Independent,Moderate,Catholic,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Omit,Omit,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,Hispanic/Latino,DC suburbs,"City: 10,000 to 49,999",Small cities and Rural,8.0,20783.0
995304.0,Maryland,64.0,Call 1,Backside complete,1.89376318454742,John Kerry,Female,White,No,25-29,Democrat,Very liberal,College graduate,"$15,000-$29,999",Worse today,No one does,Other Christian,No,In the last month,The war in Iraq,He can defeat George W. Bush,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,17-29,17-29,25-29,Very/somewhat important,College degree,No,"Under $50,000",17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Rest of state,Rural,Small cities and Rural,1.0,21835.0
995307.0,Maryland,113.0,Call 1,Backside complete,1.93647527694702,Other,Female,Black,No,40-44,Something Else,Very conservative,High school graduate,"Under $15,000",Worse today,"Yes, someone else does",Other Christian,No,Today,Economy/Jobs,He stands up for what he believes,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,No college degree,No,"Under $50,000",17-64,Independent,Conservative,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,Black,DC suburbs,"City: 10,000 to 49,999",Small cities and Rural,8.0,20783.0
995320.0,Maryland,64.0,Call 1,Backside complete,1.63787662982941,John Kerry,Female,White,No,45-49,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,No one does,Something else,Yes,Before that,Health care/Medicare,He cares about people like me,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,45-64,45-59,40-49,Very/somewhat important,No college degree,No,"Under $50,000",17-64,Democrat,Moderate,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Rest of state,Rural,Small cities and Rural,1.0,21835.0
995325.0,Maryland,86.0,Call 1,Backside complete,0.999117910861969,John Edwards,Male,White,No,50-59,Democrat,Somewhat liberal,College graduate,"$75,000-$99,999",Better today,No one does,Jewish,Yes,In the last month,The war in Iraq,He has a positive message,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,Yes,"$50,000 or more",17-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,DC suburbs,Rural,Small cities and Rural,4.0,20871.0
995328.0,Maryland,113.0,Call 1,Backside complete,0.533566534519196,Howard Dean,Female,Black,No,40-44,Democrat,Very liberal,High school graduate,"$30,000-$49,999",Better today,"Yes, I do and someone else does",,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,No college degree,Omit,"Under $50,000",17-64,Democrat,Liberal,,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,Black,DC suburbs,"City: 10,000 to 49,999",Small cities and Rural,8.0,20783.0
995342.0,Maryland,2.0,Call 1,Backside complete,1.33231973648071,John Edwards,Male,White,No,60-64,Independent,Moderate,Some college or associate degree,"$75,000-$99,999",About the same,No one does,Protestant,Yes,In the last three days,Health care/Medicare,He stands up for what he believes,Somewhat important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Edwards,45-64,60 or over,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,No,No,White,Rest of state,Rural,Small cities and Rural,6.0,21532.0
