GENDER,AGE10,QRACEAI,MAY,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNYC,GETAHEAD25,TRACKANGR,FORTRUMPM25,TRUMP4,FAVDEM4,FAVREP4,RELIGN18,QLT25NYC,TIME25M,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNYC2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25MWEEK,TIME25MMONTH,SIZEPLC3,REL5
Female,45-49,White,Zohran Mamdani,Kamala Harris,3.0,Associate's degree (AA or AS),Republican,,Moderate,,Good,,,,,Strongly unfavorable,Somewhat unfavorable,None,1.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,45-64,1.0,1.0,10000.0,28.0,2.0,White,45 or over,40-49,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",None
Female, 65-74,Hispanic/Latino,Zohran Mamdani,Kamala Harris,2.0,Bachelor's degree (BA or BS),Democrat,,Moderate,"Under $30,000",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,14.0,1.0,10000.0,17.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",None
Male, 65-74,Hispanic/Latino,Curtis Sliwa,Donald Trump,2.0,Attended college but received no degree,Republican,,Very liberal,,,,,,,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,23.0,1.0,10000.0,10.0,3.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Liberal,,,,,,,,,,,"City over 50,000",None
Female,50-59,Hispanic/Latino,Curtis Sliwa,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Very conservative,,,,Angry,,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,27.0,1.0,10000.0,1.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",Jewish
Male,75 or over,Hispanic/Latino,Andrew Cuomo,Kamala Harris,1.0,High school graduate,Independent,Lean Republican,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Strongly approve,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,65 or over,28.0,1.0,10000.0,15.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",Catholic
Female,35-39,White,Curtis Sliwa,Donald Trump,2.0,Bachelor's degree (BA or BS),Democrat,,Somewhat conservative,,,,,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,30-44,30.0,1.0,10000.0,7.0,3.0,White,18-44,30-39,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,,,,,,,,"City over 50,000",Catholic
Female,45-49,Other,Curtis Sliwa,Donald Trump,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,Good,,,,,Strongly favorable,Strongly unfavorable,Catholic,4.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,31.0,1.0,10000.0,30.0,2.0,Other,45 or over,40-49,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
Male,30-34,White,Andrew Cuomo,Did not vote,1.0,High school graduate,Republican,,Moderate,"$50,000-$99,999",,Falling behind,,To support Donald Trump,Somewhat approve,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,30-44,42.0,1.0,10000.0,23.0,1.0,White,18-44,30-39,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",Catholic
Male,50-59,Hispanic/Latino,Andrew Cuomo,Kamala Harris,2.0,Attended college but received no degree,Republican,,Somewhat conservative,,Good,,,,,Somewhat unfavorable,Strongly favorable,Jewish,5.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,45-64,55.0,1.0,10000.0,20.0,2.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,"City over 50,000",Jewish
Female, 65-74,White,Curtis Sliwa,Donald Trump,1.0,Attended college but received no degree,Republican,,Moderate,,Excellent,,,,,Strongly unfavorable,Strongly unfavorable,Other Christian,4.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,56.0,1.0,10000.0,27.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Protestant or other Christian
