GENDER,AGE10,QRACEAI,PROP50,EDUC25,VOTE2024,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECCA,GETAHEAD25,TRACKANGR,FORTRUMPP25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25CA,TIME25P,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,ID,WEIGHT,PRECINCT,ZIPCODE,VERSION,RACE,AGE,AGE45,AGE65,RACE2B,EDUCCOLL,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECCA2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25PWEEK,TIME25PMONTH,SIZEPLC3
Female,50-59,White,No,Attended college but received no degree,Donald Trump,Republican,,Somewhat conservative,"$30,000-$49,999",Poor,Getting ahead,Angry,To support Donald Trump,Somewhat approve,Somewhat unfavorable,Strongly favorable,4.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,1.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,75 or over,Hispanic/Latino,No,Associate's degree (AA or AS),Donald Trump,Something else,Not lean either way,Somewhat conservative,"$50,000-$99,999",Not so good,Holding steady,,To support Donald Trump,Strongly approve,Strongly unfavorable,Somewhat favorable,2.0,You have known all along,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,2.0,1.0,,10000.0,1.0,Hispanic/Latino,65 or over,45 or over,65 or over,Non-white,No college degree,Latino women,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,60-64,Hispanic/Latino,Yes,Bachelor's degree (BA or BS),Kamala Harris,Independent,Lean Democrat,Moderate,"$100,000-$199,999",Not so good,Falling behind,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,Before October,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,3.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,50-64,Non-white,College graduate,Latino men,Non-white college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,50-59,Hispanic/Latino,No,Associate's degree (AA or AS),Donald Trump,Republican,,Very conservative,"$100,000-$199,999",Poor,Holding steady,Enthusiastic,Donald Trump was not a facctor,Somewhat approve,Somewhat favorable,Somewhat favorable,2.0,Before October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,4.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,50-64,Non-white,No college degree,Latino men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Favorable,Favorable,Before that,Before that,Suburbs
Male, 65-74,Asian,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Moderate,"$30,000-$49,999",Good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",Donald Trump was not a facctor,Strongly disapprove,Somewhat unfavorable,Strongly unfavorable,5.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,5.0,1.0,,10000.0,1.0,Asian,65 or over,45 or over,65 or over,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Disapprove,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Female,45-49,Hispanic/Latino,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Very conservative,"$100,000-$199,999",Not so good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat disapprove,Strongly unfavorable,Strongly unfavorable,1.0,Before October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,6.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,40-49,Non-white,College graduate,Latino women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Disapprove,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Female,18-24,White,Yes,Associate's degree (AA or AS),Donald Trump,Democrat,,Somewhat liberal,"$50,000-$99,999",Good,Getting ahead,,To oppose Donald Trump,Strongly disapprove,Somewhat unfavorable,Somewhat unfavorable,3.0,In the last few days,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,7.0,1.0,,10000.0,1.0,White,18-29,18-44,18-24,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Excellent or good,,Disapprove,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs
Female,18-24,White,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Moderate,"$30,000-$49,999",Good,Getting ahead,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,3.0,You have known all along,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,8.0,1.0,,10000.0,1.0,White,18-29,18-44,18-24,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,18-24,Hispanic/Latino,Yes,Bachelor's degree (BA or BS),Kamala Harris,Something else,Lean Republican,Moderate,"$100,000-$199,999",Not so good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,5.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,9.0,1.0,,10000.0,1.0,Hispanic/Latino,18-29,18-44,18-24,Non-white,College graduate,Latino women,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Male,40-44,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Somewhat conservative,"$50,000-$99,999",Poor,Getting ahead,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,4.0,Earlier in October,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,10.0,1.0,,10000.0,1.0,White,30-44,18-44,40-49,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,In the last month,"City over 50,000"
