ID,GENDER,AGE10,QRACEAI,GOV,VOTE2024,LTGOV,ATGEN,CALL,TELEPOLL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,GOVTHH,BRNAGAIN,STECVA,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25VA,QLT25VA,FORCANDVA25,TIME25G,SIZEPLAC,VOTEMETHOD,GEOCODE,EARLYVELECTION,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE,AGE45,AGE65,RACE2B,EDUCCOLL,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,WHTEVANG,STECVA2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3
3.0,Male,25-29,White,Abigail Spanberger,Donald Trump,Ghazala Hashmi,Jay Jones,3.0,Exit Poll,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,,Yes,,,Angry,,,,,,,For your candidate,,"50,000-500,000",Election Day,3.0,Election day,1.0,10000.0,3.0,3.0,White,18-29,18-44,25-29,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Yes,,,,,,,,"City over 50,000"
9.0,Female,35-39,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,1.0,Exit Poll,Attended college but received no degree,Democrat,,Somewhat liberal,"$200,000-$299,999",No,Yes,,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,4.0,,,,Suburbs,Election Day,2.0,Election day,1.0,10000.0,29.0,1.0,White,30-44,18-44,30-39,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Disapprove,,,,,Suburbs
23.0,Male,50-59,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,3.0,Exit Poll,Attended college but received no degree,Democrat,,Somewhat liberal,,,Yes,Not so good,,,,,Somewhat favorable,Somewhat unfavorable,,1.0,,In the last week,"50,000-500,000",Election Day,1.0,Election day,1.0,10000.0,8.0,2.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Yes,Not so good or poor,,,Favorable,Unfavorable,In the last week,In the last month,"City over 50,000"
30.0,Male,30-34,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,2.0,Exit Poll,Attended college but received no degree,Democrat,,Moderate,,,Yes,,,Angry,,,,,,,Against her opponents,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,28.0,3.0,White,30-44,18-44,30-39,White,No college degree,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Yes,,,,,,,,Suburbs
55.0,Male, 65-74,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat conservative,"$200,000-$299,999",No,Yes,,Holding steady,,To support Donald Trump,Somewhat approve,,,4.0,,,,Suburbs,Election Day,2.0,Election day,1.0,10000.0,24.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Approve,,,,,Suburbs
61.0,Male,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Bachelor's degree (BA or BS),Democrat,,Very conservative,,,Yes,Good,,,,,Somewhat unfavorable,Somewhat favorable,,1.0,,Before October,Rural,Election Day,4.0,Election day,1.0,10000.0,24.0,2.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Small city and Rural
64.0,Male,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Very conservative,"$100,000-$199,999",No,Yes,,Getting ahead,,To oppose Donald Trump,Somewhat approve,,,2.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,3.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Approve,,,,,Suburbs
81.0,Female,40-44,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,High school graduate,Republican,,Somewhat conservative,,,Yes,Good,,,,,Somewhat unfavorable,Somewhat favorable,,5.0,,Earlier in October,Suburbs,Election Day,2.0,Election day,1.0,10000.0,19.0,2.0,White,30-44,18-44,40-49,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,Suburbs
90.0,Male,75 or over,White,Abigail Spanberger,Kamala Harris,John Reid,Jay Jones,2.0,Exit Poll,Attended college but received no degree,Democrat,,Moderate,"$30,000-$49,999",No,Yes,,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,5.0,,,,Suburbs,Election Day,2.0,Election day,1.0,10000.0,16.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Disapprove,,,,,Suburbs
109.0,Male, 65-74,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,Bachelor's degree (BA or BS),Something else,Lean Democrat,Very conservative,,,Yes,,,Enthusiastic,,,,,,,Against her opponents,,Rural,Election Day,4.0,Election day,1.0,10000.0,12.0,3.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,,,,Yes,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Small city and Rural
