ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,LARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEIL12,UNDERREP12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,ENDPRIM12R,GUNOWNER,RECOVER,TWOCANDS12R,ATTEND2,ATTREL,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
291678.0, Louisiana,95.0,Call 2,Complete,Election day exit poll,1.67840087413788,Did not vote,Female,White,45-49,45-49,Moderate,Democrat,,High school or less,,,No,I dislike the other candidates,,,,Catholic,Dissatisfied,Dissatisfied,Satisfied,Somewhat,Neutral,,Santorum,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,,All others,No,All others,Working women,,Once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,70087.0
291536.0, Louisiana,51.0,Call 1,Complete,Election day exit poll,0.441684454679489,Did not vote,Female,White,50-59,50-59,Moderate,Republican,"$100,000-$199,999",Some college/assoc. degree,,,No,Omit,,,,Catholic,Satisfied,Satisfied,Satisfied,Somewhat,Neutral,,Santorum,No,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,All others,,A few times a year,,No,Getting worse,,Occasionally,Catholic/Do not attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70065.0
292704.0, Louisiana,58.0,Call 3,Complete,Election day exit poll,0.998248100280762,Newt Gingrich,Female,White,25-29,25-29,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,,,Yes,I strongly favor my candidate,,,,Other christian,Satisfied,Satisfied,Satisfied,Somewhat,Strongly support,,Gingrich,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,A few times a year,,No,Staying the same,,Occasionally,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,70508.0
292552.0, Louisiana,51.0,Call 3,Complete,Election day exit poll,1.19397306442261,Newt Gingrich,Female,White,60-64,60-64,Somewhat conservative,Something else,"$100,000-$199,999",Some college/assoc. degree,,,Yes,I strongly favor my candidate,,,,Catholic,Satisfied,Satisfied,Satisfied,Somewhat,Strongly support,,Gingrich,No,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,All others,,More than once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70065.0
292532.0, Louisiana,50.0,Call 3,Complete,Election day exit poll,1.62039196491241,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",High school or less,,,,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Dissatisfied,A great deal,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,Catholic,A great deal or somewhat,Support,,,,Yes,,No,,All others,,Omit,,No,Getting worse,,Omit,Catholic/Do not attend weekly,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,70123.0
292394.0, Louisiana,76.0,Call 3,Complete,Election day exit poll,1.00435149669647,Newt Gingrich,Male,White,30-39,30-39,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,,No,I like my candidate but with reservations,,,,Catholic,Satisfied,Dissatisfied,Satisfied,Not at all,Somewhat support,,Omit,Yes,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,All others,,A few times a month,,No,Starting to recover,,Occasionally,Catholic/Do not attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 2,High Density Urban,Urban,Urban Core,Very downscale,70119.0
292312.0, Louisiana,33.0,Call 3,Complete,Election day exit poll,0.565501391887665,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,,,No,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Dissatisfied,Somewhat,Somewhat support,,Gingrich,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,All others,,Once a week,,No,Starting to recover,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,70817.0
292220.0, Louisiana,36.0,Call 3,Complete,Election day exit poll,1.23508489131927,Newt Gingrich,Female,Other,50-59,50-59,Very conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,,,Yes,I strongly favor my candidate,,,,Other christian,Satisfied,Dissatisfied,Dissatisfied,A great deal,Somewhat support,,Gingrich,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,All others,No,,Working women,,More than once a week,,No,Getting worse,,Weekly,All others,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Low Density Rural,Rural,Rural,Downscale,70748.0
292165.0, Louisiana,51.0,Call 2,Complete,Election day exit poll,1.19397306442261,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,,No,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Satisfied,Somewhat,Somewhat support,,Gingrich,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,All others,,Once a week,,No,Staying the same,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70065.0
292054.0, Louisiana,32.0,Call 2,Complete,Election day exit poll,0.418875694274902,Newt Gingrich,Male,White,40-44,40-44,Very conservative,Republican,"$100,000-$199,999",College graduate,,,Yes,I strongly favor my candidate,,,,Protestant,Satisfied,Dissatisfied,Satisfied,A great deal,Strongly support,,Gingrich,Yes,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,A few times a month,,No,Getting worse,,Occasionally,Protestant/Do not attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70791.0
