ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,VARPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,SHAREREL,TEAPARTY,TIMEST12,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,XQLTREP12,VAALLCAND,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
238034.0, Virginia,85.0,Call 3,Complete,Election day exit poll,0.812447130680084,Ron Paul,Male,White,,Somewhat conservative,Republican,"$30,000-$49,999",Postgraduate study,Illegal in all cases,A minor factor,Yes,I dislike the other candidates,Abortion,Yes,Can defeat Barack Obama,Not much,Neutral,Just today,Married men,,,,,,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,Not much or not at all,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,Rick Santorum,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Town,Rural,Rural,Downscale,22903.0
238351.0, Virginia,7.0,Call 3,Complete,Election day exit poll,1.97824239730835,Mitt Romney,Female,White,,Moderate,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I dislike the other candidates,The economy,No,Can defeat Barack Obama,Somewhat,Neutral,In the last few days,Non married women,,,,,,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,Omit,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,Extremely High Density Urban,Urban,Urban Core,Very upscale,22203.0
235476.0, Virginia,67.0,Call 2,Not complete,Election day exit poll,0.747755289077759,Ron Paul,Male,Black,25-29,,,,College graduate,,One of several important factors,,I strongly favor my candidate,,,,,,In the last few days,,17-29,17-29,17-44,17-29,25-29,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,Last few days,Since January 1st,,,,Omit,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22192.0
238746.0, Virginia,30.0,Call 3,Not complete,Election day exit poll,1.05116963386536,Ron Paul,Male,White,17-24,,,,Some college/assoc. degree,,One of several important factors,,I strongly favor my candidate,,,,,,Earlier this year,,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,Earlier than that,Since January 1st,,,,Ron Paul,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,22152.0
234727.0, Virginia,97.0,Call 2,Not complete,Election day exit poll,0.756726861000061,Ron Paul,Female,White,25-29,,,,College graduate,,A minor factor,,I strongly favor my candidate,,,,,,Earlier this year,,17-29,17-29,17-44,17-29,25-29,,,,,,,,College graduate,More than High school graduate,,,A factor,Not important,,,,Earlier than that,Since January 1st,,,,Ron Paul,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Suburb,Urban,Urban Core,Downscale,24502.0
238189.0, Virginia,87.0,Call 3,Not complete,Election day exit poll,0.634603202342987,Ron Paul,Female,White,17-24,,,,Some college/assoc. degree,,One of several important factors,,I like my candidate but with reservations,,,,,,In the last few weeks,,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,Earlier than that,Since January 1st,,,,Ron Paul,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,23322.0
231115.0, Virginia,49.0,Call 1,Not complete,Election day exit poll,0.809881389141083,Ron Paul,Male,White,17-24,,,,Some college/assoc. degree,,The most important factor,,I strongly favor my candidate,,,,,,Earlier this year,,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,Earlier than that,Since January 1st,,,,Ron Paul,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,23009.0
234538.0, Virginia,76.0,Call 2,Not complete,Election day exit poll,0.524422764778137,Mitt Romney,Female,Other,17-24,,,,Some college/assoc. degree,,One of several important factors,,I like my candidate but with reservations,,,,,,Earlier this year,,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,Earlier than that,Since January 1st,,,,Rick Santorum,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22554.0
239190.0, Virginia,115.0,Call 3,Complete,Election day exit poll,0.964425981044769,Ron Paul,Male,White,25-29,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,Illegal in most cases,A minor factor,Yes,I strongly favor my candidate,Federal budget deficit,No,Is a true conservative,Somewhat,Somewhat support,Earlier this year,Non married men,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,Ron Paul,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,High Density Urban,Urban,Urban Core,Upscale,23452.0
239189.0, Virginia,115.0,Call 3,Complete,Election day exit poll,0.964425981044769,Ron Paul,Male,White,25-29,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,Illegal in most cases,A minor factor,Yes,I strongly favor my candidate,Federal budget deficit,No,Is a true conservative,Somewhat,Somewhat support,Earlier this year,Non married men,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,Ron Paul,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,High Density Urban,Urban,Urban Core,Upscale,23452.0
235060.0, Virginia,48.0,Call 2,Complete,Election day exit poll,0.572993338108063,Ron Paul,Female,White,17-24,Somewhat conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Illegal in all cases,One of several important factors,Yes,I like my candidate but with reservations,Abortion,No,Is a true conservative,Somewhat,Somewhat support,In the last few weeks,Non married women,17-29,17-29,17-44,17-29,17-24,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,Rick Santorum,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,22485.0
235059.0, Virginia,48.0,Call 2,Complete,Election day exit poll,0.572993338108063,Ron Paul,Female,White,17-24,Somewhat conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Illegal in all cases,One of several important factors,Yes,I like my candidate but with reservations,Abortion,No,Is a true conservative,Somewhat,Somewhat support,In the last few weeks,Non married women,17-29,17-29,17-44,17-29,17-24,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,Rick Santorum,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,22485.0
238860.0, Virginia,48.0,Call 3,Complete,Election day exit poll,0.529537796974182,Ron Paul,Male,White,25-29,Very conservative,Something else,"$100,000-$199,999",Postgraduate study,Illegal in all cases,A minor factor,Yes,I strongly favor my candidate,Federal budget deficit,No,Is a true conservative,Somewhat,Somewhat support,In the last few days,Non married men,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,Ron Paul,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,22485.0
231103.0, Virginia,97.0,Call 1,Complete,Election day exit poll,0.756726861000061,Ron Paul,Female,White,17-24,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,A minor factor,Yes,I strongly favor my candidate,Illegal immigration,Yes,Has strong moral character,Not much,Strongly support,In the last few days,Married women,17-29,17-29,17-44,17-29,17-24,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,Not much or not at all,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,Has strong moral character,Rick Santorum,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Suburb,Urban,Urban Core,Downscale,24502.0
