ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,ILRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEIL12,UNDERREP12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,ENDPRIM12R,RECOVER,TWOCANDS12R,ATTEND2,ATTREL,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
291114.0, Illinois,28.0,Call 3,Complete,Election day exit poll,0.73768675327301,Did not vote,Male,White,65 or over,65 or over,Very liberal,Independent,"Under $30,000",Some college/assoc. degree,Romney,Omit,No,,,,,The economy,Yes,Has strong moral character,,,Neutral,Omit,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Omit,Omit,,,Neutral,Neither,Omit,Omit,Yes,All others,,,,Has strong moral character,,"Your candidate wins the nomination, even if the race continues for month",,Omit,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,60073.0
290654.0, Illinois,19.0,Call 3,Complete,Election day exit poll,0.821459293365479,Did not vote,Female,White,25-29,25-29,Somewhat liberal,Democrat,"Under $30,000",College graduate,Romney,One of several important factors,No,,,,,The economy,No,Has the right experience,,,Strongly oppose,Earlier this year,,,Non married women,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,A factor,Important,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,,Has the right experience,,"The race ends as soon as possible, even if your candidate loses the nomination",,Would not have voted for president,,,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,61028.0
290608.0, Illinois,28.0,Call 2,Complete,Election day exit poll,0.73768675327301,Did not vote,Male,White,65 or over,65 or over,Somewhat liberal,Democrat,"$100,000-$199,999",Postgraduate study,Santorum,One of several important factors,No,,,,,The economy,,Has strong moral character,,,Somewhat oppose,In the last few days,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,A factor,Important,,,Oppose,Neither,Last few days,Since January 1st,No,All others,,,,Has strong moral character,,"The race ends as soon as possible, even if your candidate loses the nomination",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,60073.0
290435.0, Illinois,27.0,Call 2,Complete,Election day exit poll,0.48964387178421,Did not vote,Female,Black,40-44,40-44,Moderate,Democrat,"Under $30,000",College graduate,Omit,Not a factor at all,No,,,,,Illegal immigration,No,Omit,,,Neutral,Just today,,,Non married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Neutral,Neither,Last few days,Since January 1st,No,All others,,,,Omit,,"Your candidate wins the nomination, even if the race continues for month",,Would not have voted for president,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,60030.0
290419.0, Illinois,27.0,Call 2,Complete,Election day exit poll,0.434670001268387,Did not vote,Male,Other,45-49,45-49,Moderate,Democrat,"$50,000-$99,999",College graduate,Romney,A minor factor,No,,,,,Federal budget deficit,No,Has the right experience,,,Strongly oppose,Before that,,,Non married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,A factor,Not important,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Rick Santorum,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,60030.0
290258.0, Illinois,65.0,Call 2,Complete,Election day exit poll,0.480506062507629,Did not vote,Female,Other,60-64,60-64,Moderate,Independent,"$100,000-$199,999",Some college/assoc. degree,Omit,Not a factor at all,No,,,,,The economy,Yes,Omit,,,Neutral,Omit,,,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Not a factor,Not important,,,Neutral,Neither,Omit,Omit,No,All others,,,,Omit,,"The race ends as soon as possible, even if your candidate loses the nomination",,Would not have voted for president,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,60410.0
290225.0, Illinois,60.0,Call 2,Complete,Election day exit poll,0.88767009973526,Did not vote,Female,White,60-64,60-64,Somewhat liberal,Democrat,"$100,000-$199,999",Postgraduate study,Romney,Not a factor at all,No,,,,,Federal budget deficit,Yes,Has the right experience,,,Strongly oppose,Omit,,,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Omit,Omit,No,All others,,,,Has the right experience,,"The race ends as soon as possible, even if your candidate loses the nomination",,Would not have voted for president,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,60423.0
290115.0, Illinois,8.0,Call 1,Complete,Election day exit poll,0.749404549598694,Did not vote,Female,White,50-59,50-59,Moderate,Republican,"$50,000-$99,999",College graduate,,,Yes,I dislike the other candidates,Not conservative enough,Not conservative enough,Not conservative enough,,,,Other christian,A great deal,Somewhat support,,Omit,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,Once a week,,Getting worse,,Weekly,All others,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,60548.0
290032.0, Illinois,54.0,Call 1,Complete,Election day exit poll,0.640273630619049,Did not vote,Female,White,65 or over,65 or over,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,,,Yes,I dislike the other candidates,Omit,Omit,About right,,,,Protestant,Somewhat,Strongly oppose,,Santorum,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,Once a week,,Starting to recover,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,61550.0
289937.0, Illinois,53.0,Call 1,Complete,Election day exit poll,0.86715179681778,Did not vote,Female,White,50-59,50-59,Somewhat liberal,Democrat,"$50,000-$99,999",High school or less,Romney,A minor factor,Yes,,,,,The economy,Yes,Omit,,,Somewhat support,Before that,,,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,A factor,Not important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Omit,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,61734.0
