ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,TNRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,GOVTANGR,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
230073.0,Tennessee,50030.0,Telephone Survey,Complete,Telephone survey,0.0030786672141403,Uncommitted,Male,White,,,Somewhat conservative,Independent,,,,Romney,Working in government,,No,I strongly favor my candidate,About right,Omit,About right,About right,,,,,Not much,Neutral,,Omit,,,,,,,,,,,,,,,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,,,,,,,Not born again,,,,Not much or not at all,Neutral,Neither,,,,All others,,,,,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Extremely Low Density Rural,70s Suburbs,Urban Perimeter,Very downscale,38392.0
230204.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.00949922762811184,Uncommitted,Male,White,,,Somewhat conservative,Republican,,College graduate,,Omit,Working in business,,,I strongly favor my candidate,Omit,Omit,Omit,Omit,,,,Other christian,Not at all,Neutral,,Omit,,,,,,,,,,,,,,,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,,,,No,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,37129.0
229681.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.0221239998936653,Uncommitted,Female,White,65 or over,65 or over,Moderate,Republican,"$50,000-$99,999",College graduate,Legal in most cases,,,,No,,,,,,The economy,No,Has the right experience,,,Neutral,In the last few weeks,,Probably vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,,,,,,Neutral,Neither,Earlier than that,Since January 1st,No,All others,,,Has the right experience,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,38002.0
230071.0,Tennessee,50031.0,Telephone Survey,Complete,Telephone survey,0.0255894362926483,Uncommitted,Female,White,50-59,50-59,Moderate,Independent,"$30,000-$49,999",High school or less,,Romney,Working in business,,Yes,I like my candidate but with reservations,About right,About right,About right,About right,,,,None,Not much,Neutral,,Romney,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,None,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,,,,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,38080.0
229905.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.0280189923942089,Uncommitted,Male,Other,65 or over,65 or over,Moderate,Something else,"$100,000-$199,999",Postgraduate study,Omit,,,,No,,,,,,Omit,Yes,Omit,,,Neutral,Before that,,Omit,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,,,,,,Neutral,Neither,Earlier than that,Before January 1st,No,All others,,,Omit,Omit,Omit,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,38125.0
229847.0,Tennessee,50035.0,Telephone Survey,Complete,Telephone survey,0.0287662874907255,Uncommitted,Female,White,65 or over,65 or over,Very conservative,Republican,,College graduate,Illegal in all cases,,,,Yes,,,,,,Omit,No,Omit,,,Neutral,Omit,,Definitely vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,Illegal,,,,,,Neutral,Born-again but not Tea Party supporter,Omit,Omit,No,White Born-again/Evangelical Christians,,,Omit,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,38117.0
230111.0,Tennessee,50004.0,Telephone Survey,Complete,Telephone survey,0.0303020142018795,Newt Gingrich,Female,,,,,,,,,Omit,Working in government,,,Omit,Omit,Omit,Omit,Omit,,,,,Omit,Omit,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omit,Omit,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37922.0
229768.0,Tennessee,50031.0,Telephone Survey,Complete,Telephone survey,0.032809492200613,Uncommitted,Female,White,65 or over,65 or over,Very conservative,Independent,,High school or less,Legal in all cases,,,,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Neutral,Omit,,Definitely vote for the Republican nominee,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,,,,No college degree,High school graduate or less,Legal,,,,,,Neutral,Born-again but not Tea Party supporter,Omit,Omit,,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,38019.0
229923.0,Tennessee,50000.0,Telephone Survey,Complete,Telephone survey,0.0340138114988804,Uncommitted,Female,White,,,Somewhat conservative,Republican,"Under $30,000",High school or less,Illegal in all cases,,,,Yes,,,,,,Abortion,No,Has strong moral character,,,Somewhat support,Before that,,Definitely vote for the Republican nominee,Non married women,,,,,,,,,,,,,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,Yes,White Born-again/Evangelical Christians,,,Has strong moral character,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,37821.0
230293.0,Tennessee,50004.0,Telephone Survey,Complete,Telephone survey,0.0377259664237499,Newt Gingrich,Male,Black,,,,,,,,Omit,Working in government,,,I like my candidate but with reservations,Omit,Omit,Omit,Too conservative,,,,,Somewhat,Omit,,Romney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A great deal or somewhat,Omit,,,,,All others,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,Suburb,Urban,Urban Core,Very downscale,37901.0
