ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,OHRPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATPAUL,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,WORK,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,CAMPREP12,ECONWORR,GOVTANGR,PHILFIS5,PHILSOC5,ECOWORR2,GOVTANG2,PHILFIS2,PHILFIS3,PHILSOC2,PHILSOC3,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
229663.0,Ohio,50075.0,Telephone Survey,Complete,Telephone survey,0.439658433198929,Newt Gingrich,Female,White,,,Republican,,College graduate,,,,,No,,,,,,The economy,,Has the right experience,,Omit,Omit,Omit,Omit,,Omit,,,,,,,,,,,Republican,,,,,,,College graduate,More than High school graduate,,,,,,,Omit,,,,No,All others,,,,Has the right experience,About the same,Very worried,,Somewhat conservative,Somewhat conservative,Worried,,Conservative,Somewhat conservative,Conservative,Somewhat conservative,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 3,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,44273.0
229638.0,Ohio,50073.0,Telephone Survey,Complete,Telephone survey,2.4762008190155,Newt Gingrich,Male,White,65 or over,,Independent,"Under $30,000",High school or less,,,,,,,,,,,The economy,,Has the right experience,,Omit,Omit,Omit,Omit,,Omit,,,,No,,65+,60+,45+,60+,65+,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Omit,,,,Yes,,,,All others,Has the right experience,More negative this year,Very worried,,Very conservative,Very conservative,Worried,,Conservative,Very conservative,Conservative,Very conservative,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 3,High Density Urban,Urban,Urban Core,Downscale,43224.0
229532.0,Ohio,50076.0,Telephone Survey,Complete,Telephone survey,1.16875541210175,Newt Gingrich,Female,White,65 or over,,Republican,"Under $30,000",Postgraduate study,,,,,No,,,,,,The economy,,Has the right experience,,Satisfied,Satisfied,Satisfied,Satisfied,,Omit,,,,No,,65+,60+,45+,60+,65+,Republican,,,,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,,,,Omit,,,,No,All others,,,All others,Has the right experience,Omit,Somewhat worried,,Somewhat conservative,Somewhat conservative,Worried,,Conservative,Somewhat conservative,Conservative,Somewhat conservative,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 3,Suburb,Urban,Urban Core,Upscale,44708.0
229346.0,Ohio,50073.0,Telephone Survey,Complete,Telephone survey,1.44694852828979,Newt Gingrich,Female,White,65 or over,Moderate,Republican,"Under $30,000",High school or less,Illegal in all cases,,,,Yes,,,,,,Abortion,No,Can defeat Barack Obama,,,,,,,Omit,In the last few weeks,,Only vote for the Republican nominee if your candidate wins,,Non married women,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,,,Omit,,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,,,,Can defeat Barack Obama,,,"Satisfied, but not enthusiastic",,,,"Enthusiastic or satisfied, but not enthusiastic",,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,43228.0
229322.0,Ohio,50050.0,Telephone Survey,Complete,Telephone survey,0.729978024959564,Newt Gingrich,Male,White,65 or over,Somewhat liberal,Independent,"Under $30,000",High school or less,Omit,,,,No,,,,,,The economy,No,Has the right experience,,,,,,,Omit,Before that,,Only vote for the Republican nominee if your candidate wins,,Non married men,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Omit,,,,,,Omit,,Earlier than that,Before January 1st,Yes,All others,,,,Has the right experience,,,"Dissatisifed, but not angry",,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 1,High Density Urban,Urban,Urban Core,Very downscale,44105.0
229379.0,Ohio,50042.0,Telephone Survey,Complete,Telephone survey,0.923582375049591,Newt Gingrich,Male,White,65 or over,Moderate,Republican,"Under $30,000",High school or less,Illegal in all cases,,,,No,,,,,,Federal budget deficit,No,Can defeat Barack Obama,,,,,,,Strongly oppose,Before that,,Definitely vote for the Republican nominee,,Non married men,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,,,Oppose,Neither,Earlier than that,Before January 1st,Yes,All others,,,,Can defeat Barack Obama,,,Angry,,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,Suburb,Rural,Rural,Very upscale,44839.0
229364.0,Ohio,50042.0,Telephone Survey,Complete,Telephone survey,1.23029589653015,Newt Gingrich,Male,White,65 or over,Somewhat conservative,Independent,"$50,000-$99,999",College graduate,Legal in all cases,,,,No,,,,,,The economy,Yes,Omit,,,,,,,Strongly oppose,Earlier this year,,Omit,,Married men,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,,,,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,,Omit,,,Angry,,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,43560.0
229424.0,Ohio,50009.0,Telephone Survey,Complete,Telephone survey,2.53581833839417,Newt Gingrich,Male,White,45-49,Somewhat conservative,Republican,"$30,000-$49,999",College graduate,,Omit,Working in government,,No,I like my candidate but with reservations,About right,Too conservative,About right,About right,,,,Catholic,,,,,Not much,Somewhat oppose,,Omit,,,,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not born again,,,Catholic,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Suburb,60s Suburbs,Urban Perimeter,Very upscale,45230.0
229644.0,Ohio,50045.0,Telephone Survey,Complete,Telephone survey,2.98803305625916,Newt Gingrich,Male,White,25-29,,Republican,"$50,000-$99,999",Some college/assoc. degree,,,,,No,,,,,,The economy,,Has strong moral character,,Satisfied,Satisfied,Satisfied,Satisfied,,Neutral,,,,Yes,,17-29,17-29,17-44,17-29,25-29,Republican,,,,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,,,Neutral,Neither,,,No,All others,,,All others,Has strong moral character,About the same,Very worried,,Somewhat conservative,Somewhat conservative,Worried,,Conservative,Somewhat conservative,Conservative,Somewhat conservative,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 3,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,44134.0
229630.0,Ohio,50040.0,Telephone Survey,Complete,Telephone survey,1.37558245658875,Newt Gingrich,Male,White,65 or over,,Republican,"$50,000-$99,999",College graduate,,,,,No,,,,,,The economy,,Can defeat Barack Obama,,Satisfied,Satisfied,Satisfied,Satisfied,,Neutral,,,,No,,65+,60+,45+,60+,65+,Republican,,,,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,,,,Neutral,Neither,,,No,All others,,,All others,Can defeat Barack Obama,About the same,Somewhat worried,,Very conservative,Moderate,Worried,,Conservative,Very conservative,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,44001.0
