ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,GARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEST12,VOTENOV12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,GINGTIESGA,GOVTANGR,GINGTIESGA2,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
237893.0, Georgia,83.0,Call 3,Complete,Election day exit poll,0.901297211647034,Did not vote,Female,White,45-49,45-49,Moderate,Democrat,"$200,000 or more",Postgraduate study,,Romney,Working in government,,No,I strongly favor my candidate,Too conservative,Too conservative,Too conservative,Too conservative,,,,Protestant,Not much,Strongly oppose,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Oppose,Neither,,,No,All others,No,White Protestant non-evangelical,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30019.0
237839.0, Georgia,101.0,Call 3,Complete,Election day exit poll,0.624188005924225,Did not vote,Male,Black,65 or over,65 or over,Moderate,Independent,"$100,000-$199,999",Postgraduate study,,Romney,Working in government,,Yes,I strongly favor my candidate,Not conservative enough,Omit,Omit,Omit,,,,Protestant,A great deal,Neutral,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,All others,No,,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,5.0,South,Version 2,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,31811.0
234198.0, Georgia,28.0,Call 2,Not complete,Election day exit poll,0.710575759410858,Did not vote,Male,Black,40-44,40-44,,,,College graduate,,Omit,Working in government,,,I strongly favor my candidate,,,,,,,,,Somewhat,,,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,,,,,,,College graduate,More than High school graduate,,,,,,A great deal or somewhat,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30101.0
238538.0, Georgia,84.0,Call 3,Complete,Election day exit poll,0.646806180477142,Did not vote,Male,Black,45-49,45-49,Moderate,Democrat,"$50,000-$99,999",High school or less,,Paul,Working in business,,Yes,I strongly favor my candidate,Not conservative enough,Not conservative enough,Not conservative enough,Not conservative enough,,,,None,A great deal,Somewhat oppose,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate matter a great deal,,,None,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,All others,No,,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
231599.0, Georgia,57.0,Call 1,Complete,Election day exit poll,1.56945645809174,Did not vote,Female,Black,45-49,45-49,Somewhat liberal,Democrat,,College graduate,,Romney,Working in government,,,I strongly favor my candidate,Not conservative enough,Too conservative,Not conservative enough,Not conservative enough,,,,Protestant,A great deal,Somewhat oppose,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,,,,College graduate,More than High school graduate,,,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Oppose,,,,No,All others,No,,,Not much,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
231340.0, Georgia,57.0,Call 1,Complete,Election day exit poll,1.71343982219696,Did not vote,Male,White,30-39,30-39,Somewhat conservative,Independent,"Under $30,000",Some college/assoc. degree,,Gingrich,Working in business,,Yes,I like my candidate but with reservations,Not conservative enough,Too conservative,Not conservative enough,Too conservative,,,,Muslim,Not much,Strongly support,,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Something else,Not much or not at all,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,No,All others,,Not much,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
238393.0, Georgia,84.0,Call 3,Complete,Election day exit poll,0.693305552005768,Did not vote,Female,White,40-44,40-44,Moderate,Independent,"$50,000-$99,999",Postgraduate study,Legal in most cases,,,One of several important factors,No,,,,,,The economy,No,Has strong moral character,,,Strongly oppose,Earlier this year,Omit,Non married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,,A factor,Important,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,Has strong moral character,,"Dissatisifed, but not angry",,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
234275.0, Georgia,28.0,Call 2,Complete,Election day exit poll,0.710575759410858,Did not vote,Male,Black,50-59,50-59,Very liberal,Democrat,"$100,000-$199,999",High school or less,Legal in all cases,,,One of several important factors,No,,,,,,The economy,Yes,Has the right experience,,,Somewhat oppose,Earlier this year,Omit,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,Legal,,A factor,Important,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,Has the right experience,,"Satisfied, but not enthusiastic",,"Enthusiastic or satisfied, but not enthusiastic",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30101.0
237940.0, Georgia,84.0,Call 3,Complete,Election day exit poll,0.640899002552032,Did not vote,Female,Black,50-59,50-59,Moderate,Independent,"$100,000-$199,999",College graduate,Legal in all cases,,,A minor factor,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Strongly oppose,Omit,Probably vote for the Republican nominee,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,,A factor,Not important,,,Oppose,Born-again but not Tea Party supporter,Omit,Omit,No,All others,,,Can defeat Barack Obama,,Enthusiastic,,"Enthusiastic or satisfied, but not enthusiastic",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
237819.0, Georgia,54.0,Call 3,Complete,Election day exit poll,1.51334631443024,Did not vote,Female,Black,50-59,50-59,Somewhat liberal,Democrat,"$100,000-$199,999",Postgraduate study,Legal in all cases,,,One of several important factors,Yes,,,,,,The economy,Yes,Has the right experience,,,Somewhat oppose,Omit,Omit,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,,A factor,Important,,,Oppose,Born-again but not Tea Party supporter,Omit,Omit,No,All others,,,Has the right experience,,"Dissatisifed, but not angry",,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
