ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,VTRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,TEAPARTY,TIMEST12,UNDERREP12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BREAKFACT,BREAKIMP,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,XQLTREP12,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
231993.0, Vermont,45.0,Call 1,Complete,Election day exit poll,0.531742513179779,Did not vote,Female,White,45-49,45-49,Very liberal,Independent,"$50,000-$99,999",College graduate,Legal in all cases,A minor factor,No,I strongly favor my candidate,The economy,No,Omit,Strongly oppose,Before that,Omit,Non married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,A factor,Not important,Oppose,Neither,Earlier than that,Before January 1st,No,All others,Omit,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Upscale
233307.0, Vermont,61.0,Call 1,Complete,Election day exit poll,1.17719721794128,Did not vote,Female,White,18-24,17-24,Somewhat liberal,Something else,"Under $30,000",Some college/assoc. degree,Illegal in most cases,A minor factor,No,I like my candidate but with reservations,Abortion,No,Has the right experience,Neutral,Omit,Paul,Non married women,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,A factor,Not important,Neutral,Neither,Omit,Omit,Yes,All others,Has the right experience,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale
239071.0, Vermont,58.0,Call 3,Complete,Election day exit poll,0.473522126674652,Did not vote,Male,White,65 or over,65 or over,Very liberal,Democrat,"$50,000-$99,999",Some college/assoc. degree,Legal in all cases,Omit,No,Omit,The economy,Yes,Omit,Neutral,Omit,Omit,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,Omit,Omit,Neutral,Neither,Omit,Omit,No,All others,Omit,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale
239044.0, Vermont,44.0,Call 3,Complete,Election day exit poll,0.758153915405273,Did not vote,Female,White,45-49,45-49,Very liberal,Independent,,High school or less,Legal in all cases,One of several important factors,No,I strongly favor my candidate,Omit,Yes,Omit,Omit,Omit,Omit,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,,,,No college degree,High school graduate or less,Legal,A factor,Important,Omit,,Omit,Omit,,All others,Omit,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
239043.0, Vermont,44.0,Call 3,Complete,Election day exit poll,0.758153915405273,Did not vote,Female,White,45-49,45-49,Very liberal,Independent,,High school or less,Legal in all cases,One of several important factors,No,I strongly favor my candidate,Omit,Yes,Omit,Omit,Omit,Omit,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,,,,No college degree,High school graduate or less,Legal,A factor,Important,Omit,,Omit,Omit,,All others,Omit,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
235106.0, Vermont,44.0,Call 2,Complete,Election day exit poll,0.558079659938812,Did not vote,Male,White,65 or over,65 or over,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,A minor factor,No,I like my candidate but with reservations,The economy,Yes,Has the right experience,Neutral,Omit,Omit,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,A factor,Not important,Neutral,Neither,Omit,Omit,Yes,All others,Has the right experience,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
235095.0, Vermont,44.0,Call 2,Complete,Election day exit poll,0.578186571598053,Did not vote,Male,White,50-59,50-59,Somewhat liberal,Democrat,"Under $30,000",College graduate,Legal in all cases,One of several important factors,No,I strongly favor my candidate,The economy,No,Has the right experience,Strongly oppose,Before that,Omit,Non married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,A factor,Important,Oppose,Neither,Earlier than that,Before January 1st,No,All others,Has the right experience,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
235084.0, Vermont,44.0,Call 2,Complete,Election day exit poll,0.578186571598053,Did not vote,Male,White,30-39,30-39,Somewhat liberal,Democrat,"$30,000-$49,999",College graduate,Legal in most cases,A minor factor,Yes,I strongly favor my candidate,The economy,Yes,Has the right experience,Strongly oppose,In the last few weeks,Paul,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,A factor,Not important,Oppose,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
235076.0, Vermont,44.0,Call 2,Complete,Election day exit poll,0.758153915405273,Did not vote,Female,White,30-39,30-39,Somewhat liberal,Democrat,"$30,000-$49,999",Some college/assoc. degree,Legal in most cases,A minor factor,No,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat oppose,Before that,Paul,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,A factor,Not important,Oppose,Neither,Earlier than that,Before January 1st,Yes,All others,Has the right experience,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
235066.0, Vermont,44.0,Call 2,Complete,Election day exit poll,0.977916240692139,Did not vote,Male,White,18-24,17-24,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,Legal in all cases,One of several important factors,No,I like my candidate but with reservations,Federal budget deficit,Yes,Omit,Neutral,Just today,Omit,Married men,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,A factor,Important,Neutral,Neither,Last few days,Since January 1st,Yes,All others,Omit,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
