ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MDRPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BREAK12PRI,BRNAGAIN,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,TEAPARTY,TIMEMD12,VOTENOV12,WORK,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WRKWOMEN,XQLTREP12,RECOVER,WORKSEX,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
307480.0, Maryland,23.0,Call 1,Not complete,Election day exit poll,0.635815560817719,Newt Gingrich,Female,,65 or over,,,,,One of several important factors,,,,,Yes,,,Omit,,,Married women,65+,60+,45+,60+,65+,,,,,,,,,,A factor,Important,,,Omit,Omit,,,,,Starting to recover,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21136.0
308819.0, Maryland,109.0,Call 2,Not complete,Election day exit poll,0.763583540916443,Mitt Romney,Female,White,65 or over,,,,Some college/assoc. degree,The most important factor,,,,,Yes,,,Earlier this year,,,Married women,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,Earlier than that,Since January 1st,,,,,Staying the same,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,21676.0
309888.0, Maryland,51.0,Call 3,Not complete,Election day exit poll,0.979932248592377,Mitt Romney,Female,White,60-64,,,,Some college/assoc. degree,Not a factor at all,,,,,Yes,,,Before that,,,Married women,45-65,60+,45+,60+,50-64,,,,,,,,No college degree,More than High school graduate,Not a factor,Not important,,,Earlier than that,Before January 1st,,,,,Getting worse,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,21780.0
308625.0, Maryland,57.0,Call 2,Complete,Election day exit poll,0.566035866737366,Did not vote,Female,White,65 or over,Moderate,Democrat,"$100,000-$199,999",Postgraduate study,Omit,No,Omit,Too conservative,Omit,Yes,Omit,Strongly oppose,Omit,Omit,,Married women,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,Omit,Oppose,Neither,Omit,Omit,No,All others,,Omit,Starting to recover,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale,21550.0
308590.0, Maryland,107.0,Call 2,Complete,Election day exit poll,1.39127469062805,Rick Santorum,Female,White,30-39,Very conservative,Republican,,Some college/assoc. degree,Omit,Yes,About right,About right,Federal budget deficit,Yes,Omit,Strongly support,In the last few days,Definitely vote for the Republican nominee,,Married women,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,,,,No college degree,More than High school graduate,Omit,Omit,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,,White Born-again/Evangelical Christians,,Omit,Omit,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,East,Version 1,Town,Rural,Rural,Downscale,20667.0
309651.0, Maryland,88.0,Call 3,Complete,Election day exit poll,0.906644105911255,Newt Gingrich,Female,White,65 or over,Very conservative,Republican,"$50,000-$99,999",High school or less,The most important factor,Yes,About right,About right,The economy,No,Can defeat Barack Obama,Strongly support,Before that,Definitely vote for the Republican nominee,,Non married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,A factor,Important,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,Can defeat Barack Obama,Getting worse,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,20707.0
308824.0, Maryland,109.0,Call 2,Complete,Election day exit poll,0.763583540916443,Mitt Romney,Female,White,65 or over,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,Omit,No,About right,Omit,Omit,Yes,Can defeat Barack Obama,Strongly support,Earlier this year,Definitely vote for the Republican nominee,,Married women,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,Omit,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,Can defeat Barack Obama,Staying the same,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,21676.0
308813.0, Maryland,109.0,Call 2,Complete,Election day exit poll,0.763583540916443,Mitt Romney,Female,White,65 or over,Very conservative,Republican,"$200,000 or more",College graduate,A minor factor,No,Not conservative enough,Omit,Federal budget deficit,No,Can defeat Barack Obama,Strongly support,Omit,Definitely vote for the Republican nominee,,Non married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,A factor,Not important,Support,Tea Party supporter and not born-again,Omit,Omit,No,All others,,Can defeat Barack Obama,Getting worse,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,21676.0
310054.0, Maryland,109.0,Call 3,Complete,Election day exit poll,0.763583540916443,Mitt Romney,Female,White,65 or over,Moderate,Republican,,High school or less,Omit,No,About right,Omit,Illegal immigration,Yes,Can defeat Barack Obama,Omit,Just today,Only vote for the Republican nominee if your candidate wins,,Married women,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Omit,Omit,Omit,,Last few days,Since January 1st,,All others,,Can defeat Barack Obama,Getting worse,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,21676.0
309673.0, Maryland,57.0,Call 3,Complete,Election day exit poll,0.82378101348877,Rick Santorum,Female,White,45-49,Moderate,Republican,,High school or less,Not a factor at all,No,Omit,About right,The economy,Yes,Can defeat Barack Obama,Somewhat support,In March,Definitely vote for the Republican nominee,,Married women,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,Not a factor,Not important,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,,All others,,Can defeat Barack Obama,Getting worse,,State questionnaire,Rural,Small Cities/Rural,4.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale,21550.0
