ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,OKRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,SHAREREL,TEAPARTY,TIMEST12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,XQLTREP12,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
238756.0,Oklahoma,72.0,Call 3,Complete,Election day exit poll,0.915392935276031,Did not vote,Male,Other,30-39,30-39,Very liberal,Democrat,"$30,000-$49,999",Some college/assoc. degree,Legal in most cases,One of several important factors,Yes,I like my candidate but with reservations,The economy,Yes,Has strong moral character,A great deal,Strongly oppose,Before that,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,A factor,Important,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,Earlier than that,Before January 1st,No,All others,Has strong moral character,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale
238705.0,Oklahoma,72.0,Call 3,Complete,Election day exit poll,1.61841428279877,Did not vote,Male,White,30-39,30-39,Very liberal,,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Has strong moral character,Somewhat,Strongly oppose,Before that,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,Earlier than that,Before January 1st,Yes,White Born-again/Evangelical Christians,Has strong moral character,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale
232408.0,Oklahoma,115.0,Call 1,Complete,Election day exit poll,0.444982677698135,Did not vote,Male,Other,30-39,30-39,Very liberal,Democrat,"$50,000-$99,999",Some college/assoc. degree,Legal in all cases,One of several important factors,No,I strongly favor my candidate,Federal budget deficit,,Omit,Not at all,Neutral,Before that,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,Not born again,A factor,Important,Not much or not at all,Neutral,Neither,Earlier than that,Before January 1st,No,All others,Omit,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale
232193.0,Oklahoma,89.0,Call 1,Complete,Election day exit poll,1.55916142463684,Did not vote,Female,White,25-29,25-29,Moderate,Republican,"$50,000-$99,999",Postgraduate study,Illegal in all cases,One of several important factors,Yes,I dislike the other candidates,Abortion,Yes,Can defeat Barack Obama,Somewhat,Neutral,Just today,Married women,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale
235578.0,Oklahoma,115.0,Call 2,Complete,Election day exit poll,1.00614452362061,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Legal in most cases,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,,Has the right experience,Somewhat,Strongly support,Earlier this year,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale
231714.0,Oklahoma,13.0,Call 1,Complete,Election day exit poll,2.40308332443237,Newt Gingrich,Female,White,50-59,50-59,Moderate,Independent,"$100,000-$199,999",College graduate,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Can defeat Barack Obama,Not much,Strongly support,Earlier this year,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,Not much or not at all,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
231712.0,Oklahoma,50.0,Call 1,Complete,Election day exit poll,0.80864417552948,Newt Gingrich,Female,White,50-59,50-59,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I like my candidate but with reservations,Federal budget deficit,No,Can defeat Barack Obama,Not much,Neutral,In the last few weeks,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,Not much or not at all,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale
235571.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.1092334985733,Newt Gingrich,Female,White,60-64,60-64,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,Legal in most cases,One of several important factors,No,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat,Somewhat support,In the last few days,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Not born again,A factor,Important,A great deal or somewhat,Support,Tea Party supporter and not born-again,Last few days,Since January 1st,No,All others,Has the right experience,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale
239432.0,Oklahoma,46.0,Call 3,Complete,Election day exit poll,0.810935318470001,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",High school or less,Illegal in most cases,One of several important factors,Yes,I like my candidate but with reservations,The economy,No,Has strong moral character,A great deal,Neutral,Just today,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,Has strong moral character,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale
231697.0,Oklahoma,50.0,Call 1,Complete,Election day exit poll,0.757451295852661,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",College graduate,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,Yes,Is a true conservative,Somewhat,Strongly support,In the last few weeks,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale
