ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SCRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMESC12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,DEFICIT12R,ECONWORR,GETAHEAD,HALEY2,LAIDOFF3,ROMNEYWORK,ROMNWIN,UNFAIRREP12SC,VETVOTER,ECOWORR2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
72828.0,South Carolina,3.0,Call 1,Not complete,Election day exit poll,0.857152581214905,Newt Gingrich,Female,White,65 or over,65 or over,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
74671.0,South Carolina,44.0,Call 3,Not complete,Election day exit poll,0.731773257255554,Newt Gingrich,Male,Black,65 or over,65 or over,,,,High school or less,,The most important factor,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,29576.0
73860.0,South Carolina,86.0,Call 2,Not complete,Election day exit poll,0.825597882270813,Newt Gingrich,Male,White,45-49,45-49,,,,Postgraduate study,,Omit,,,,,,,,In the last few days,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,College graduate,More than High school graduate,,,Omit,Omit,,,,,Last few days,In the last month,,,,,,,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,29640.0
73651.0,South Carolina,75.0,Call 2,Not complete,Election day exit poll,0.869637787342072,Newt Gingrich,Female,White,65 or over,65 or over,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,29170.0
73650.0,South Carolina,75.0,Call 2,Not complete,Election day exit poll,0.869637787342072,Newt Gingrich,Female,White,65 or over,65 or over,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,29170.0
73613.0,South Carolina,97.0,Call 2,Not complete,Election day exit poll,1.16195249557495,Newt Gingrich,Male,White,30-39,30-39,,,,High school or less,,One of several important factors,,,,,,,,Before that,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,,,,,,,,,No,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,29138.0
73702.0,South Carolina,17.0,Call 2,Not complete,Election day exit poll,1.09999811649323,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,,One of several important factors,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,,,,,,,,,Yes,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,Extremely Low Density Rural,Urban,Urban Core,Upscale,29492.0
72678.0,South Carolina,75.0,Call 1,Not complete,Election day exit poll,0.898357212543488,Newt Gingrich,Male,White,65 or over,65 or over,,,,High school or less,,A minor factor,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Not important,,,,,Earlier than that,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,29170.0
72473.0,South Carolina,47.0,Call 1,Not complete,Election day exit poll,0.847911298274994,Newt Gingrich,Male,White,30-39,30-39,,,,Postgraduate study,,A minor factor,,,,,,,,In the last few days,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,College graduate,More than High school graduate,,,A factor,Not important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29681.0
73682.0,South Carolina,65.0,Call 2,Not complete,Election day exit poll,1.27697336673737,Newt Gingrich,Female,White,65 or over,65 or over,,,,High school or less,,The most important factor,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,29067.0
