ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,TEAPARTY,TIMEST12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,HEALTHMASS,ROMNTIESMA,ROMNTIESMA2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
232460.0,Massachusetts,45.0,Call 1,Not complete,Election day exit poll,0.445054829120636,Did not vote,Male,White,65 or over,65 or over,,,,Some college/assoc. degree,One of several important factors,,I strongly favor my candidate,,No,,,,Earlier this year,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 1,Suburb,Rural,Rural,Downscale
232098.0,Massachusetts,21.0,Call 1,Not complete,Election day exit poll,1.00915896892548,Did not vote,Female,White,65 or over,65 or over,,,,College graduate,One of several important factors,,I like my candidate but with reservations,,No,,,,Before that,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale
231111.0,Massachusetts,90.0,Call 1,Not complete,Election day exit poll,1.06970524787903,Did not vote,Female,White,,,,,,College graduate,A minor factor,,I dislike the other candidates,,No,,,,Before that,Non married women,,,,,,,,,,,,,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
233199.0,Massachusetts,62.0,Call 1,Not complete,Election day exit poll,0.928460538387299,Newt Gingrich,Female,White,50-59,50-59,,,,High school or less,Not a factor at all,,I dislike the other candidates,,Yes,,,,Earlier this year,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,High school graduate or less,Not a factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
233171.0,Massachusetts,108.0,Call 1,Not complete,Election day exit poll,0.493578016757965,Newt Gingrich,Male,Other,50-59,50-59,,,,Postgraduate study,A minor factor,,I dislike the other candidates,,Yes,,,,Just today,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Last few days,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale
236889.0,Massachusetts,34.0,Call 2,Not complete,Election day exit poll,0.92804491519928,Newt Gingrich,Male,White,50-59,50-59,,,,High school or less,The most important factor,,I strongly favor my candidate,,No,,,,In the last few weeks,Non married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
241261.0,Massachusetts,64.0,Call 3,Not complete,Election day exit poll,1.05089569091797,Newt Gingrich,Male,White,65 or over,65 or over,,,,College graduate,A minor factor,,I like my candidate but with reservations,,Yes,,,,Just today,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Last few days,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
237046.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,1.4867262840271,Ron Paul,Female,White,65 or over,65 or over,,,,Postgraduate study,A minor factor,,I strongly favor my candidate,,,,,,Earlier this year,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
240704.0,Massachusetts,88.0,Call 3,Not complete,Election day exit poll,1.19556164741516,Ron Paul,Male,,50-59,50-59,,,,Some college/assoc. degree,A minor factor,,I like my candidate but with reservations,,Yes,,,,Earlier this year,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
233269.0,Massachusetts,75.0,Call 1,Not complete,Election day exit poll,0.998055875301361,Ron Paul,Male,,65 or over,65 or over,,,,Postgraduate study,Not a factor at all,,I strongly favor my candidate,,,,,,Earlier this year,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
