ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,NVRPRS12,SEX,QRACEAI,XAGE8,PHIL5,PARTYIA,INCOME12RNH,EDUC12R,LATINO,BREAK12CAUNV,BRNAGAIN,ISSREP12NV,QLTIA12R,RELIGN10,TEAPARTY,TIMENV12,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,QRACE3,RACE,SPANISHQ,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
113310.0,Nevada,23.0,Call 3,Complete,Election day exit poll,0.479306399822235,,Female,White,30-39,Somewhat conservative,,"$50,000-$99,999",College graduate,No,The most important factor,No,Federal budget deficit,Can defeat Barack Obama,Other,Neutral,Omit,30-44,30-59,17-44,30-44,30-39,,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,A factor,Important,Something else,Neutral,Neither,Omit,Omit,No,All others,No,All others,Can defeat Barack Obama,White,White,English,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
111876.0,Nevada,23.0,Call 1,Complete,Election day exit poll,0.494136065244675,,Female,White,65 or over,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,No,Not a factor at all,Yes,Omit,Can defeat Barack Obama,Protestant,Strongly support,In the last few days,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not a factor,Not important,Protestant/Other Non-Catholic Christian,Support,Both Tea Party supporter and born-again,Last few days,In the last month,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Can defeat Barack Obama,White,White,English,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
112955.0,Nevada,7.0,Call 1,Complete,Election day exit poll,0.509595453739166,,Female,White,45-49,Very conservative,Republican,"$100,000-$199,999",Postgraduate study,No,A minor factor,No,Federal budget deficit,Has the right experience,Catholic,Somewhat support,In the last few days,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,A factor,Not important,Catholic,Support,Tea Party supporter and not born-again,Last few days,In the last month,No,All others,No,All others,Has the right experience,White,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,Suburb,Urban,Urban Core,Upscale
113354.0,Nevada,7.0,Call 2,Complete,Election day exit poll,0.534832417964935,,Male,White,45-49,Somewhat conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,No,A minor factor,No,The economy,Can defeat Barack Obama,Catholic,Somewhat support,Omit,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,A factor,Not important,Catholic,Support,Tea Party supporter and not born-again,Omit,Omit,No,All others,No,All others,Can defeat Barack Obama,White,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,Suburb,Urban,Urban Core,Upscale
112764.0,Nevada,10.0,Call 2,Complete,Election day exit poll,0.66194874048233,,Female,White,50-59,Very conservative,Something else,,Some college/assoc. degree,No,Not a factor at all,No,Omit,Omit,Catholic,Strongly support,In the last few days,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,,,,No college degree,More than High school graduate,Not a factor,Not important,Catholic,Support,Tea Party supporter and not born-again,Last few days,In the last month,,All others,No,All others,Omit,White,White,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
112736.0,Nevada,10.0,Call 2,Complete,Election day exit poll,0.66194874048233,,Female,White,50-59,Very conservative,Republican,"$50,000-$99,999",College graduate,No,One of several important factors,Yes,Federal budget deficit,Has the right experience,Other christian,Omit,In January,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,A factor,Important,Protestant/Other Non-Catholic Christian,Omit,,Earlier than that,In the last month,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Has the right experience,White,White,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
112364.0,Nevada,10.0,Call 1,Complete,Election day exit poll,0.682429313659668,,Female,White,60-64,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,No,Not a factor at all,No,Federal budget deficit,Is a true conservative,None,Strongly support,Just today,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Not a factor,Not important,None,Support,Tea Party supporter and not born-again,Last few days,In the last month,Yes,All others,No,All others,Is a true conservative,White,White,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
112979.0,Nevada,61.0,Call 2,Complete,Election day exit poll,0.694730758666992,,Male,White,50-59,Moderate,Independent,"$100,000-$199,999",Some college/assoc. degree,No,Not a factor at all,No,Illegal immigration,Has the right experience,None,Strongly oppose,Before that,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Not a factor,Not important,None,Oppose,Neither,Earlier than that,Earlier than that,No,All others,No,All others,Has the right experience,White,White,English,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,West,Version 1,High Density Urban,Urban,Urban Core,Downscale
112169.0,Nevada,76.0,Call 1,Complete,Election day exit poll,0.712889850139618,,,White,50-59,Moderate,Republican,,High school or less,No,One of several important factors,No,Omit,Can defeat Barack Obama,,Strongly support,Before that,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,A factor,Important,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,,All others,,,Can defeat Barack Obama,White,White,English,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,West,Version 1,High Density Urban,Urban,Urban Core,Downscale
111993.0,Nevada,61.0,Call 1,Complete,Election day exit poll,0.716225624084473,,Male,White,65 or over,Very conservative,Republican,,Postgraduate study,No,A minor factor,No,The economy,Omit,Catholic,Strongly support,Omit,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,A factor,Not important,Catholic,Support,Tea Party supporter and not born-again,Omit,Omit,,All others,No,All others,Omit,White,White,English,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,West,Version 1,High Density Urban,Urban,Urban Core,Downscale
