ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,BROWNBACK2,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSKS12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
49925.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,Not complete,,,Call 2,2.0,,,,,,,,,1.0,,,,,,,,,,,No,Yes,45+,18-64,,,,,,,76.0,Barack Obama,White,White,National questionnaire,White,Midwest,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Kansas,Election day exit poll,,,,Version 5,,,Suburb,Urban,Urban Core,Upscale,66611.0,1.07303869724274
30127.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,Not complete,,,Call 1,4.0,,,,,,,,,3.0,,,,,,,,,,,No,Yes,45+,18-64,,,,,,,5.0,Barack Obama,White,White,National questionnaire,White,Midwest,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Kansas,Election day exit poll,,,,Version 2,,,Low Density Rural,Rural,Rural,Upscale,67156.0,0.425096422433853
49056.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,Not complete,,,Call 2,4.0,,,,,,,,,3.0,,,,,,,,,,,No,Yes,18-44,18-64,,,,,,,5.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Kansas,Election day exit poll,,,,Version 2,,,Low Density Rural,Rural,Rural,Upscale,67156.0,0.482899963855743
68904.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Omit,Omit,Complete,Yes,,Call 3,4.0,I strongly favor my candidate,,,,,,,,4.0,,,,,,,,,,,No,Yes,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,,17.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Female,White women,Married women,Rural,Small Cities/Rural,Kansas,Election day exit poll,,,,Version 3,,White Born-again/Evangelical Christians,Extremely Low Density Rural,Rural,Rural,Very downscale,67009.0,0.85355943441391
29850.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,More than once a week,Weekly,Complete,Yes,,Call 1,4.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,,,,,,,,,,No,Yes,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,5.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Kansas,Election day exit poll,,,,Version 3,No,White Born-again/Evangelical Christians,Low Density Rural,Rural,Rural,Upscale,67156.0,0.45695036649704
49118.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,More than once a week,Weekly,Complete,Yes,,Call 2,4.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,,,,3.0,,,,,,,,,,,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,5.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Kansas,Election day exit poll,,,,Version 3,,White Born-again/Evangelical Christians,Low Density Rural,Rural,Rural,Upscale,67156.0,0.544416844844818
49107.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,No,,Call 2,2.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,No,No,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,76.0,Barack Obama,White,White,National questionnaire,White,Midwest,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Kansas,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Upscale,66611.0,1.22360014915466
68409.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,Yes,,Call 3,4.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,,,,,,,No,No,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,17.0,Barack Obama,White,White,National questionnaire,White,Midwest,Female,White women,Non married women,Rural,Small Cities/Rural,Kansas,Election day exit poll,,,,Version 3,No,White Born-again/Evangelical Christians,Extremely Low Density Rural,Rural,Rural,Very downscale,67009.0,1.47202825546265
49029.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Once a week,Weekly,Complete,No,,Call 2,2.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,76.0,Barack Obama,White,White,National questionnaire,White,Midwest,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Kansas,Election day exit poll,,,,Version 3,Yes,All others,Suburb,Urban,Urban Core,Upscale,66611.0,1.07303869724274
13786.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,No,,,2.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,,,,,,,,No,No,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50005.0,Barack Obama,White,White,National questionnaire,White,Midwest,Female,White women,Non married women,Rural,Small Cities/Rural,Kansas,Telephone survey,,,,Version 3,,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,66436.0,0.0
