ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOTV12,GOTVOBAMA,GOTVROMN,GOVTDO10,HANDLEECON12,HANDLEENERGY12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSIA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFR12,UNFROBAM,UNFRROMN,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
27944.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 1,2.0,,,No,I strongly favor my candidate,,,,,,,,,,,,3.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,,,No,,,Good,Excellent or good,,,,45+,65+,Women without children,,,,,,,25.0,Barack Obama,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,50144.0,0.723907232284546
52756.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 2,2.0,,,No,I strongly favor my candidate,,,,,,,,,,,,1.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,,,No,,,Not so good,Not so good or poor,,,,45+,65+,Women without children,,,,,,,71.0,Barack Obama,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Low Density Rural,Rural,Rural,Upscale,52778.0,0.701196610927582
54582.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,Call 2,1.0,,,No,I like my candidate but with reservations,,,,,,,,,,,,2.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,,,No,,,Not so good,Not so good or poor,,,,45+,18-64,Men without children,,,,,,,2.0,Barack Obama,,White,White,State questionnaire,White,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Low Density Rural,Rural,Rural,Downscale,52345.0,0.533705532550812
75335.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 3,2.0,,,Yes,I dislike the other candidates,,,,,,,,,,,,1.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,,,No,,,Not so good,Not so good or poor,,,,18-44,18-64,Women with children,,,,,,,71.0,Barack Obama,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Low Density Rural,Rural,Rural,Upscale,52778.0,0.617670834064484
27858.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 1,1.0,,,No,I strongly favor my candidate,,,,,,,,,,,,3.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Not so good,Not so good or poor,,,,45+,65+,Women without children,,,,,,,64.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,50051.0,0.690789639949799
28514.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 1,1.0,,,No,I strongly favor my candidate,,,,,,,,,,,,3.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Not so good,Not so good or poor,,,,45+,65+,Women without children,,,,,,,64.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,50051.0,0.690789639949799
27069.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,,Call 1,4.0,,,Yes,I dislike the other candidates,,,,,,,,,,,,4.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Not so good,Not so good or poor,,,,18-44,18-64,Men with children,,,,,,,14.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,51014.0,0.691640257835388
52919.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Not complete,,Call 2,1.0,,,No,I dislike the other candidates,,,,,,,,,,,,2.0,,,,,Mitt Romney,Omit,,,,,,,,,,,,,Mitt Romney,,,No,,,Not so good,Not so good or poor,,,,45+,18-64,Men without children,,,,,,,111.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,52101.0,0.79718953371048
26505.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,Call 1,1.0,,,Yes,I like my candidate but with reservations,,,,,,,,,,,,2.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Omit,,,No,,,Not so good,Not so good or poor,,,,45+,18-64,Men with children,,,,,,,115.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,50440.0,0.581044912338257
75103.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 3,2.0,,,Yes,I strongly favor my candidate,,,,,,,,,,,,1.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Poor,Not so good or poor,,,,18-44,18-64,Women with children,,,,,,,71.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Low Density Rural,Rural,Rural,Upscale,52778.0,0.685854017734528
75061.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Not complete,,Call 3,4.0,,,No,I strongly favor my candidate,,,,,,,,,,,,4.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Poor,Not so good or poor,,,,45+,18-64,Men without children,,,,,,,61.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,51237.0,0.8637655377388
27531.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,Call 1,4.0,,,No,I strongly favor my candidate,,,,,,,,,,,,4.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Poor,Not so good or poor,,,,45+,18-64,Women without children,,,,,,,14.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,51014.0,0.614221811294556
53683.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 2,1.0,,,No,Omit,,,,,,,,,,,,2.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,,,No,,,Poor,Not so good or poor,,,,45+,65+,Women without children,,,,,,,111.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,52101.0,0.707956492900848
74554.0,Illegal,Illegal in all cases,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,Call 3,1.0,,,No,I strongly favor my candidate,Staying about the same,George W. Bush,Good and staying the same,Taxes,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,Health care,,No,All others,No,Excellent,Excellent or good,,,,18-44,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,111.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Non married women,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,52101.0,0.565473139286041
