ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHBERK,ETHHELLER,ETHNV12,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNV12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENNV12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,WEIGHT
54887.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,,Call 2,3.0,,,,I strongly favor my candidate,,,,,,,,,,,,,,,2.0,,,,,,Offered a chance to apply for legal status,,,,,,,,,,No,,,Not so good,Not so good or poor,,,,45+,18-64,,,,,,,,79.0,Barack Obama,,White,White,State questionnaire,White,West,,,,Shelley Berkley,Male,White men,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.481216490268707
76312.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Not complete,,Call 3,3.0,,,,I strongly favor my candidate,,,,,,,,,,,,,,,2.0,,,,,,Offered a chance to apply for legal status,,,,,,,,,,No,,,Not so good,Not so good or poor,,,,18-44,18-64,,,,,,,,79.0,Barack Obama,,Other,American Indian,State questionnaire,Other,West,,,,Dean Heller,Female,All other races,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.302734345197678
55303.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Not complete,,Call 2,3.0,,,,I like my candidate but with reservations,,,,,,,,,,,,,,,2.0,,,,,,Offered a chance to apply for legal status,,,,,,,,,,No,,,Not so good,Not so good or poor,,,,18-44,18-64,,,,,,,,79.0,Barack Obama,,Other,Asian,State questionnaire,Asian,West,,,,Dean Heller,Male,All other races,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.335935175418854
76204.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Not complete,,Call 3,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Shelley Berkley does or both do,Only Dean Heller does or both do,Both do,,,,2.0,,,,,,,,,,,,,,,Yes,No,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,,,,,,,79.0,Barack Obama,,Other,Other,State questionnaire,Other,West,,,,Shelley Berkley,Male,All other races,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.393225997686386
56179.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Not complete,,Call 2,3.0,No,No telephone service at home,,,,,,,,,,,Only Dean Heller does or neither does,Only Shelley Berkley does or neither does,Neither does,,,,2.0,,,,,,,,,,,,,,,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,,,,,,,79.0,None of these candidates,,Black,Black,State questionnaire,Black,West,,,,None of these candidates,Male,Black men,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.0676550343632698
55340.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,All others,All others,Not complete,,Call 2,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Dean Heller does or both do,Only Dean Heller does,,,,2.0,,,,,,,,,,,,,,,Yes,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,,,,,,,79.0,Mitt Romney,,Other,Asian,State questionnaire,Asian,West,,,,Shelley Berkley,Male,All other races,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.688564956188202
55177.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Not complete,,Call 2,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Dean Heller does or both do,Only Dean Heller does,,,,2.0,,,,,,,,,,,,,,,Yes,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,,,,,,,79.0,Mitt Romney,,White,White,State questionnaire,White,West,,,,Dean Heller,Male,White men,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.548050820827484
55134.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,,Call 2,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Dean Heller does or both do,Only Dean Heller does,,,,2.0,,,,,,,,,,,,,,,Yes,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,,,,,,,79.0,Mitt Romney,,White,White,State questionnaire,White,West,,,,Dean Heller,Female,White women,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.604401171207428
55092.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,Not complete,,Call 2,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Dean Heller does or both do,Only Dean Heller does,,,,2.0,,,,,,,,,,,,,,,Yes,Yes,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,,,,,,,79.0,Mitt Romney,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Dean Heller,Female,Latino women,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.604401171207428
76677.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Not complete,,Call 3,3.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Shelley Berkley does or neither does,Neither does,,,,2.0,,,,,,,,,,,,,,,Yes,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,18-44,18-64,,,,,,,,79.0,Mitt Romney,,White,White,State questionnaire,White,West,,,,Dean Heller,Male,White men,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.548050820827484
