ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AMND1MN,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMN12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENMN12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
13934.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,All others,All others,,,,Complete,,,4.0,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,1.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,No,,45+,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,50015.0,Barack Obama,Other,American Indian,National questionnaire,Other,Midwest,,Female,All other races,,Suburbs,Suburbs,Minnesota,Telephone survey,,,,Version 4,No,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,55110.0,0.0
14073.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,7.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,5.0,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,50034.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Minnesota,Telephone survey,,,,Version 5,No,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,56542.0,0.0
14071.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,2.0,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,1.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50005.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Telephone survey,,,,Version 5,No,,,,,,52240.0,0.0
13668.0,45-65,30-59,45+,45-59,50-64,50-59,,,,,,,Complete,,,8.0,,,,,,,,,5.0,,,,,,,,Omit,No,Yes,45+,18-64,Democrat,,,Democrat,,Conservative,50039.0,Barack Obama,,,National questionnaire,,Midwest,,Female,,Married women,Rural,Small Cities/Rural,Minnesota,Telephone survey,,,,Version 2,,,Extremely Low Density Rural,Rural,Rural,Very downscale,56345.0,0.0
13667.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Federal budget deficit,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50003.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Rural,Small Cities/Rural,Minnesota,Telephone survey,,,,Version 2,No,,Low Density Rural,Rural,Rural,Upscale,56082.0,0.0
13933.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,4.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,No,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50015.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Telephone survey,,,,Version 4,No,,High Density Urban,Urban,Urban Core,Upscale,55116.0,0.0
13932.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50003.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Telephone survey,,,,Version 4,Yes,,Suburb,Urban,Urban Core,Very upscale,55901.0,0.0
13802.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,Never,Never,Complete,Yes,,2.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,,,,,,No,Yes,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50006.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Minnesota,Telephone survey,,,,Version 3,No,White Born-again/Evangelical Christians,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,55124.0,0.0
14072.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,2.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,,2.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50006.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Telephone survey,,,,Version 5,No,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,55044.0,0.0
30693.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,More than once a week,Weekly,Complete,Yes,Call 1,1.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Worse today,4.0,Government should do more to solve problems,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Foreign policy,,No,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,8.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Minnesota,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,Yes,White Born-again/Evangelical Christians,Town,Rural,Rural,Downscale,56001.0,0.589268326759338
