ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVIN12,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,LUGARDON,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSIN12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENIN12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
13914.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,,6.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,,,,,,,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50026.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 4,No,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,47304.0,0.0
13913.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,6.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,5.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50029.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,,Rural,Small Cities/Rural,Indiana,,Telephone survey,,,,Version 4,Yes,,Low Density Rural,Rural,Rural,Downscale,47243.0,0.0
13912.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,5.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50021.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,,Telephone survey,,,,Version 4,Yes,,Suburb,Urban,Urban Core,Very downscale,46016.0,0.0
13910.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,3.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,,,,,,,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50011.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,,Telephone survey,,,,Version 4,,,Suburb,Urban,Urban Core,Very upscale,46825.0,0.0
13911.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,4.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50016.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Male,White men,,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 4,No,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,46041.0,0.0
14198.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,,8.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Worse today,5.0,,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Federal budget deficit,No,,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50039.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Indiana,,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,,Low Density Rural,Rural,Rural,Very downscale,47501.0,0.0
14199.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,,8.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Worse today,5.0,,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",The economy,No,,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50039.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Rural,Small Cities/Rural,Indiana,,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,,Low Density Rural,Rural,Rural,Downscale,47460.0,0.0
14201.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,,,9.0,,College graduate,College graduate,More than High school graduate,White college degree,,,Worse today,4.0,,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",The economy,No,,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50043.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,46142.0,0.0
14200.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,8.0,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,Worse today,5.0,,Government is doing too many things better left to businesses and individuals,,,,,,,The economy,,,No,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50039.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Non married women,Rural,Small Cities/Rural,Indiana,,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,,Low Density Rural,Rural,Rural,Upscale,47635.0,0.0
14197.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,Worse today,1.0,,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Health care,No,,Yes,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50000.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,46303.0,0.0
