ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AUTOBAIL12,AUTOHH,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LAIDOFF4,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMI12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENMI12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
11931.0,Illegal,Illegal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,Complete,No,,6.0,No,I strongly favor my candidate,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,,,,,,,,,,,,,No,All others,Yes,,,,,,45+,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,50028.0,Mitt Romney,,White,White,National questionnaire,White,Midwest,None,None,,Pete Hoekstra,Female,White women,Married women,Suburbs,Suburbs, Michigan,,Telephone survey,,,,,Version 3,White none,,All others,,,,No,All others,,Suburb,,Urban Perimeter,Downscale,49048.0,0.604993402957916
3854.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,No,Complete,,,6.0,No,I dislike the other candidates,Staying about the same,George W. Bush,Poor and staying the same,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,The economy,,No,All others,No,Not so good,Not so good or poor,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,Debbie Stabenow,Male,White men,Non married men,Suburbs,Suburbs, Michigan,,Telephone survey,,,,No,Version 2,,No,,Yes,All men,Working men,,,All others,Suburb,,Urban Perimeter,Downscale,49048.0,1.21154582500458
3852.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,No,Complete,,,6.0,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,Barack Obama,,,,,,,,,,Barack Obama,Health care,,No,All others,Yes,Good,Excellent or good,,,,45+,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,Midwest,,,,Debbie Stabenow,Male,White men,Married men,Suburbs,Suburbs, Michigan,,Telephone survey,,,,No,Version 2,,No,,No,All men,Non-working men,,,All others,Suburb,,Urban Perimeter,Downscale,49048.0,1.7661839723587
13401.0,,,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,,,Complete,,,6.0,Yes,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,4.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,No,All others,No,,,,,The middle class,45+,65+,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,50028.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The rich,Debbie Stabenow,Female,Black women,Non married women,Suburbs,Suburbs, Michigan,,Telephone survey,,,,No,Version 5,Non-white,No,,No,Mothers with no full time job,Non-working women,,,All others,Suburb,,Urban Perimeter,Downscale,49048.0,1.14035975933075
4034.0,Legal,Legal in most cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Approve,No,Complete,No,,6.0,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,Barack Obama,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,,White,White,State questionnaire,White,Midwest,None,None,The rich,Debbie Stabenow,Male,White men,,Suburbs,Suburbs, Michigan,Increase for all,Telephone survey,,,,No,Version 3,White none,No,All others,No,,Non-working men,No,All others,All others,Suburb,,Urban Perimeter,Downscale,49048.0,1.15071880817413
12668.0,,,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,,,Complete,,,6.0,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,4.0,,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,,,No,,,,,,,,45+,65+,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,50028.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,,,,Debbie Stabenow,Male,Black men,,Suburbs,Suburbs, Michigan,"Increase only on income over $250,000",Telephone survey,,,,,Version 4,,No,,,,,,,,Suburb,,Urban Perimeter,Downscale,49048.0,0.692142307758331
4028.0,Legal,Legal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Approve,No,Complete,No,,6.0,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50028.0,Barack Obama,,White,White,State questionnaire,White,Midwest,Something else,Other,Omit,Debbie Stabenow,Female,White women,,Suburbs,Suburbs, Michigan,"Increase only on income over $250,000",Telephone survey,,,,No,Version 3,White something else,Yes,All others,No,,Non-working women,No,All others,All others,Suburb,,Urban Perimeter,Downscale,49048.0,0.357941836118698
4031.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Disapprove,No,Complete,Yes,,6.0,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,Mitt Romney,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50028.0,Mitt Romney,,White,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The middle class,Pete Hoekstra,Female,White women,,Suburbs,Suburbs, Michigan,Omit,Telephone survey,,,,No,Version 3,White Protestants,Yes,White Born-again/Evangelical Christians,No,,Non-working women,Yes,White Protestant evangelical,All others,Suburb,,Urban Perimeter,Downscale,49048.0,1.2930428981781
3685.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,Complete,,,6.0,,,,,,Rising prices,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,About the same,4.0,Omit,,,Expand it,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,Health care,,No,,No,,,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,50028.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,Debbie Stabenow,Male,Black men,Non married men,Suburbs,Suburbs, Michigan,,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,No,Version 1,,No,,,,,,,,Suburb,,Urban Perimeter,Downscale,49048.0,1.05956149101257
3688.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,Complete,,,6.0,,,,,,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,About the same,4.0,Government should do more to solve problems,,,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,The economy,,No,,No,,,,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50028.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,Midwest,,,,Debbie Stabenow,Female,White women,Non married women,Suburbs,Suburbs, Michigan,,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,,Yes,,,,,,,,Suburb,,Urban Perimeter,Downscale,49048.0,0.437779605388641
23955.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,Not complete,,Call 1,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,,45+,18-64,,,,,,,,18.0,Mitt Romney,,White,White,National questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Michigan,,Election day exit poll,,,,,Version 1,,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,48624.0,0.746127128601074
67049.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,Not complete,,Call 3,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,No,,,,,,18-44,18-64,,,,,,,,20.0,Mitt Romney,,White,White,National questionnaire,White,Midwest,,,,Pete Hoekstra,Male,White men,Non married men,Rural,Small Cities/Rural, Michigan,,Election day exit poll,,,,,Version 5,,,,Yes,,Working men,,,All others,Town,Rural,Rural,Upscale,49684.0,0.908655405044556
66668.0,Illegal,Illegal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,Complete,Yes,Call 3,6.0,Yes,Omit,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,No,Married with children,Yes,,,,,,45+,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,2.0,Mitt Romney,,White,White,National questionnaire,White,Midwest,Catholic,Catholic,,Pete Hoekstra,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Michigan,,Election day exit poll,,,,,Version 3,White Catholics,Yes,White Born-again/Evangelical Christians,,,,No,All others,,Low Density Rural,Rural,Rural,Downscale,49010.0,0.6515873670578
