ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AUTOBAIL12,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FAVRYAN2,FINSIT,GEOCODE,GOVTDO10,GUNOWNER12,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSWI12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENWI12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WALKER2,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
51933.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,,Not complete,,Call 2,2.0,,I strongly favor my candidate,,,,,,,,,,,Omit,,3.0,,,,Omit,,,,,,,,,,Omit,,Yes,,,Omit,Omit,,,,18-44,18-64,,,,,,,,11.0,Barack Obama,,Other,White,State questionnaire,Hispanic/Latino,Midwest,,,,,Male,Latino men,,Suburbs,Suburbs,Wisconsin,,Election day exit poll,,,,,Version 2,,,,,,,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,53718.0,0.64091944694519
50592.0,,,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,,Complete,,Call 2,4.0,,Omit,Getting better,Omit,Getting better,Taxes,,,,,,,Omit,,1.0,,,,Barack Obama,Barack Obama,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",Omit,Omit,,,No,Good,Excellent or good,,,,45+,65+,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,57.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Wisconsin,,Election day exit poll,,,,,Version 2,,,No,,,,High Density Urban,Urban,Urban Core,Very downscale,53218.0,0.959798038005829
74587.0,,,18-29,18-29,18-44,18-29,18-24,18-24,,,,,Complete,,Call 3,2.0,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,,,,Unfavorable,,3.0,,,,Barack Obama,Barack Obama,,,,,,,,,Barack Obama,The economy,,,No,Not so good,Not so good or poor,,,,18-44,18-64,,Republican,,,Republican,,,88.0,Barack Obama,Cares about people like me,,,State questionnaire,,Midwest,,,,,Female,,Non married women,Rural,Small Cities/Rural,Wisconsin,,Election day exit poll,,,,,Version 2,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,53588.0,0.811596870422363
9676.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,Complete,,,5.0,,I strongly favor my candidate,Staying about the same,George W. Bush,Poor and staying the same,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Omit,,2.0,,,,Omit,Barack Obama,,,,,,,,,Barack Obama,The economy,No,,No,Not so good,Not so good or poor,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50021.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Non married women,Suburbs,Suburbs,Wisconsin,,Telephone survey,,,,,Version 2,,,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,53022.0,5.89021682739258
9669.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,,Complete,,,5.0,,I strongly favor my candidate,Staying about the same,George W. Bush,Poor and staying the same,Rising prices,College graduate,College graduate,More than High school graduate,Non white college degree,,,Omit,,1.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,No,,Yes,Not so good,Not so good or poor,,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,50020.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Married women,Suburbs,Suburbs,Wisconsin,,Telephone survey,,,,,Version 2,,,No,,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,53220.0,2.25845384597778
51830.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,All others,All others,,Complete,,Call 2,2.0,,I strongly favor my candidate,Staying about the same,George W. Bush,Poor and staying the same,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,,,Omit,,3.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,No,,No,Poor,Not so good or poor,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Moderate,81.0,Barack Obama,Cares about people like me,Other,Other,State questionnaire,Other,Midwest,,,,,Female,All other races,Non married women,Suburbs,Suburbs,Wisconsin,,Election day exit poll,,,,,Version 2,,,No,,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,53534.0,0.758084893226624
51831.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,All others,All others,,Complete,,Call 2,2.0,,I strongly favor my candidate,Staying about the same,George W. Bush,Poor and staying the same,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,,,Omit,,3.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,No,,No,Poor,Not so good or poor,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Moderate,81.0,Barack Obama,Cares about people like me,Other,Other,State questionnaire,Other,Midwest,,,,,Female,All other races,Non married women,Suburbs,Suburbs,Wisconsin,,Election day exit poll,,,,,Version 2,,,No,,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,53534.0,0.758084893226624
9651.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,,Complete,,,4.0,,I dislike the other candidates,Getting better,George W. Bush,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Omit,,1.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,No,,No,Poor,Not so good or poor,,,,18-44,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Conservative,50015.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Wisconsin,,Telephone survey,,,,,Version 2,,,No,,,,High Density Urban,Urban,Urban Core,Downscale,53209.0,4.28513240814209
71865.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,Complete,,Call 3,7.0,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,Unfavorable,,5.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Health care,No,,No,Not so good,Not so good or poor,,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,86.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Non married men,Suburbs,Suburbs,Wisconsin,,Election day exit poll,,,,,Version 2,,,Yes,,,,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,54017.0,0.642140865325928
27187.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,Complete,,Call 1,4.0,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Omit,,1.0,,,,Barack Obama,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Omit,No,,No,Excellent,Excellent or good,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,57.0,Barack Obama,Omit,Black,Black,State questionnaire,Black,Midwest,,,,,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",Wisconsin,,Election day exit poll,,,,,Version 2,,,No,,,,High Density Urban,Urban,Urban Core,Very downscale,53218.0,1.03151297569275
