ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,GEOCODE,GOVTDO10,GOVVT12,HOUVT12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSVT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENVT12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,VTHEALTH,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
14007.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,1.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,4.0,,,Mark Donka,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50003.0,Mitt Romney,White,White,National questionnaire,White,East,,Female,White women,,Rural,Small Cities/Rural, Vermont,Telephone survey,,,,Version 4,,No,Extremely Low Density Rural,Rural,Rural,Downscale,5733.0,5.60874546806645e-08
59459.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,Call 3,1.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,3.0,,Emily Peyton,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,49.0,Other,White,White,National questionnaire,White,East,Bernie Sanders,,,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,Yes,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.6049764752388
32312.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Randy Brock,Mark Donka,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,49.0,Other,White,White,National questionnaire,White,East,John MacGovern,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.682921409606934
63539.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,All others,All others,Complete,Call 3,1.0,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,No,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Liberal,49.0,Barack Obama,Other,Other,National questionnaire,Other,East,Bernie Sanders,Female,All other races,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
31575.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
31074.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,Yes,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
45643.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,Call 2,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.702060341835022
32785.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,Call 1,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.702060341835022
59273.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 3,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
63100.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,Call 3,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
