ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CHILD12,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,GEOCODE,GOVTDO10,HANDLEECON12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMD12,QRACE3,QRACEAI,QTYPE,QUES6MD,RACE,REGION,SENMD12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
68721.0,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Not complete,Call 3,7.0,,,,,,,,,2.0,,,,,,,,,,,No,,,18-44,18-64,,,,,,,,63.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Rob Sobhani,Male,Black men,,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 4,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,0.878075301647186
68129.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,,,Not complete,Call 3,7.0,,,,,,,,,2.0,,,,,,,,,,,Yes,,No,18-44,18-64,,,,,,,,63.0,Barack Obama,Other,White,National questionnaire,Against,Hispanic/Latino,East,Rob Sobhani,Male,Latino men,Non married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 2,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,1.12452161312103
17904.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,Not complete,Call 1,1.0,,,,,,,,,4.0,,,,,,,,,,,No,,Yes,45+,18-64,,,,,,,,60.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 2,,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,21132.0,1.03880703449249
67044.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,Not complete,Call 3,7.0,,,,,,,,,2.0,,,,,,,,,,,,,,45+,65+,,,,,,,,63.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 4,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,1.14578747749329
18076.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,Not complete,Call 1,1.0,,,,,,,,,4.0,,,,,,,,,,,No,,Yes,45+,18-64,,,,,,,,60.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 2,,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,21132.0,1.12987375259399
48522.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,,,Not complete,Call 2,8.0,,,,,,,,,3.0,,,,,,,,,,,Yes,,Yes,45+,18-64,,,,,,,,82.0,Mitt Romney,Other,Hispanic/Latino,National questionnaire,Against,Hispanic/Latino,East,Daniel Bongino,Female,Latino women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 2,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,20904.0,1.62595891952515
44612.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,Not complete,Call 2,1.0,,,,,,,,,4.0,,,,,,,,,,,No,,Yes,45+,18-64,,,,,,,,60.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Male,White men,Married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 2,,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,21132.0,1.21656179428101
17578.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,Not complete,Call 1,1.0,,,,,,,,,4.0,,,,,,,,,,,No,,Yes,45+,18-64,,,,,,,,60.0,Mitt Romney,White,White,National questionnaire,For,White,East,Rob Sobhani,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 1,,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,21132.0,0.752408504486084
71307.0,18-29,18-29,18-44,18-29,25-29,25-29,,,,Once a week,Weekly,Complete,Call 3,5.0,Yes,Omit,Some college/assoc. degree,No college degree,More than High school graduate,,,,4.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,,,,No,Married with children,Yes,18-44,18-64,Women with children,Republican,,,Republican,,Moderate,105.0,Mitt Romney,,,National questionnaire,,,East,Daniel Bongino,Female,,Married women,Rural,Small Cities/Rural, Maryland,Election day exit poll,,,,Version 3,,Low Density Rural,Rural,Rural,Downscale,20680.0,0.876733183860779
43521.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,Call 2,7.0,No,Omit,High school graduate,No college degree,High school graduate or less,White no college degree,,,2.0,,,,,,,,,,,No,All others,Yes,45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,63.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,1.14578747749329
