ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,DESCRIBP12,DESCRIBS10,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHCT12,ETHMCMA,ETHMURPHY,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,MCMAWREST,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSCT12,PTYIMPT,PTYIMPT2,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,SENCT12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,WORK,WORKPARENT,WORKSEX,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
37981.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 2,2.0,No,I like my candidate but with reservations,,Staying about the same,Poor and staying the same,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Omit,Omit,Omit,,,,3.0,,Omit,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Omit,The economy,No,All others,,,Not so good,Not so good or poor,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,22.0,Barack Obama,,Omit,,White,White,State questionnaire,White,East,,,Chris Murphy,Female,White women,,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,No,"Women, no kids",Non-working women,All others,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,6333.0,0.705524742603302
37077.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 2,1.0,No,I like my candidate but with reservations,,Staying about the same,Poor and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,2.0,,Omit,,,,,,,Omit,Omit,,All others,Yes,,Poor,Not so good or poor,45+,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,33.0,Mitt Romney,,Omit,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,,,,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,6033.0,1.06175792217255
37677.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 2,5.0,No,I strongly favor my candidate,,Omit,Omit,Taxes,Postgraduate study,College graduate,More than High school graduate,White college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,4.0,,Mitt Romney,,,,,,,Mitt Romney,Federal budget deficit,,All others,No,,Omit,Omit,45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,96.0,Mitt Romney,,Omit,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Non married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,No,"Women, no kids",Non-working women,All others,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,6708.0,0.960111081600189
37676.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 2,5.0,No,I strongly favor my candidate,,Omit,Omit,Taxes,Postgraduate study,College graduate,More than High school graduate,White college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,4.0,,Mitt Romney,,,,,,,Mitt Romney,Federal budget deficit,,All others,No,,Omit,Omit,45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,96.0,Mitt Romney,,Omit,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Non married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,No,"Women, no kids",Non-working women,All others,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,6708.0,0.960111081600189
35933.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,Complete,Call 2,1.0,No,I dislike the other candidates,,Staying about the same,Good and staying the same,Taxes,High school graduate,No college degree,High school graduate or less,Non white no college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,2.0,,Barack Obama,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Foreign policy,No,All others,No,,Good,Excellent or good,45+,65+,Women without children,Republican,Black non-Democrat,All Republicans,Republican,All others,Conservative,112.0,Barack Obama,Not at all important,Not too important or not at all important,,Black,Black,State questionnaire,Black,East,,,Linda McMahon,Female,Black women,Non married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,No,"Women, no kids",Non-working women,All others,Suburb,60s Suburbs,Urban Perimeter,Upscale,6095.0,1.10514044761658
35583.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Complete,Call 2,2.0,No,I like my candidate but with reservations,,Getting better,Getting better,Taxes,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Only Linda McMahon does,Only Linda McMahon does or both do,Only Linda McMahon does or neither do,,,,3.0,,Mitt Romney,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and non white",Mitt Romney,The economy,No,All others,Yes,,Good,Excellent or good,45+,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,101.0,Mitt Romney,Not at all important,Not too important or not at all important,,Other,Asian,State questionnaire,Asian,East,,,Linda McMahon,Male,All other races,Married men,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,Yes,All men,Working men,All others,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,6385.0,1.11671185493469
61679.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 3,5.0,No,I like my candidate but with reservations,,Getting better,Getting better,Unemployment,College graduate,College graduate,More than High school graduate,White college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,2.0,,Barack Obama,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Health care,No,All others,Yes,,Good,Excellent or good,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,10.0,Barack Obama,Not at all important,Not too important or not at all important,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,Yes,"Women, no kids",Working women,Working women,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6019.0,0.911688983440399
15502.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,5.0,Yes,I dislike the other candidates,,Getting worse,Worse,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Neither does,Only Chris Murphy does or neither do,Only Linda McMahon does or neither do,,,,4.0,,Omit,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Omit,Federal budget deficit,No,Married with children,Yes,,Not so good,Not so good or poor,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,67.0,Other,Not at all important,Not too important or not at all important,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,Yes,Working mom,Working women,Working women,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6470.0,0.747788190841675
16304.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,3.0,No,I like my candidate but with reservations,,Getting better,Getting better,Taxes,College graduate,College graduate,More than High school graduate,White college degree,Only Chris Murphy does,Only Chris Murphy does or neither do,Only Chris Murphy does or both do,,,,1.0,,Barack Obama,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,All others,,,Not so good,Not so good or poor,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,54.0,Barack Obama,Not at all important,Not too important or not at all important,,White,White,State questionnaire,White,East,,,Chris Murphy,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Connecticut,Election day exit poll,,,,Version 2,,No,Yes,All men,Working men,All others,Suburb,Urban,Urban Core,Upscale,6460.0,1.02310812473297
61248.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 3,1.0,Yes,I strongly favor my candidate,,Getting worse,Worse,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Both do,Only Linda McMahon does or both do,Only Chris Murphy does or both do,,,,2.0,,Barack Obama,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Barack Obama,The economy,No,All others,No,,Not so good,Not so good or poor,45+,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,31.0,Barack Obama,Not at all important,Not too important or not at all important,,White,White,State questionnaire,White,East,,,Linda McMahon,Female,White women,Non married women,Suburbs,Suburbs,Connecticut,Election day exit poll,,,,Version 2,,No,No,Mothers with no full time job,Non-working women,All others,Suburb,70s Suburbs,Urban Perimeter,Very upscale,6033.0,0.542826056480408
