ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AMD64CO,BACKSIDE,BRNAGAIN,CALL,CDNUM,COGUNLAW,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSCO12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
264.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Yes,Complete,No,,3.0,About right,I dislike the other candidates,Getting worse,Omit,Worse,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Deported to the country they came from,,,,,,,Omit,The economy,No,Yes,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50011.0,,Has a vision for the future,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,English,Colorado,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,All others,Town,Rural,Rural,Upscale,81507.0,0.0805864334106445
10322.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Yes,Complete,,,3.0,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Better today,4.0,Omit,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,Omit,No,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50011.0,,Has a vision for the future,White,White,National questionnaire,White,West,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,English,Colorado,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,,Extremely Low Density Rural,Rural,Rural,Downscale,81401.0,0.122514806687832
13275.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Yes,Complete,,,2.0,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,Yes,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,50006.0,,,White,White,National questionnaire,White,West,Female,White women,Married women,Rural,Small Cities/Rural,English,Colorado,Telephone survey,,,,Version 5,Yes,,Extremely Low Density Rural,Rural,Rural,Upscale,80421.0,0.303018003702164
923.0,45-65,60+,45+,60+,50-64,60-64,,,,Yes,Complete,No,,7.0,Too strong,I strongly favor my candidate,Getting worse,Omit,Worse,Rising prices,College graduate,College graduate,More than High school graduate,,Unfavorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Deported to the country they came from,,,,,,,Omit,Federal budget deficit,No,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,,,Independent,,Moderate,50024.0,,Omit,,,State questionnaire,,West,Male,,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,80020.0,0.0119532756507397
454.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Yes,Complete,No,,4.0,About right,I dislike the other candidates,Getting worse,George W. Bush,Worse,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Omit,Omit,Worse today,2.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal some of it,Repeal some of it or repeal all of it,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Omit,Health care,No,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50013.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,English,Colorado,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,80102.0,0.0295324418693781
10312.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Yes,Complete,,,1.0,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,About the same,2.0,Government is doing too many things better left to businesses and individuals,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,The economy,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50001.0,,Is a strong leader,White,White,National questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,English,Colorado,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,80127.0,0.120741166174412
117.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Yes,Complete,Yes,,1.0,Omit,I dislike the other candidates,Getting better,George W. Bush,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,Omit,Omit,Omit,Deported to the country they came from,,,,,,,Barack Obama,The economy,No,No,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50001.0,,Omit,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,English,Colorado,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,,White Born-again/Evangelical Christians,Suburb,80s Suburbs,Urban Perimeter,Very upscale,80127.0,0.014766220934689
201.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Yes,Complete,No,,2.0,Omit,I like my candidate but with reservations,Getting better,George W. Bush,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Worse today,1.0,Omit,Omit,Repeal some of it,Repeal some of it or repeal all of it,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Omit,Health care,No,No,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50004.0,,Has a vision for the future,White,White,State questionnaire,White,West,Male,White men,Non married men,Suburbs,Suburbs,English,Colorado,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,All others,Suburb,80s Suburbs,Urban Perimeter,Very upscale,80027.0,0.00606109108775854
455.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Yes,Complete,No,,4.0,Too weak,I like my candidate but with reservations,Staying about the same,Barack Obama,Poor and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Unfavorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal some of it,Repeal some of it or repeal all of it,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50013.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,English,Colorado,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,All others,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,80102.0,0.013623408973217
889.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,Yes,Complete,Yes,,7.0,Omit,I like my candidate but with reservations,Getting worse,George W. Bush,Worse,The housing market,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Unfavorable,About the same,2.0,Government should do more to solve problems,Barack Obama,Omit,Omit,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Foreign policy,Yes,Yes,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,,50025.0,,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Female,Latino women,Married women,Suburbs,Suburbs,English,Colorado,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,All others,High Density Urban,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80233.0,0.0500290356576443
