ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,CALL,CDNUM,CHILD12,CONTROLSEN,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSME12,QLT12,QRACE3,QRACEAI,QTYPE,QUES1ME,RACE,REGION,REL5,RELIGN10,SENME12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
68305.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,Call 3,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,No,,,,,45+,18-64,,,,,,,,89.0,,,White,White,National questionnaire,No,White,East,,,,Male,White men,,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 4,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.6761634349823
45888.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,,,,45+,18-64,,,,,,,,13.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Cynthia Dill,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 1,,,Town,Rural,Rural,Upscale,4401.0,0.755967140197754
30446.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,Call 1,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,No,,Yes,,,45+,18-64,,,,,,,,89.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Cynthia Dill,Female,White women,Married women,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 2,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.1367849111557
73974.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,Call 3,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,13.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Angus King,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 4,,,Town,Rural,Rural,Upscale,4401.0,1.13629066944122
30391.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Not complete,Call 1,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,No,,Yes,,,45+,18-64,,,,,,,,89.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Angus King,Male,White men,Married men,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.59097695350647
74569.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Not complete,Call 3,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,No,,,45+,18-64,,,,,,,,13.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Angus King,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 1,,,Town,Rural,Rural,Upscale,4401.0,1.0985187292099
46036.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,Yes,,Yes,,,45+,65+,,,,,,,,13.0,Barack Obama,,Other,White,National questionnaire,Yes,Hispanic/Latino,East,,,Angus King,Male,Latino men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 1,,,Town,Rural,Rural,Upscale,4401.0,1.0985187292099
45699.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,Call 2,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,No,,No,,,18-44,18-64,,,,,,,,89.0,Barack Obama,,White,White,National questionnaire,No,White,East,,,Charles Summers,Female,White women,Non married women,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 5,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.91242146492004
46329.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,13.0,Barack Obama,,White,White,National questionnaire,No,White,East,,,Angus King,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 4,,,Town,Rural,Rural,Upscale,4401.0,0.957335770130157
31894.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,Call 1,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,,,,45+,18-64,,,,,,,,13.0,Mitt Romney,,White,White,National questionnaire,Yes,White,East,,,Charles Summers,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 4,,,Town,Rural,Rural,Upscale,4401.0,1.04573941230774
46172.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,Yes,,Yes,,,18-44,18-64,,,,,,,,13.0,Mitt Romney,,Other,Black,National questionnaire,No,Hispanic/Latino,East,,,Charles Summers,Female,Latino women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 2,,,Town,Rural,Rural,Upscale,4401.0,0.746852457523346
46537.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 2,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,No,,No,,,18-44,18-64,,,,,,,,13.0,Mitt Romney,,White,White,National questionnaire,No,White,East,,,Charles Summers,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 2,,,Town,Rural,Rural,Upscale,4401.0,1.0943009853363
30594.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 1,1.0,,,I strongly favor my candidate,,,,,,,,,,,1.0,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,89.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Angus King,Male,White men,,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 3,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.52296662330627
30595.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 1,1.0,,,I strongly favor my candidate,,,,,,,,,,,1.0,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,89.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,,,Angus King,Male,White men,,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 3,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.52296662330627
68855.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,Call 3,1.0,,,I strongly favor my candidate,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,45+,18-64,,,,,,,,89.0,Mitt Romney,,White,White,National questionnaire,Yes,White,East,,,Charles Summers,Male,White men,,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 3,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.44140720367432
32113.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 1,2.0,,,I strongly favor my candidate,,,,,,,,,,,2.0,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,13.0,Mitt Romney,,White,White,National questionnaire,No,White,East,,,Charles Summers,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 3,,,Town,Rural,Rural,Upscale,4401.0,1.0943009853363
74374.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Protestant/Attend weekly,Complete,Call 3,2.0,Yes,,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,,,45+,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,13.0,Barack Obama,,White,White,National questionnaire,Yes,White,East,Protestant/Other Non-Catholic Christian,Protestant,Cynthia Dill,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Maine,Election day exit poll,,,,Version 3,White Protestants,No,Town,Rural,Rural,Upscale,4401.0,0.755967140197754
68483.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Protestant/Attend weekly,Complete,Call 3,1.0,Yes,,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,,,45+,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,89.0,Barack Obama,,White,White,National questionnaire,No,White,East,Protestant/Other Non-Catholic Christian,Protestant,Charles Summers,Female,White women,Married women,Suburbs,Suburbs,Maine,Election day exit poll,,,,Version 3,White Protestants,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,4074.0,1.76981604099274
