ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AMD1FL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CUBAN3,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSFL12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENFL12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
42354.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,Complete,,Call 2,5.0,,Omit,No,No,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,,All others,Yes,,,,,The rich,45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,95.0,Mitt Romney,,White,White,National questionnaire,White,South,Something else,Other,The middle class,Bill Nelson,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,,Election day exit poll,,,,Version 5,White something else,Yes,,No,Non-working men,,,All others,Low Density Rural,Rural,Rural,Very downscale,32177.0,0.467195779085159
62925.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Yes,Complete,,Call 3,24.0,,Omit,No,"Yes, Cuban",,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,5.0,,,,,,,,,,,,,,,,,,All others,No,,,,,The middle class,45+,65+,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Conservative,18.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,South,Catholic,Catholic,The rich,Bill Nelson,Male,Latino men,Non married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,No,Non-working men,,,All others,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Upscale,33160.0,0.566864490509033
20054.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,No,Complete,,Call 1,5.0,Yes,Only cell phone service,Yes,No,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,No,Married with children,Yes,,,,,The middle class,18-44,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,95.0,Mitt Romney,,White,White,National questionnaire,White,South,Catholic,Catholic,The middle class,Bill Nelson,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,,Election day exit poll,,,,Version 5,White Catholics,No,,Yes,Working men,,,All others,Low Density Rural,Rural,Rural,Very downscale,32177.0,0.763511657714844
20230.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Yes,Complete,,Call 1,5.0,Yes,Only cell phone service,No,No,,,,,,,,,,Unfavorable,Favorable,,1.0,,,,,,,,,,,,,,,,,No,All others,Yes,,,,,The poor,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,95.0,Mitt Romney,,White,White,National questionnaire,White,South,None,None,The middle class,Connie Mack,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,,Election day exit poll,,,,Version 5,White none,,,Yes,Working men,,,All others,Low Density Rural,Rural,Rural,Very downscale,32177.0,0.701893508434296
19951.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,No,Complete,,Call 1,5.0,Yes,Only cell phone service,No,No,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,The poor,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,95.0,Mitt Romney,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,Connie Mack,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,,Election day exit poll,,,,Version 5,White Protestants,Yes,,Yes,Working men,,,All others,Low Density Rural,Rural,Rural,Very downscale,32177.0,0.887251496315002
22403.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Yes,Complete,,Call 1,12.0,Yes,Only cell phone service,Yes,No,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,The middle class,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,83.0,Barack Obama,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The rich,Connie Mack,Male,White men,Non married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,White Protestants,Yes,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,33542.0,0.524289309978485
13341.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,Complete,,,16.0,Yes,Only cell phone service,Yes,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,4.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,No,,,,,The poor,45+,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50078.0,Mitt Romney,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,Connie Mack,Male,White men,Non married men,Suburbs,Suburbs,English,Florida,,Telephone survey,,,,Version 5,White Protestants,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,34221.0,2.66864919662476
20838.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,No,Complete,,Call 1,18.0,Yes,Only cell phone service,No,No,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,4.0,,,,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,,,No,All others,No,,,,,Omit,45+,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,101.0,Mitt Romney,,White,White,National questionnaire,White,South,Jewish,Jewish,Omit,Connie Mack,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Jewish,No,,Yes,Working men,,,All others,Suburb,Urban,Urban Core,Downscale,34984.0,0.652162253856659
40330.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,No,Complete,,Call 2,18.0,Yes,Only cell phone service,No,No,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,4.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,The middle class,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,101.0,Barack Obama,,White,White,National questionnaire,White,South,None,None,The rich,Did not vote,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White none,Yes,,No,Non-working men,,,All others,Suburb,Urban,Urban Core,Downscale,34984.0,0.707711040973663
20908.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,No,Complete,,Call 1,18.0,Yes,Only cell phone service,No,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,4.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,Yes,,,,,The middle class,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,101.0,Barack Obama,,White,White,National questionnaire,White,South,Catholic,Catholic,The rich,Bill Nelson,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Catholics,No,,No,Non-working men,,,All others,Suburb,Urban,Urban Core,Downscale,34984.0,0.655626952648163
60621.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Yes,Complete,,Call 3,18.0,Yes,Only cell phone service,No,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,4.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,,No,All others,No,,,,,The poor,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,101.0,Mitt Romney,,White,White,National questionnaire,White,South,Catholic,Catholic,The poor,,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Catholics,No,,Yes,Working men,,,All others,Suburb,Urban,Urban Core,Downscale,34984.0,0.71414440870285
13368.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,Latino 30-44,Latino 30-44,No,Complete,,,27.0,Yes,Only cell phone service,Yes,"Yes, Cuban",,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,5.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,Married with children,Yes,,,,,The middle class,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,50134.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,South,None,None,The rich,Bill Nelson,Male,Latino men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Telephone survey,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,Extremely High Density Urban,Urban,Urban Core,Downscale,33145.0,3.35007786750793
39977.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Yes,Complete,,Call 2,6.0,Yes,Only cell phone service,Yes,No,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,,2.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,No,,,,,The poor,45+,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,111.0,Mitt Romney,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,Connie Mack,Male,White men,Non married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,White Protestants,No,,No,Non-working men,,,All others,Low Density Rural,,High-Growth Suburban Perimeter,Upscale,32128.0,0.69601845741272
39700.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Yes,Complete,,Call 2,26.0,Yes,Only cell phone service,Yes,No,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,5.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,Married with children,Yes,,,,,The middle class,18-44,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,29.0,Barack Obama,,Black,Black,National questionnaire,Black,South,Protestant/Other Non-Catholic Christian,Other christian,The rich,Bill Nelson,Male,Black men,Married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,33177.0,0.444280207157135
38374.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,No,Complete,,Call 2,26.0,Yes,Only cell phone service,Yes,"Yes, Cuban",,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,5.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,,,No,All others,No,,,,,The middle class,45+,18-64,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,29.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,South,Catholic,Catholic,The rich,Bill Nelson,Male,Latino men,Non married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,33177.0,0.709366619586945
17551.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,Complete,,Call 1,24.0,Yes,Only cell phone service,No,"Yes, Cuban",,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Unfavorable,Favorable,,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,,No,All others,Yes,,,,,Omit,45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,18.0,Mitt Romney,,Other,White,National questionnaire,Hispanic/Latino,South,Catholic,Catholic,The middle class,Connie Mack,Male,Latino men,Married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Upscale,33160.0,1.04330563545227
41753.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,No,Complete,,Call 2,5.0,Yes,Only cell phone service,No,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,1.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,No,,,,,The middle class,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,32.0,Barack Obama,,White,White,National questionnaire,White,South,Catholic,Catholic,The rich,Bill Nelson,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Catholics,No,,Yes,Working men,,,All others,Suburb,Urban,Urban Core,Upscale,32207.0,0.607537806034088
58496.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,No,Complete,,Call 3,5.0,Yes,Only cell phone service,No,No,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,The middle class,18-44,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,32.0,Barack Obama,,White,White,National questionnaire,White,South,None,None,The rich,Bill Nelson,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White none,Yes,,No,Non-working men,,,All others,Suburb,Urban,Urban Core,Upscale,32207.0,0.567797720432281
59369.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Yes,Complete,,Call 3,15.0,Yes,Only cell phone service,No,No,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,,2.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,No,,,,,The rich,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,89.0,Mitt Romney,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The middle class,Bill Nelson,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Protestants,No,,Yes,Working men,,,All others,Suburb,Urban,Urban Core,Upscale,33809.0,0.677836418151855
40967.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Yes,Complete,,Call 2,15.0,Yes,Only cell phone service,Yes,No,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Omit,,2.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,,No,Married with children,Yes,,,,,The poor,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,89.0,Barack Obama,,White,White,National questionnaire,White,South,Something else,Other,The middle class,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White something else,No,,Yes,Working men,,,All others,Suburb,Urban,Urban Core,Upscale,33809.0,0.993285834789276
19777.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,No,Complete,,Call 1,13.0,Yes,Only cell phone service,No,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,3.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,Omit,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,87.0,Barack Obama,,White,White,National questionnaire,White,South,Catholic,Catholic,The rich,Bill Nelson,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Catholics,Yes,,Yes,Working men,,,All others,High Density Urban,Urban,Urban Core,Upscale,33764.0,0.611558616161346
21086.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Yes,Complete,,Call 1,13.0,Yes,Only cell phone service,Yes,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,No,All others,No,,,,,Omit,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,87.0,Barack Obama,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The rich,Bill Nelson,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,White Protestants,Yes,,Yes,Working men,,,All others,High Density Urban,Urban,Urban Core,Upscale,33764.0,0.473772883415222
20771.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Yes,Complete,,Call 1,13.0,Yes,Only cell phone service,Yes,"Yes, other Hispanic",,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,,No,Married with children,Yes,,,,,Omit,18-44,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,87.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,South,Catholic,Catholic,The rich,Bill Nelson,Male,Latino men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,High Density Urban,Urban,Urban Core,Upscale,33764.0,0.473772883415222
64034.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Yes,Complete,,Call 3,18.0,Yes,Only cell phone service,No,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,Yes,,,,,The poor,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,,73.0,Mitt Romney,,White,White,National questionnaire,White,South,None,None,The rich,Bill Nelson,Male,White men,Married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,White none,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,33410.0,0.62658166885376
62057.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,Complete,,Call 3,18.0,Yes,Only cell phone service,No,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,All others,Yes,,,,,The poor,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,73.0,Mitt Romney,,White,White,National questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The poor,Connie Mack,Male,White men,Married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,White Protestants,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,33410.0,0.946659803390503
13327.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,All others,All others,,Complete,,,9.0,Yes,Only cell phone service,Yes,No,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,2.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,Married with children,Yes,,,,,The middle class,18-44,18-64,Men with children,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,50041.0,Barack Obama,,Other,Other,National questionnaire,Other,South,None,None,The rich,Bill Nelson,Male,All other races,Married men,Suburbs,Suburbs,English,Florida,,Telephone survey,,,,Version 5,Non-white,No,,Yes,Working men,,,All others,Suburb,80s Suburbs,Urban Perimeter,Very upscale,32828.0,2.94207406044006
61763.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,,Complete,,Call 3,15.0,Yes,Only cell phone service,No,"Yes, other Hispanic",,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,2.0,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,All others,No,,,,,The middle class,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,91.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,South,,,The rich,Bill Nelson,Male,Latino men,Non married men,Suburbs,Suburbs,English,Florida,,Election day exit poll,,,,Version 5,Non-white,No,,No,Non-working men,,,All others,Suburb,80s Suburbs,Urban Perimeter,Very upscale,33813.0,0.456075847148895
