ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUNJ12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNJ12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENNJ12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
14086.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,,12.0,Yes,Both regular land-line and cell phone service,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,4.0,,,,,,,The Democratic candidate,,,,,,,,,,,,,Yes,No,All others,Yes,,,,,,,The middle class,45+,65+,Men without children,,,,,,Liberal,50058.0,,,White,White,National questionnaire,White,East,,,The rich,,,Male,White men,Married men,Suburbs,Suburbs,New Jersey,,,,Telephone survey,,,,Generally going in the right direction,No,Version 5,,No,,No,All men,Non-working men,,,All others,Suburb,70s Suburbs,Urban Perimeter,Very upscale,8534.0,0.0
13679.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,,,,,,2.0,,,,,Getting better,George W. Bush,Getting better,,Unemployment,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,,5.0,,,,,,,Other,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,Yes,,Yes,Excellent,Excellent or good,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,,,,,,Conservative,50009.0,,Omit,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,,,Male,Latino men,Married men,Suburbs,Suburbs,New Jersey,No,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,8234.0,0.0
68355.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Never,Never,Catholic/Do not attend weekly,Complete,,,,No,Call 3,5.0,,,Yes,Omit,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,3.0,,,,,,,Did not vote,Deported to the country they came from,,,,,,,,,,,,,No,,,,,,,,,,45+,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,115.0,,,White,White,National questionnaire,White,East,Catholic,Catholic,,Yes,,Female,White women,,Suburbs,Suburbs,New Jersey,,,Neutral,Election day exit poll,,,,,,Version 3,White Catholics,,All others,,,,No,All others,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7422.0,0.690877735614777
68842.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,,,,Call 3,6.0,,,,,,,,,,,,,,,,,,4.0,,Omit,,,,,The Democratic candidate,,,,,,,,,,,,,,No,,,,,,,,,,45+,18-64,,,,,,,,71.0,,,White,White,National questionnaire,White,East,,,,,,Female,White women,,Suburbs,Suburbs,New Jersey,,Not increase for anyone,,Election day exit poll,,,,,,Version 4,,,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7001.0,0.710339069366455
37032.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,,Complete,,,,,Call 2,3.0,Yes,Both regular land-line and cell phone service,No,,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,No,5.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,,Yes,,All others,Yes,,,,,,,The middle class,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,21.0,,,Black,Black,National questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Other christian,The rich,,,Female,Black women,Married women,Suburbs,Suburbs,New Jersey,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,Non-white,No,,No,"Women, no kids",Non-working women,,,All others,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,8046.0,0.553324580192566
67846.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,All others,All others,,,,Complete,,,,,Call 3,6.0,,,,,,,,Favors the wealthy,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,No,4.0,,Barack Obama,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Only Barack Obama,Yes,No,Barack Obama,,,,,,,,Approve,Strongly approve,,,,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,71.0,,,Other,Asian,National questionnaire,Asian,East,,,,,,Male,All other races,,Suburbs,Suburbs,New Jersey,,"Increase only on income over $250,000",,Election day exit poll,,,,,,Version 4,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7001.0,0.752468109130859
15135.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 1,5.0,,,,,Staying about the same,Omit,Poor and staying the same,,Omit,College graduate,College graduate,More than High school graduate,White college degree,,,,,3.0,,,,,,,The Republican candidate,,,,,,,,,,,,The economy,,No,,Yes,Not so good,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,115.0,,Has a vision for the future,White,White,National questionnaire,White,East,,,,,,Male,White men,Married men,Suburbs,Suburbs,New Jersey,No,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7422.0,0.73185259103775
65359.0,Legal,Legal in all cases,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Never,Never,All others,Complete,,,,No,Call 3,4.0,,,Yes,I dislike the other candidates,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,4.0,,,,,,,Other,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,,No,All others,No,,,,,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,82.0,,,White,White,National questionnaire,White,East,None,None,,Yes,Did not vote,Male,White men,Non married men,Suburbs,Suburbs,New Jersey,,,Oppose,Election day exit poll,,,,,,Version 3,White none,No,All others,,,,No,All others,,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,7702.0,0.661352634429932
66684.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,The most important factor,Important,Factor,,Call 3,9.0,,,Yes,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Better today,,2.0,Government should do more to solve problems,,,,,,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,The economy,,Yes,Married with children,Yes,,,,,,,,45+,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,11.0,,Is a strong leader,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,,Bob Menendez,Male,Latino men,Married men,Suburbs,Suburbs,New Jersey,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7031.0,1.11081087589264
66424.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Complete,Not a factor at all,Not important,Not a factor,,Call 3,5.0,,,Yes,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Worse today,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,Did not vote,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,Foreign policy,,No,All others,No,,,,,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,115.0,Did not vote,Shares my values,White,White,National questionnaire,White,East,,,,,Did not vote,Male,White men,Non married men,Suburbs,Suburbs,New Jersey,,,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,,,Version 1,,Yes,,,,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7422.0,0.80369359254837
