ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GUNOWNER12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSPA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,SENPA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
40948.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,No,,,,,18-44,18-64,,,,,,,,52.0,Barack Obama,,White,White,National questionnaire,White,East,,,,Female,White women,Non married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,0.723519861698151
23618.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 1,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,No,,,,,45+,65+,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Non married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,1.01891911029816
24912.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 1,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,110.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,Suburb,60s Suburbs,Urban Perimeter,Upscale,17347.0,0.552138984203339
41522.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,45+,65+,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,0.907909274101257
23161.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,Latino 45-59,Latino 45-64,Not complete,Call 1,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Yes,,Yes,,,,,45+,18-64,,,,,,,,14.0,Barack Obama,,Other,White,National questionnaire,Hispanic/Latino,East,,,Bob Casey,Male,Latino men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,0.891039729118347
66660.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 3,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,,,,,,45+,65+,,,,,,,,52.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,0.790761947631836
23436.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,Call 1,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,18-64,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,1.01891911029816
65500.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 3,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,65+,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,1.01891911029816
23310.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,Call 1,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,18-44,18-64,,,,,,,,52.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,0.8150874376297
46692.0,,,,,,,,,,Not complete,Call 2,10.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,73.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,17756.0,0.88157594203949
