ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUNY12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNY12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENNY12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
14723.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,,Not complete,,,,,Call 1,9.0,,,,I strongly favor my candidate,,,,,,,,,,,,,,1.0,,,,,,,The Democratic candidate,,,,,,,,,,,,,,No,,,,,,,,,,45+,18-64,,,,,,,,33.0,,,Black,Black,National questionnaire,Black,East,,,,Omit,,Female,Black women,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,,,Version 3,,,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,11225.0,0.925237536430359
15434.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,,,,,Call 1,25.0,Yes,Only cell phone service,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Favorable,,Yes,4.0,,,,,,,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,Yes,All others,No,,,,,,,The middle class,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,50.0,,,Other,White,National questionnaire,Hispanic/Latino,East,None,None,The rich,,Kirsten Gillibrand,Male,Latino men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,Non-white,No,,Yes,All men,Working men,,,All others,High Density Urban,Urban,Urban Core,Very downscale,14604.0,1.21355009078979
73244.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,,Call 3,17.0,Yes,Both regular land-line and cell phone service,Yes,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,No,3.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,,Yes,No,Married with children,Yes,,,,,,,The middle class,45+,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,110.0,,,Black,Black,National questionnaire,Black,East,Catholic,Catholic,The rich,,Kirsten Gillibrand,Male,Black men,Married men,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,,Generally going in the right direction,Yes,Version 5,Non-white,No,,Yes,All men,Working men,,,All others,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,10532.0,1.30228579044342
73121.0,Illegal,Illegal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a month,Occasionally,All others,Complete,,,,,Call 3,17.0,,,Yes,I like my candidate but with reservations,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,,,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,,No,Married with children,Yes,,,,,,,,45+,65+,Men with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,110.0,,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other christian,,No,Kirsten Gillibrand,Male,White men,Married men,Suburbs,Suburbs,English, New York,,,Omit,Election day exit poll,,,,,,Version 3,White Protestants,Yes,All others,,,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,10532.0,1.38410687446594
71251.0,Illegal,Illegal in most cases,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,A few times a month,Occasionally,All others,Complete,,,,Yes,Call 3,15.0,,,No,I strongly favor my candidate,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,,,,,,The Democratic candidate,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,,,No,All others,No,,,,,,,,45+,65+,Women without children,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Moderate,10.0,,,Black,Black,National questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Other christian,,No,Wendy Long,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,,,Oppose,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,10453.0,1.69115006923676
49650.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,Call 2,4.0,Yes,Both regular land-line and cell phone service,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,,No,2.0,,,,,,,The Republican candidate,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,,,Yes,No,All others,Yes,,,,,,,The middle class,45+,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,58.0,,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,The middle class,,Kirsten Gillibrand,Male,White men,Married men,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,White Protestants,No,,No,All men,Non-working men,,,All others,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11793.0,1.07030582427979
14488.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 1,20.0,,,,,,,,Is fair to most Americans,,College graduate,College graduate,More than High school graduate,White college degree,,,,,3.0,,Omit,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,Did not vote,,,,,,,,Only Barack Obama,Yes,No,Barack Obama,,,,,,,,Approve,Strongly approve,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,2.0,Did not vote,,White,White,National questionnaire,White,East,,,,,Did not vote,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",, New York,,Omit,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Suburb,Urban,Urban Core,Upscale,12203.0,0.587575554847717
15178.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,Call 1,22.0,,,,,Getting better,George W. Bush,Getting better,,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,5.0,,,,,,,The Democratic candidate,,,,,,,,,,,,Health care,,No,,No,Good,Excellent or good,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,12.0,Did not vote,Cares about people like me,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,Non married women,Suburbs,Suburbs,English, New York,Yes,,,Election day exit poll,,,,,,Version 2,,,,,,,,,,Low Density Rural,60s Suburbs,Urban Perimeter,Very downscale,13795.0,0.859836876392365
72893.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,Not a factor at all,Not important,Not a factor,,Call 3,17.0,,,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,About the same,,3.0,Government should do more to solve problems,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,Foreign policy,,No,All others,Yes,,,,,,,,45+,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,110.0,Did not vote,Shares my values,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Male,White men,Married men,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,10532.0,1.38410687446594
72492.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,Call 3,2.0,Yes,Both regular land-line and cell phone service,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,2.0,,,,,,,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,,,Yes,No,All others,No,,,,,,,The middle class,18-44,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,100.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,The rich,,,Female,White women,Non married women,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,,Generally going in the right direction,Yes,Version 5,White Catholics,No,,Yes,"Women, no kids",Working women,,,Working women,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11705.0,0.520827829837799
