ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVNH12,GOVTDO10,GUNOWNER12,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNH12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
61644.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 3,2.0,,,,,,,,,,,,,,,,3.0,Maggie Hassan,,,,,,,,,,,,,,,,,No,,No,,,,,,18-44,18-64,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Male,White men,Non married men,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,Version 1,,,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,1.01763296127319
60184.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 3,1.0,,,,,,,,,,,,,,,,5.0,Maggie Hassan,,,,,,,,,,,,,,,,,No,,No,,,,,,18-44,18-64,,,,,,,,49.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,New Hampshire,,Election day exit poll,,,,Version 1,,,,,,,,,,Suburb,Rural,Rural,Downscale,3246.0,1.47402632236481
60018.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 3,1.0,,,,,,,,,,,,,,,,5.0,Other,,,,,,,,,,,,,,,,,No,,No,,,,,,45+,65+,,,,,,,,49.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,New Hampshire,,Election day exit poll,,,,Version 1,,,,,,,,,,Suburb,Rural,Rural,Downscale,3246.0,2.84474849700928
61474.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,Call 3,2.0,Yes,Both regular land-line and cell phone service,,,,,,,,,,,,,,3.0,Maggie Hassan,,,,,,,,,,,,,,,,Yes,No,,Yes,,,,,,45+,18-64,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,Married women,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,Version 5,,,,Yes,,Working women,,,Working women,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.895190894603729
60932.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 3,2.0,,,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,3.0,Ovide Lamontagne,,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,,,No,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Male,White men,,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,,,,Version 4,,Yes,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.889114737510681
23964.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 1,2.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,3.0,Maggie Hassan,,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,,,No,,,,,,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Male,White men,,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,,,,Version 4,,No,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.980878472328186
24317.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,Call 1,2.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,Maggie Hassan,,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,,,No,,,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,,Rural,Small Cities/Rural,New Hampshire,Increase for all,Election day exit poll,,,,Version 4,,Yes,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.928734540939331
23540.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 1,2.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,Maggie Hassan,,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,,,No,,,,,,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,,Rural,Small Cities/Rural,New Hampshire,Not increase for anyone,Election day exit poll,,,,Version 4,,No,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.895190894603729
13943.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,2.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,,,,Barack Obama,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,,,No,,,,,,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50007.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Male,White men,,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Telephone survey,,,,Version 4,,Yes,,,,,,,,Low Density Rural,Rural,Rural,Downscale,3461.0,0.0
61405.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 3,2.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,Maggie Hassan,,,Barack Obama,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,,,No,,,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Female,White women,,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,,,,Version 4,,No,,,,,,,,Low Density Rural,Rural,Rural,Very downscale,3743.0,0.895190894603729
