ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIRON,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,MEAS80OR,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSOR12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1964.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,4.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Unfavorable,Unfavorable,About the same,4.0,Government is doing too many things better left to businesses and individuals,Omit,Omit,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Omit,Health care,No,Yes,Yes,Poor,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50015.0,,Omit,White,White,State questionnaire,White,West,Male,White men,Married men,Rural,Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Extremely Low Density Rural,Rural,Rural,Very downscale,97423.0,0.138504385948181
1361.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,2.0,I like my candidate but with reservations,Getting better,Getting better,Omit,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Omit,Omit,About the same,4.0,Government is doing too many things better left to businesses and individuals,Omit,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50007.0,,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Married women,Rural,Small Cities/Rural,Oregon,Telephone survey,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,Yes,Extremely Low Density Rural,Rural,Rural,Very downscale,97739.0,0.215062469244003
1299.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,2.0,I strongly favor my candidate,Getting better,Getting better,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,Better today,4.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,Federal budget deficit,No,No,Yes,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50007.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,Rural,Rural,Very downscale,97838.0,0.129392072558403
1304.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,Complete,,2.0,I strongly favor my candidate,Getting better,Getting better,Omit,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Omit,Favorable,Unfavorable,Better today,4.0,Omit,Barack Obama,Leave it as is,Expand it or leave it as is,,,,,,,Barack Obama,The economy,Yes,Yes,Yes,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,50007.0,,Has a vision for the future,Other,White,State questionnaire,Hispanic/Latino,West,Male,Latino men,Married men,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,97537.0,0.230208054184914
1275.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,2.0,I dislike the other candidates,Getting better,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Omit,Omit,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50007.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Married women,Rural,Small Cities/Rural,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Extremely Low Density Rural,Rural,Rural,Downscale,97833.0,0.215062469244003
1953.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,4.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,Keeping jobs in your state,Favorable,Favorable,About the same,4.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Omit,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50015.0,,Cares about people like me,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,Yes,Low Density Rural,Rural,Rural,Downscale,97471.0,0.11640739440918
2141.0,45-65,30-59,45+,45-59,50-64,50-59,,,,Complete,,5.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,,Omit,Favorable,Unfavorable,Better today,3.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,,Barack Obama,Health care,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Democrat,,,Democrat,,Liberal,50018.0,,Shares my values,,,State questionnaire,,West,Female,,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,97361.0,0.191485911607742
2241.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Unfavorable,Favorable,About the same,3.0,Government should do more to solve problems,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Mitt Romney,Health care,No,No,Yes,Poor,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50018.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,Suburb,70s Suburbs,Urban Perimeter,Downscale,97303.0,0.131551116704941
2089.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,5.0,I like my candidate but with reservations,Getting worse,Worse,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,Keeping jobs in your state,Omit,Omit,About the same,3.0,Government is doing too many things better left to businesses and individuals,Omit,Omit,Omit,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Omit,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50018.0,,Omit,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Suburb,70s Suburbs,Urban Perimeter,Downscale,97303.0,0.21865102648735
1911.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,All others,All others,Complete,,4.0,I dislike the other candidates,Getting worse,Worse,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,Keeping jobs in your state,Unfavorable,Unfavorable,Worse today,3.0,Government should do more to solve problems,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,No,No,Yes,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,50014.0,,Cares about people like me,Other,American Indian,State questionnaire,Other,West,Female,All other races,Non married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Low Density Rural,Urban,Urban Core,Downscale,97478.0,0.146935403347015
