ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GOVWA12,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INIT502WA,INTOUCH12,ISSUE12,LATINO,MARRIED,MEAS74WA,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSWA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENWA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
12862.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,All others,All others,,,Complete,,8.0,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,1.0,,Rob McKenna,Barack Obama,Omit,Omit,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and non white",Yes,Barack Obama,,No,,Approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Liberal,50028.0,Barack Obama,,Other,Asian,National questionnaire,Asian,West,,Male,All other races,,Suburbs,Suburbs,Washington,Telephone survey,,,,,Version 4,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,1.84146726131439
13593.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,Complete,,8.0,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,1.0,,Jay Inslee,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Yes,,,No,Yes,Approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50028.0,Barack Obama,,White,White,National questionnaire,White,West,,Male,White men,Married men,Suburbs,Suburbs,Washington,Telephone survey,,,,No,Version 5,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,0.506613373756409
13568.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,Complete,,2.0,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,2.0,,Jay Inslee,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Yes,,,No,Yes,Approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50005.0,Barack Obama,,White,White,National questionnaire,White,West,,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,,,,No,Version 5,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.90161544084549
9082.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,,8.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Yes,Mitt Romney,The economy,No,Yes,Reject,Poor,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50028.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,West,Michael Baumgartner,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,0.859769344329834
9077.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Complete,,8.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",Yes,Mitt Romney,Federal budget deficit,No,Yes,Approve,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,50028.0,Mitt Romney,Is a strong leader,White,White,State questionnaire,White,West,Maria Cantwell,Male,White men,Married men,Suburbs,Suburbs,Washington,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,1.02763652801514
9070.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,,8.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,Jay Inslee,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Yes,Mitt Romney,Foreign policy,No,Yes,Reject,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50028.0,Mitt Romney,Is a strong leader,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,0.759521245956421
9067.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,Complete,,8.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,1.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Expand it,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Yes,Barack Obama,The economy,No,Yes,Approve,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,0.666041612625122
9063.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,Complete,,8.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,About the same,1.0,Government should do more to solve problems,Rob McKenna,Barack Obama,Expand it,Expand it or leave it as is,,,,,,,Yes,Barack Obama,The economy,No,Yes,Approve,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,0.413886964321136
9126.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,A few times a year,Occasionally,Complete,,8.0,I strongly favor my candidate,Getting worse,Worse,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Better today,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",No,Mitt Romney,The economy,No,No,Approve,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50028.0,Mitt Romney,Omit,White,White,State questionnaire,White,West,Michael Baumgartner,Female,White women,Non married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,1.86130487918854
9109.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,8.0,I strongly favor my candidate,Getting better,Getting better,Taxes,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,1.0,Omit,Jay Inslee,Barack Obama,Expand it,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Yes,Barack Obama,Health care,No,Yes,Approve,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,1.29707217216492
9105.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,Complete,,8.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,1.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Yes,Barack Obama,Health care,No,Yes,Approve,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,0.666041612625122
9094.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Omit,Omit,Complete,,8.0,I dislike the other candidates,Getting better,Getting better,Omit,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Better today,1.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Expand it,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",No,Barack Obama,Foreign policy,No,Yes,Approve,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Omit,Omit,Omit,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,0.269985914230347
9092.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,,8.0,Omit,Staying about the same,Poor and staying the same,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,1.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Omit,Omit,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,Barack Obama,Federal budget deficit,No,No,Approve,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Male,White men,Non married men,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Yes,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,0.0695052146911621
9052.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Complete,,8.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,Worse today,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,,,,,,,No,Mitt Romney,The economy,No,No,Approve,Poor,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50028.0,Mitt Romney,Is a strong leader,White,White,State questionnaire,White,West,Michael Baumgartner,Male,White men,Non married men,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,1.72266280651093
