ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUAZ12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSAZ12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENAZ12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
32434.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,,,Complete,Not a factor at all,Not important,Not a factor,,Call 1,1.0,,,No,,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,Worse today,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,Did not vote,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,,Health care,,Yes,All others,Yes,,,,,,,,45+,65+,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Conservative,10.0,Mitt Romney,Cares about people like me,Other,White,National questionnaire,Hispanic/Latino,West,,,,,Did not vote,Male,Latino men,Married men,Rural,Small Cities/Rural,English,Arizona,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,4.05402088165283
53231.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,All others,Complete,,,,No,Call 2,1.0,,,No,I like my candidate but with reservations,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,,,,,,The Democratic candidate,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,,,No,All others,Yes,,,,,,,,45+,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,10.0,Mitt Romney,,White,White,National questionnaire,White,West,None,None,,No,Did not vote,Male,White men,Married men,Rural,Small Cities/Rural,English,Arizona,,,Neutral,Election day exit poll,,,,,,Version 3,White none,No,All others,,,,No,All others,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,4.05402088165283
74484.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 3,1.0,,,,,Getting worse,Barack Obama,Worse,,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,,,,,,The Republican candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,Federal budget deficit,,No,,Yes,Not so good,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,10.0,Mitt Romney,Is a strong leader,White,White,National questionnaire,White,West,,,,,Did not vote,Male,White men,Married men,Rural,Small Cities/Rural,English,Arizona,No,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,4.05402088165283
33205.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,Call 1,1.0,,,,,,,,Favors the wealthy,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,No,3.0,,Mitt Romney,Mitt Romney,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Neither of them,No,No,Omit,,,Yes,,,,,Disapprove,Somewhat disapprove,,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,10.0,Other,,Other,White,National questionnaire,Hispanic/Latino,West,,,,,Did not vote,Female,Latino women,,Rural,Small Cities/Rural,English,Arizona,,"Increase only on income over $250,000",,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,1.76962077617645
10818.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,,8.0,,,,,Getting better,George W. Bush,Getting better,,Taxes,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,3.0,,,,,,,The Democratic candidate,,,,,,,,,,,,Federal budget deficit,,No,,Yes,Good,Excellent or good,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,50023.0,Barack Obama,Is a strong leader,White,White,National questionnaire,White,West,,,,,Richard Carmona,Male,White men,Married men,Rural,Small Cities/Rural,English,Arizona,No,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85324.0,0.17457003891468
10822.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,,,,8.0,,,,,Getting better,George W. Bush,Getting better,,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,3.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,The economy,,No,,No,Good,Excellent or good,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50023.0,Barack Obama,Is a strong leader,White,White,National questionnaire,White,West,,,,,Richard Carmona,Female,White women,Non married women,Rural,Small Cities/Rural,English,Arizona,Yes,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85324.0,0.20818729698658
11420.0,Illegal,Illegal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Once a week,Weekly,Catholic/Attend weekly,Complete,,,,No,,1.0,,,No,I strongly favor my candidate,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,,3.0,,,,,,,The Democratic candidate,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,,,Yes,All others,No,,,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,50002.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,Catholic,Catholic,,Yes,Richard Carmona,Female,Latino women,Non married women,Rural,Small Cities/Rural,English,Arizona,,,Omit,Telephone survey,,,,,,Version 3,Non-white,No,All others,,,,No,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85534.0,0.23535044491291
74677.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,,,,Complete,,,,,Call 3,1.0,,,,,,,,Is fair to most Americans,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,No,3.0,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and non white",Only Barack Obama,Yes,No,Barack Obama,,,Yes,,,,,Approve,Strongly approve,,,,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,10.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,,,,,Richard Carmona,Female,Latino women,,Rural,Small Cities/Rural,English,Arizona,,Not increase for anyone,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,1.15572440624237
32994.0,Legal,Legal in all cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,A few times a month,Occasionally,Catholic/Do not attend weekly,Complete,,,,Yes,Call 1,1.0,,,No,I strongly favor my candidate,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,3.0,,,,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,,,Yes,All others,Yes,,,,,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Conservative,10.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,Catholic,Catholic,,No,Richard Carmona,Male,Latino men,Married men,Rural,Small Cities/Rural,English,Arizona,,,Neutral,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,1.15943872928619
74429.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,Call 3,1.0,,,,,Staying about the same,George W. Bush,Poor and staying the same,,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,3.0,,,,,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,Yes,,No,Poor,Not so good or poor,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,10.0,Barack Obama,Cares about people like me,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,,,,,Richard Carmona,Female,Latino women,Non married women,Rural,Small Cities/Rural,English,Arizona,No,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,85539.0,1.34009790420532
