ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVALLEN,FAVKAINE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GOVTHH,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSVA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENVA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,VETVOTER,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
15497.0,Legal,Legal in most cases,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Once a week,Weekly,Catholic/Attend weekly,Complete,No,Call 1,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Barack Obama,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Catholic,Catholic,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,Increase for all,Election day exit poll,,,,Version 3,,White Catholics,No,All others,No,All others,Suburb,,Urban Perimeter,Upscale,23114.0,0.868158578872681
15318.0,Illegal,Illegal in most cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Once a week,Weekly,Catholic/Attend weekly,Complete,No,Call 1,7.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Catholic,Catholic,The middle class,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Increase for all,Election day exit poll,,,,Version 3,,White Catholics,No,All others,No,All others,Suburb,,Urban Perimeter,Upscale,23114.0,0.959470927715302
15963.0,Legal,Legal in all cases,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,Latino 30-44,Latino 30-44,Never,Never,Catholic/Do not attend weekly,Complete,No,Call 1,7.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Unfavorable,Favorable,,,,4.0,,,,Barack Obama,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,Yes,,Yes,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",The middle class,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,15.0,Barack Obama,,Other,White,State questionnaire,Hispanic/Latino,South,Catholic,Catholic,The rich,Timothy Kaine,Female,Latino women,Married women,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,Non-white,No,All others,No,,Suburb,,Urban Perimeter,Upscale,23114.0,0.65884131193161
16023.0,Illegal,Illegal in most cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,All others,All others,Once a week,Weekly,All others,Complete,No,Call 1,7.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Unfavorable,Favorable,,,,4.0,,,,Barack Obama,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,No,,Yes,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,15.0,Barack Obama,,Other,Asian,State questionnaire,Asian,South,Something else,Muslim,The rich,Timothy Kaine,Male,All other races,Married men,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,Non-white,No,All others,No,,Suburb,,Urban Perimeter,Upscale,23114.0,0.769318997859955
56229.0,Legal,Legal in all cases,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,A few times a year,Occasionally,All others,Complete,No,Call 3,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,,,4.0,,,,Omit,,,,,,,,,,,,No,,No,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Omit,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,15.0,Barack Obama,,White,White,State questionnaire,White,South,Something else,Other,The rich,,Male,White men,Non married men,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,White something else,No,All others,No,All others,Suburb,,Urban Perimeter,Upscale,23114.0,0.643413364887238
56857.0,Legal,Legal in most cases,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,A few times a year,Occasionally,All others,Complete,No,Call 3,7.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Favorable,,,,4.0,,,,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,No,,No,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Liberal,15.0,Barack Obama,,Other,Asian,State questionnaire,Asian,South,Something else,Muslim,The middle class,Timothy Kaine,Female,All other races,Non married women,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,Non-white,No,All others,No,,Suburb,,Urban Perimeter,Upscale,23114.0,0.696103274822235
39508.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Protestant/Attend weekly,Complete,No,Call 2,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
56629.0,Illegal,Illegal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,Protestant/Do not attend weekly,Complete,Yes,Call 3,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,No,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Female,White women,Non married women,Suburbs,Suburbs, Virginia,"Increase only on income over $250,000",Election day exit poll,,,,Version 3,,White Protestants,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
56037.0,Illegal,Illegal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,No,Call 3,7.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,No,,No,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The rich,George Allen,Male,White men,Non married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
38339.0,Illegal,Illegal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,All others,Complete,No,Call 2,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The rich,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The middle class,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
