ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUCA12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PROP30CA,PRSCA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENCA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
11037.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,,,Complete,,,,,,41.0,,,,,Getting worse,George W. Bush,Worse,,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,5.0,,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,Yes,,Yes,Not so good,Not so good or poor,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,65+,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Conservative,50204.0,Yes,,Is a strong leader,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,,,,,,Male,Latino men,Married men,Suburbs,Suburbs,Spanish,California,No,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,92571.0,0.318537205457687
12534.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,,50.0,,,,,,,,Favors the wealthy,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,No,5.0,,Omit,Omit,Omit,Repeal some of it,Repeal some of it or repeal all of it,,,,,,,,,Both of them,Yes,Yes,Omit,,,No,,,,,Omit,Omit,,,,45+,65+,,,,,,,Moderate,50249.0,Yes,,,White,White,National questionnaire,White,West,,,,,,Male,White men,,Suburbs,Suburbs,English,California,,"Increase only on income over $250,000",,Telephone survey,,,,,,Version 4,,,,,,,,,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,92028.0,0.213644996285439
12482.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,,,Complete,,,,,,21.0,,,,,,,,Omit,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,No,2.0,,Omit,Omit,Omit,Expand it,Expand it or leave it as is,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Omit,Omit,Omit,Barack Obama,,,Yes,,,,,Approve,Somewhat approve,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Conservative,50101.0,Yes,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,,,,,,Female,Latino women,,Suburbs,Suburbs,Spanish,California,,Not increase for anyone,,Telephone survey,,,,,,Version 4,,No,,,,,,,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,93648.0,0.240355923771858
10164.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,All others,All others,,,,Complete,,,,,,24.0,,,No,,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,About the same,,1.0,Omit,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,The economy,,No,All others,Yes,,,,,,,,45+,65+,Women without children,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,50115.0,Yes,,Is a strong leader,Other,Other,National questionnaire,Other,West,,,,,,Female,All other races,Married women,Suburbs,Suburbs,English,California,,,,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,,,Version 1,,No,,,,,,,,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,93422.0,0.0704173818230629
34333.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,Not a factor at all,Not important,Not a factor,,Call 1,50.0,,,No,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,About the same,,5.0,Government is doing too many things better left to businesses and individuals,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,The economy,,No,All others,No,,,,,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,85.0,Yes,,Omit,White,White,National questionnaire,White,West,,,,,,Male,White men,Non married men,Suburbs,Suburbs,English,California,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,Yes,,,,,,,,Suburb,70s Suburbs,Urban Perimeter,Downscale,92021.0,1.14107096195221
11041.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,47.0,,,,,Getting better,George W. Bush,Getting better,,Rising prices,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,5.0,,,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,Federal budget deficit,,Yes,,Yes,Not so good,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,18-44,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,50234.0,Yes,,Has a vision for the future,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,West,,,,,,Male,Latino men,Married men,Suburbs,Suburbs,English,California,No,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Extremely High Density Urban,60s Suburbs,High-Growth Suburban Perimeter,Downscale,92840.0,4.1036639213562
12441.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,,1.0,,,,,,,,Favors the wealthy,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,No,2.0,,Omit,Omit,Mitt Romney,Leave it as is,Expand it or leave it as is,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Only Mitt Romney,No,Yes,Omit,,,No,,,,,Disapprove,Strongly disapprove,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50001.0,No,,,White,White,National questionnaire,White,West,,,,,,Female,White women,,Rural,Small Cities/Rural,English,California,,Not increase for anyone,,Telephone survey,,,,,,Version 4,,Yes,,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,96114.0,0.368133813142776
11735.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,,,,No,,22.0,,,No,I dislike the other candidates,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,2.0,,,,,,,,Offered a chance to apply for legal status,,,,,,,,,,,,,No,All others,No,,,,,,,,45+,65+,Men without children,,,,,,Conservative,50106.0,No,,,White,White,National questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,,No,,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,California,,,Oppose,Telephone survey,,,,,,Version 3,White Protestants,,All others,,,,No,White Protestant non-evangelical,,Suburb,Urban,Urban Core,Upscale,93277.0,0.225211188197136
11665.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Omit,Omit,All others,Complete,,,,No,,37.0,,,No,Omit,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,4.0,,,,,,,,Omit,,,,,,,,,,,,,No,All others,No,,,,,,,,45+,18-64,Women without children,,,,,,,50183.0,No,,,White,White,National questionnaire,White,West,Jewish,Jewish,,No,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,California,,,Support,Telephone survey,,,,,,Version 3,White Jewish,No,All others,,,,No,All others,,Extremely High Density Urban,Urban,Urban Core,Upscale,90035.0,0.626774966716766
10996.0,,,,,,,,,,,,,,,Complete,,,,,,17.0,,,,,Staying about the same,Omit,Poor and staying the same,,Unemployment,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,The economy,,,,,Poor,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,,,,,,,,,,50082.0,No,,Omit,,,National questionnaire,,West,,,,,,Male,,,"Cities 50,000-500,000","Cities over 50,000",,California,Yes,,,Telephone survey,,,,,,Version 2,,,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Very upscale,95051.0,0.0233279708772898
