ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AKINCOMMENT,AKINCOMMENTIMP,AKINLIB,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,DESCRIBP12,DESCRIBS10B,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHAKIN,ETHMCCAS,ETHMO12,FAVOBAMA2,FAVROMN2,GEOCODE,GOVMO12,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARCHILD,MARRIED,MCCASLIB,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMO12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENMO12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
48299.0,Omit,Omit,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,No,Call 2,3.0,Yes,I strongly favor my candidate,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,2.0,Jay Nixon,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,Married with children,Yes,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,56.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Male,White men,Married men,Suburbs,Suburbs,Missouri,Election day exit poll,,,,Version 3,Yes,All others,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,63389.0,2.01331186294556
68250.0,Omit,Omit,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,No,Call 3,5.0,No,I strongly favor my candidate,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,3.0,Jay Nixon,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,All others,No,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,46.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Upscale,64134.0,0.681402921676636
72349.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,,Complete,No,Call 3,1.0,No,I strongly favor my candidate,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,1.0,Jay Nixon,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,No,All others,No,,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,105.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,Claire McCaskill,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,Version 3,No,All others,High Density Urban,Urban,Urban Core,Downscale,63104.0,1.14478421211243
68541.0,Legal,Legal in all cases,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,No,Call 3,7.0,Yes,I strongly favor my candidate,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,5.0,Jay Nixon,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Married with children,Yes,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,62.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Missouri,Election day exit poll,,,,Version 3,No,All others,Town,Rural,Rural,Upscale,64804.0,0.729611814022064
72122.0,Legal,Legal in most cases,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,No,Call 3,1.0,Yes,I strongly favor my candidate,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,1.0,Jay Nixon,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Married with children,Yes,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,105.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,Version 3,No,All others,High Density Urban,Urban,Urban Core,Downscale,63104.0,1.02942717075348
49780.0,Legal,Legal in all cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,All others,All others,,,,Complete,No,Call 2,2.0,No,I strongly favor my candidate,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,1.0,Jay Nixon,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,All others,Yes,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,88.0,Barack Obama,,Other,Other,National questionnaire,Other,Midwest,Claire McCaskill,Male,All other races,Married men,Suburbs,Suburbs,Missouri,Election day exit poll,,,,Version 3,No,All others,Suburb,60s Suburbs,Urban Perimeter,Very upscale,63122.0,0.901040196418762
51300.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,All others,All others,,,,Complete,No,Call 2,5.0,,I strongly favor my candidate,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,3.0,Jay Nixon,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,No,,,,,,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Conservative,46.0,Barack Obama,,Other,American Indian,National questionnaire,Other,Midwest,Claire McCaskill,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Upscale,64134.0,0.681402921676636
71335.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,No,Call 3,2.0,No,I strongly favor my candidate,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,1.0,Jay Nixon,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,All others,Yes,,,,45+,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,88.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Male,White men,Married men,Suburbs,Suburbs,Missouri,Election day exit poll,,,,Version 3,No,All others,Suburb,60s Suburbs,Urban Perimeter,Very upscale,63122.0,0.901040196418762
29884.0,Legal,Legal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,No,Call 1,1.0,No,I strongly favor my candidate,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,1.0,Jay Nixon,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,No,All others,No,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,105.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,Version 3,No,All others,High Density Urban,Urban,Urban Core,Downscale,63104.0,1.02942717075348
66955.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,No,Call 3,7.0,No,I strongly favor my candidate,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,5.0,Jay Nixon,,,,,,,,,No,All others,No,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,62.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Claire McCaskill,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Missouri,Election day exit poll,,,,Version 3,No,All others,Town,Rural,Rural,Upscale,64804.0,0.729611814022064
