ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AUTOBAIL12,AUTOHH,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LAIDOFF4,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSOH12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENOH12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFR12,UNFROBAM,UNFRROMN,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
61320.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,12.0,,,No,,,,,,,,,,,,Omit,4.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,,The economy,,,No,All others,,,,,,,45+,18-64,Men without children,,,,,,,37.0,Did not vote,Omit,White,White,National questionnaire,White,Midwest,,,,,Male,White men,,"Cities over 500,000","Cities over 50,000",Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,,,Version 1,,,,,,Suburb,Urban,Urban Core,Very upscale,43004.0,0.828712522983551
19073.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,,,Complete,Yes,Call 1,9.0,,,Yes,I strongly favor my candidate,,,,,,,,,,,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,No,All others,No,,,,,,45+,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,74.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,Something else,Other,,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,,,,,,,,Version 3,Non-white,,All others,No,,High Density Urban,Urban,Urban Core,Very downscale,43620.0,0.605001211166382
19072.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,,,Complete,Yes,Call 1,9.0,,,Yes,I strongly favor my candidate,,,,,,,,,,,,3.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,No,All others,No,,,,,,45+,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,74.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,Something else,Other,,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,,,,,,,,Version 3,Non-white,,All others,No,,High Density Urban,Urban,Urban Core,Very downscale,43620.0,0.605001211166382
42586.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,,,Complete,No,Call 2,11.0,,,Yes,I strongly favor my candidate,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,,No,All others,No,,,,,,45+,65+,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,18.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,Protestant/Other Non-Catholic Christian,Other christian,,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,,,,,,,,Version 3,Non-white,No,All others,No,,High Density Urban,Urban,Urban Core,Very downscale,44104.0,0.730689942836761
59664.0,Legal,Legal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,Complete,Yes,Call 3,16.0,,,No,I like my candidate but with reservations,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,All others,No,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,100.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,,Election day exit poll,,,,,,,,Version 3,White Protestants,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,70s Suburbs,Urban Perimeter,Very upscale,44333.0,0.556925117969513
40789.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Complete,,Call 2,11.0,,,,,Getting better,Barack Obama,Getting better,Unemployment,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,Health care,,,No,,No,Excellent,Excellent or good,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Conservative,18.0,Barack Obama,Is a strong leader,Black,Black,National questionnaire,Black,Midwest,,,,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,,,,,,,,Version 2,,No,,,,High Density Urban,Urban,Urban Core,Very downscale,44104.0,0.731395959854126
40936.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,Complete,,Call 2,1.0,Yes,Only cell phone service,Yes,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Omit,Unfavorable,,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,No,No,All others,No,,,,,The middle class,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,51.0,Barack Obama,,White,White,National questionnaire,White,Midwest,None,None,The rich,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,,Election day exit poll,,,,,,,No,Version 5,White none,No,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,45241.0,0.655714511871338
42114.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,Approve,Yes,Complete,Yes,Call 2,1.0,Yes,Both regular land-line and cell phone service,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,,Barack Obama,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",,,,Yes,,,No,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,52.0,Barack Obama,,Black,Black,State questionnaire,Black,Midwest,Jewish,Jewish,The rich,,Female,Black women,Non married women,Suburbs,Suburbs,Ohio,"Increase only on income over $250,000",Election day exit poll,,,,,,,No,Version 3,Non-white,No,All others,No,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,45239.0,0.609486639499664
8070.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Approve,No,Complete,Yes,,13.0,No,Only regular land-line phone service,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Yes,No,,No,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,50061.0,Barack Obama,,White,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The rich,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,"Increase only on income over $250,000",Telephone survey,,,,,,,No,Version 3,White Protestants,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,44266.0,1.02285432815552
43315.0,Legal,Legal in all cases,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Approve,Yes,Complete,No,Call 2,11.0,Yes,Both regular land-line and cell phone service,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,Barack Obama,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,Yes,No,,No,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,104.0,Barack Obama,,White,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The rich,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,"Increase only on income over $250,000",Election day exit poll,,,,,,,No,Version 3,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,70s Suburbs,Urban Perimeter,Very upscale,44333.0,0.506564497947693
