ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BORNUSA,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNM12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,SENNM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
6085.0,65+,60+,45+,60+,65+,65 or over,,,,,,,Complete,,,3.0,No,,,Barack Obama,,,Postgraduate study,College graduate,More than High school graduate,,Unfavorable,Favorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,,Repeal all of it,Repeal some of it or repeal all of it,,,,,,,,,The economy,,All others,,,,45+,65+,Women without children,,,,,,,50009.0,Gary Johnson,Shares my values,,,State questionnaire,,West,,,Heather Wilson,Female,,,Suburbs,Suburbs,, New Mexico,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,0.327000647783279
6654.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Never,Never,All others,Complete,,,3.0,,I strongly favor my candidate,Staying about the same,,Good and staying the same,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",Barack Obama,Health care,No,,Yes,Good,Excellent or good,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50009.0,Barack Obama,,White,White,State questionnaire,White,West,Something else,Other,Martin Heinrich,Female,White women,Married women,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White something else,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,1.4350837469101
6581.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,A few times a year,Occasionally,All others,Complete,,,3.0,,I like my candidate but with reservations,Staying about the same,,Poor and staying the same,Rising prices,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Barack Obama,Federal budget deficit,Yes,,Yes,Not so good,Not so good or poor,45+,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,50009.0,Barack Obama,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,None,None,Martin Heinrich,Female,Latino women,Married women,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,Non-white,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,2.29270029067993
6656.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Once a week,Weekly,Catholic/Attend weekly,Complete,,,3.0,,I strongly favor my candidate,Getting better,,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,Mitt Romney,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Omit,Federal budget deficit,No,,No,Not so good,Not so good or poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50009.0,Mitt Romney,,White,White,State questionnaire,White,West,Catholic,Catholic,Heather Wilson,Male,White men,Non married men,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White Catholics,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,0.486628592014313
6593.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,Protestant/Do not attend weekly,Complete,,,3.0,,I like my candidate but with reservations,Staying about the same,,Poor and staying the same,Unemployment,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,,Yes,Not so good,Not so good or poor,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,,50009.0,Barack Obama,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,,Male,White men,Married men,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White Protestants,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,1.67626023292542
6646.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Never,Never,All others,Complete,,,3.0,,I strongly favor my candidate,Getting better,,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,,Yes,Not so good,Not so good or poor,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50009.0,Barack Obama,,White,White,State questionnaire,White,West,None,None,Martin Heinrich,Female,White women,Married women,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White none,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,2.34800958633423
6573.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,All others,Complete,,,3.0,,I like my candidate but with reservations,Getting better,,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,,Yes,Not so good,Not so good or poor,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50009.0,Barack Obama,,White,White,State questionnaire,White,West,None,None,Martin Heinrich,Male,White men,Married men,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White none,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87506.0,0.835875332355499
6643.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,More than once a week,Weekly,Catholic/Attend weekly,Complete,,,3.0,,I strongly favor my candidate,Staying about the same,,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,The economy,Yes,,Yes,Not so good,Not so good or poor,45+,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,50009.0,Barack Obama,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Catholic,Catholic,Martin Heinrich,Female,Latino women,Married women,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,Non-white,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87506.0,0.923109591007233
6658.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,,,3.0,,I strongly favor my candidate,Getting worse,,Worse,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,Mitt Romney,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,Federal budget deficit,No,,Yes,Poor,Not so good or poor,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,50009.0,Mitt Romney,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,Heather Wilson,Female,White women,Married women,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White Protestants,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,0.433261901140213
6632.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,,,3.0,,I strongly favor my candidate,Getting worse,,Worse,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,Mitt Romney,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Mitt Romney,The economy,No,,Yes,Poor,Not so good or poor,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50009.0,Mitt Romney,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,Heather Wilson,Male,White men,Married men,Suburbs,Suburbs,English, New Mexico,Telephone survey,,,,Version 2,White Protestants,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0,0.956563532352448
