ID,HOU,SEN,GOV,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,ATTREL,BACKSIDE,BOYSGIRLS,BREAK18,BREAK18A,BREAK18B,BRNAGAIN,CALL,CDNUM,CHILD18,CHILDBOY,CHILDGIRL,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECFOREIGN18,FAVDEM2,FAVPARTY,FAVPELOSI,FAVREP2,FINSIT2,FORTRUMPH,FTVOTER18,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,LGBT,MARRIED,MUELLERAPP,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QRACEAK,QRACEHI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,REL5,RELIGN18,RELWHITE,RUSSIA18,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18HOU,TIME18HOUMONTH,TIME18HOUWEEK,TRACK,TRADE18,TRUMP2,TRUMP4,TRUMPFP18,TRUMPIMM,UNITED18,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,WPROTBRN,WPROTBRN3
25480.0,The Republican candidate,The Democratic candidate,The Republican candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,,,23.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Favorable,,,,,,,Minor changes,,Yes,,,,,,,Gun policy,,No,,,Approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,Catholic,Catholic,Catholic,Justified,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,1.15386927127838,White Catholics,,,,,,
25481.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,,40.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Favorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,Yes,,,Approve,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,,,National questionnaire,Hispanic/Latino,Somewhat important,Important,Non-white,Hispanic/Latino,Whites are favored over minorities,West,Catholic,Catholic,,Justified,Male,Latino men,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,2.15388107299805,Non-white,,,,,,
25482.0,The Democratic candidate,,,,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,,,,21.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Omit,,,,,,,Minor changes,,No,,,,,,,Health care,,No,,,Approve,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,,,National questionnaire,Black,Very important,Important,Non-white,Black,Whites are favored over minorities,West,None,None,,Justified,Female,Black women,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,3.0299916267395,Non-white,,,,,,
25483.0,The Republican candidate,,,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,,,1.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,Omit,,,,,,,Major changes,,No,,,,,,,Health care,,No,,,Disapprove,,,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Liberal,,Conservative Republicans,Mod./Liberal Republicans,White,White,,,National questionnaire,White,Not at all important,Not important,White,White,Minorities are favored over whites,West,Protestant/Other Non-Catholic Christian,Other Christian,Protestant/Other Non-Catholic Christian,Politically motivated,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Not tough enough,,Version 2,,,,0.603291809558868,White Protestants,,,,,,
25484.0,The Republican candidate,,The Republican candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 65+,,,,Complete,,,,,,,53.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,The economy,,Yes,,,Approve,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,Independent Women,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Other,Other,,,National questionnaire,Hispanic/Latino,Not at all important,Not important,Non-white,Hispanic/Latino,No group is favored,West,Protestant/Other Non-Catholic Christian,Protestant,,Politically motivated,Female,Latino women,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,About right,,Version 2,,,,2.77885246276855,Non-white,,,,,,
25485.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,,,,,,,34.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,Unfavorable,,,,,,,Major changes,,Omit,,,,,,,Health care,,Yes,,,Disapprove,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,,,National questionnaire,Hispanic/Latino,Very important,Important,Non-white,Hispanic/Latino,No group is favored,West,Something else,Other,,Justified,Male,Latino men,,,,"Cities over 500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,0.430825442075729,Non-white,,,,,,
25486.0,The Republican candidate,,The Republican candidate,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,,,,Complete,,,,,,,25.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Minor changes,,No,,,,,,,The economy,,No,,,Disapprove,,,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,Other,Other,,,National questionnaire,Other,Omit,Omit,Non-white,Other,No group is favored,West,Protestant/Other Non-Catholic Christian,Other Christian,,Politically motivated,Male,All other races,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,1.60511541366577,Non-white,,,,,,
25487.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,,,13.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Favorable,,,,,,,Major changes,,Omit,,,,,,,Health care,,No,,,Approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,None,None,None,Justified,Female,White women,,,,Suburbs,Suburbs,English,California,White suburban women,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,2.60090398788452,White none,,,,,,
25488.0,,The Democratic candidate,The Democratic candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,,,45.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,Favorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,No,,,Approve,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,None,None,None,Justified,Male,White men,,,,Suburbs,Suburbs,English,California,White suburban men,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,2.66664242744446,White none,,,,,,
25489.0,The Republican candidate,The Democratic candidate,The Republican candidate,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,,,6.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,Unfavorable,,,,,,,Minor changes,,No,,,,,,,The economy,,No,,,Disapprove,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,,,National questionnaire,White,Not at all important,Not important,White,White,No group is favored,West,None,None,None,Politically motivated,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,1.54575049877167,White none,,,,,,
