ID,SENNH14,GOVNH14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BROWNCARPET,CALL,CDNUM,CONTACTBROWN,CONTACTNH14,CONTACTSHAHEEN,DEMPRIM2016,DEMPRIM2016DEMSONLY,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOLLOW14,FOLLOW14B,FOROBAMAS,GEOCODE,GOPPRIM2016,GOPPRIM2016REPSONLY,GOVTDO10,HEALTHCARE14,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARIJUANALAW,MARRIED,MATONH,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SHAHEENTOOCLOSE,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRBROWN14,UNFAIRNH14,UNFAIRSHAHEEN,VERSION,WHNCLINC,ZIPCODE,WEIGHT
71803.0,Jeanne Shaheen,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,2.0,Omit,Omit,Omit,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,Somewhat closely,Somewhat or not too closely,To express opposition to Barack Obama,3.0,,,,Did not go far enough,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,Yes,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,85.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",East,,,,,Male,White men,Married men,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,,,,,,,,Scott Brown did not,Only Jeanne Shaheen,Jeanne Shaheen did,Version 2,No,3773.0,0.829553127288818
92010.0,Jeanne Shaheen,,,,,,,,,,,Complete,No,Call 3,1.0,,,,Hillary Clinton,,,,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,,,4.0,Someone else,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,Illegal,No,,,,,,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,105.0,Moderate/Liberal Republicans,Moderate Independents,Not at all important,Not important,White,White,State questionnaire,White,White,,,East,Jewish,Jewish,Jewish,Yes,Male,White men,Non married men,Not often enough,Suburbs,Suburbs,New Hampshire,Neutral,Neutral,Election day exit poll,,,,,,,,,,,Version 3,No,3873.0,0.732507109642029
79540.0,Jeanne Shaheen,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,1.0,,,,,,Staying about the same,Poor and staying the same,Favors the wealthy,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,4.0,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Disapprove,,No,,,I moved to New Hampshire from Massachusetts,Not so good,Not so good or poor,Not worried,Not too worried,Approve,Strongly approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,105.0,Liberal Democrats,Liberal Democrats,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,Very worried,Very or somewhat worried,Before that,In the last month,Before that,In the last month,Generally going in the right direction,,,,Version 1,,3873.0,0.690511882305145
87587.0,Jeanne Shaheen,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 3,1.0,,,,,,Staying about the same,Poor and staying the same,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,2.0,,,Government should do more to solve problems,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,No,,,I was born in New Hampshire,Not so good,Not so good or poor,Worried,Very worried,Approve,Somewhat approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,62.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,,Election day exit poll,Not too worried,Not too or not at all worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,,,Version 1,Yes,3102.0,0.462155431509018
74376.0,Jeanne Shaheen,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 2,1.0,Yes,Both of them,Yes,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Extremely closely,Extremely or very closely,Barack Obama was not a factor,2.0,,,,Was about right,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,The economy,No,,,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,2.0,,,,,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,,,,,,,,Scott Brown did,Only Scott Brown,Jeanne Shaheen did not,Version 2,No,3031.0,0.577279269695282
74213.0,Jeanne Shaheen,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 2,1.0,,,,Hillary Clinton,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,,,,2.0,Someone else,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,Illegal,Yes,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,65.0,Moderate/Liberal Republicans,Moderate Independents,Not too important,Not important,White,White,State questionnaire,White,White,,,East,Something else,Other,Something else,No,Female,White women,Married women,Too often,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Neutral,Neutral,Election day exit poll,,,,,,,,,,,Version 3,Yes,3103.0,0.638808310031891
77447.0,Jeanne Shaheen,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 2,2.0,No,Neither of them,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Not too closely,Somewhat or not too closely,Barack Obama was not a factor,3.0,,,,Did not go far enough,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,The economy,No,,No,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Liberal,23.0,Moderate/Liberal Republicans,Liberal Independents,,,White,White,State questionnaire,White,White,Omit,Omit,East,,,,,Male,White men,Non married men,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,,,,,,,,Omit,Omit,Omit,Version 2,No,3745.0,0.93108457326889
94012.0,Jeanne Shaheen,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,1.0,No,Only Jeanne Shaheen,Yes,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Somewhat closely,Somewhat or not too closely,Barack Obama was not a factor,2.0,,,,Omit,Offered a chance to apply for legal status,,,,,,,,,Foreign policy,No,,No,,,,,,,,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,,,,,,,,2.0,,,,,White,White,State questionnaire,White,White,Omit,Omit,East,,,,,Female,White women,Non married women,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,,,,,,,,Omit,Omit,Omit,Version 2,No,3031.0,0.684023141860962
73362.0,Jeanne Shaheen,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,,Call 2,1.0,No,Neither of them,No,,,,,,,,,,,,,,Barack Obama was not a factor,2.0,,,,,,,,,,,,,,,No,,,,,,,,,,,,45+,65+,,,,,,,,65.0,,,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,,Election day exit poll,,,,,,,,Scott Brown did not,Neither of them,Jeanne Shaheen did not,Version 2,,3103.0,0.577279269695282
60457.0,Scott Brown,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Omit,Call 1,2.0,,,,Someone else,,,,,College graduate,College graduate,More than High school graduate,White college degree,Omit,Favorable,,,,3.0,Omit,,,,,,,,,,,,,,No,Illegal,Yes,,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,23.0,Independent/Something else,Conservative Republicans,Very important,Important,White,White,State questionnaire,White,White,,,East,Catholic,Catholic,Catholic,Omit,Female,White women,Married women,Too often,Rural,Small Cities/Rural,New Hampshire,Omit,Omit,Election day exit poll,,,,,,,,,,,Version 3,No,3745.0,0.866476237773895
